Position,"Track Name",Artist,Streams,URL
1,Roller,"Apache 207",34430,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
2,"Dance Monkey","Tones and I",31915,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"All I Want for Christmas Is You","Mariah Carey",30145,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,"Last Christmas",Wham!,27908,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,"KEIN SCHLAF",Nimo,27323,https://open.spotify.com/track/6416zJN0FGPmh1Ph4BH2h3
6,"Der Bratan bleibt der gleiche","Capital Bra",24254,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
7,COLT,Samra,23983,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
8,100%,Senidah,21378,https://open.spotify.com/track/58cWbqYLz06X69SqJiYeky
9,Falling,"Trevor Daniel",21054,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,"Skifahren (feat. Joshi Mizu)","The Cratez",20902,https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
11,"Driving Home for Christmas - 2019 Remaster","Chris Rea",19385,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
12,110,"Capital Bra",18997,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
13,"Santa Tell Me","Ariana Grande",18863,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
14,"Merry Christmas Everyone","Shakin' Stevens",18358,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
15,"Happy Xmas (War Is Over) - Remastered","John Lennon",17050,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
16,"200 km/h","Apache 207",16184,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
17,"Keine Liebe",RIN,15854,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX
18,ROXANNE,"Arizona Zervas",15524,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
19,"everything i wanted","Billie Eilish",15389,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
20,"Wieso tust Du dir das an?","Apache 207",15270,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
21,Mistletoe,"Justin Bieber",15232,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
22,"Puta Madre - Bonustrack","RAF Camora",15217,https://open.spotify.com/track/0bg9us6qbMWTAMSF3y4egO
23,"Don't Start Now","Dua Lipa",14933,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
24,Circles,"Post Malone",14921,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
25,"95 BPM",Samra,14762,https://open.spotify.com/track/6WSwle8wTdJhOGEukwTxWf
26,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",14670,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
27,Memories,"Maroon 5",14478,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
28,"Wonderful Dream (Holidays Are Coming) - Radio Version","Melanie Thornton",14470,https://open.spotify.com/track/0SvD6EdetxVtXei2JhkV4B
29,"Ride It",Regard,14253,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
30,Hallelujah,Pentatonix,14157,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx
31,"Ayy Macarena",Tyga,13932,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
32,Alien,RIN,13912,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
33,KARMA,Nimo,13661,https://open.spotify.com/track/6oX9RuILbVIglevEhbg8iM
34,Tiffany,Shindy,13613,https://open.spotify.com/track/2L0H5LWEuIAvrzfzTruyCB
35,"Lucid Dreams","Juice WRLD",13510,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
36,2002,Sido,13386,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
37,"Honda Civic","The Cratez",13305,https://open.spotify.com/track/0WFgtxiLNr99YaoSdYR3Ud
38,"hot girl bummer",blackbear,13085,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
39,"Someone You Loved","Lewis Capaldi",13027,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
40,"Underneath the Tree","Kelly Clarkson",12762,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
41,"It's Beginning to Look a Lot like Christmas","Michael Bublé",12728,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
42,"Thank God It's Christmas - Non-Album Single",Queen,12554,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
43,"Christmas Time","Bryan Adams",12539,https://open.spotify.com/track/6aoWJSqAgHXacunJ2tdijv
44,"bad guy","Billie Eilish",12520,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
45,"Do They Know It's Christmas? - 1984 Version","Band Aid",12373,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
46,Tilidin,"Capital Bra",12316,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU
47,Unnormal,"RAF Camora",12269,https://open.spotify.com/track/7CzSP7spDpZBP8edbtPIwI
48,"Himmel grau","Kontra K",12077,https://open.spotify.com/track/1xdj09kwlmFmVONYaYyNsY
49,"Lose You To Love Me","Selena Gomez",12003,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
50,Adriana,"RAF Camora",11802,https://open.spotify.com/track/5YbcMbH4xHRfep9rSxLRDt
51,"Blinding Lights","The Weeknd",11660,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
52,"Feliz Navidad","José Feliciano",11447,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
