Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",256712,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",251556,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Circles,"Post Malone",236476,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,"Don't Start Now","Dua Lipa",224298,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Adore You","Harry Styles",178745,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
6,Memories,"Maroon 5",178010,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,Falling,"Trevor Daniel",172534,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,"Ride It",Regard,171820,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
9,"Watermelon Sugar","Harry Styles",159572,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
10,"everything i wanted","Billie Eilish",157251,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,"Blinding Lights","The Weeknd",154205,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
12,"All I Want for Christmas Is You","Mariah Carey",149586,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
13,"Never Seen the Rain","Tones and I",148190,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
14,"Lose Control",MEDUZA,142487,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
15,"hot girl bummer",blackbear,136897,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
16,"Lucid Dreams","Juice WRLD",131175,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
17,"Someone You Loved","Lewis Capaldi",129700,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,"Before You Go","Lewis Capaldi",126218,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
19,"Last Christmas",Wham!,115240,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
20,"Lose You To Love Me","Selena Gomez",114822,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
21,"10,000 Hours (with Justin Bieber)","Dan + Shay",112600,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
22,Señorita,"Shawn Mendes",112267,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
23,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",109787,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
24,Heartless,"The Weeknd",107598,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
25,"My Oh My (feat. DaBaby)","Camila Cabello",106725,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
26,"bad guy","Billie Eilish",106141,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
27,"Rushing Back",Flume,104745,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY
28,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",103376,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
29,"Beautiful People (feat. Khalid)","Ed Sheeran",101008,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
30,"HIGHEST IN THE ROOM","Travis Scott",100057,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
31,"Lights Up","Harry Styles",96704,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
32,"It's Beginning to Look a Lot like Christmas","Michael Bublé",96488,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
33,"One Thing Right",Marshmello,96340,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
34,"Trampoline (with ZAYN)",SHAED,93827,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
35,Falling,"Harry Styles",92628,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
36,Glitter,BENEE,92228,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
37,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,90889,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
38,"I Don't Care (with Justin Bieber)","Ed Sheeran",90888,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
39,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,88582,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
40,"Eastside (with Halsey & Khalid)","benny blanco",86464,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
41,"Up All Night",Khalid,85009,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
42,"Piece Of Your Heart",MEDUZA,84866,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
43,"Yellow Hearts","Ant Saunders",84116,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
44,"No Idea","Don Toliver",82705,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
45,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",81710,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
46,"Santa Tell Me","Ariana Grande",80546,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
47,"Truth Hurts",Lizzo,76175,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
48,Graveyard,Halsey,75104,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
49,"How Do You Sleep?","Sam Smith",74193,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
50,Robbery,"Juice WRLD",68764,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
51,July,"Noah Cyrus",67142,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
52,"Catching Feelings (feat. SIX60)","Drax Project",66530,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
53,"Turn Me On (feat. Vula)",Riton,65460,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
54,"Futsal Shuffle 2020","Lil Uzi Vert",65102,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
55,Golden,"Harry Styles",64757,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
56,Castles,"Freya Ridings",64434,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
57,"Post Malone (feat. RANI)","Sam Feldt",64346,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
58,Sorry,"Joel Corry",63480,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
59,"Mean It",Lauv,62441,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
60,"Old Town Road - Remix","Lil Nas X",61787,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
61,Shallow,"Lady Gaga",61702,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
62,Cherry,"Harry Styles",61574,https://open.spotify.com/track/2IOFZdYYkFxEHVz1w34PoL
63,Youngblood,"5 Seconds of Summer",61572,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
64,"Tell Em I'm Doing Eetswa","Hooligan Hefs",61391,https://open.spotify.com/track/1JGb28R23RdtKZYT4XOf7u
65,"Holly Jolly Christmas","Michael Bublé",61147,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
66,Sucker,"Jonas Brothers",59146,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
67,"Do They Know It's Christmas? - 1984 Version","Band Aid",59042,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
68,Mistletoe,"Justin Bieber",58995,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
69,Teeth,"5 Seconds of Summer",58572,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
70,Wow.,"Post Malone",58244,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
71,"7 rings","Ariana Grande",58012,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
72,"Be Alright","Dean Lewis",57828,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
73,"Happy Xmas (War Is Over) - Remastered","John Lennon",57326,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
74,Happier,Marshmello,56852,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
75,Liar,"Camila Cabello",56822,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
76,"Goodbyes (Feat. Young Thug)","Post Malone",56608,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
77,"It's the Most Wonderful Time of the Year","Andy Williams",56021,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
78,"Hate Me (with Juice WRLD)","Ellie Goulding",55996,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
79,"Without Me",Halsey,55982,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
80,"The Git Up","Blanco Brown",55811,https://open.spotify.com/track/2KKijf6Ett4kmVNJze2roh
81,"No Guidance (feat. Drake)","Chris Brown",54825,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
82,"It's You","Ali Gatie",54689,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
83,"3 Nights","Dominic Fike",54443,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
84,"Slide Away","Miley Cyrus",54353,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
85,"Only Human","Jonas Brothers",54021,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
86,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",53847,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
87,"when the party's over","Billie Eilish",52999,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
88,Confidence,"Ocean Alley",52177,https://open.spotify.com/track/7to68V64Cu6zk0UDo5tyw3
89,"lovely (with Khalid)","Billie Eilish",51515,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
90,BOP,DaBaby,51479,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
91,"SICKO MODE","Travis Scott",50994,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
92,Better,Khalid,50892,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
93,Ransom,"Lil Tecca",50587,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
94,"Talk (feat. Disclosure)",Khalid,50313,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
95,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",50076,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
96,Lalala,Y2K,49006,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
97,"Jingle Bells (feat. The Puppini Sisters)","Michael Bublé",48934,https://open.spotify.com/track/4qBejt9FeqLI9blHI1Nq1x
98,"Say You Won't Let Go","James Arthur",48596,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
99,"Vossi Bop",Stormzy,48530,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG
100,"Body (feat. Brando)","Loud Luxury",48524,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
