Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",399261,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Alocao (With Bad Gyal)","Omar Montes",320375,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
3,Zorra,"Bad Gyal",315983,https://open.spotify.com/track/0OP1RzrglC008kj79Httv3
4,Vete,"Bad Bunny",268307,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
5,"Dance Monkey","Tones and I",263350,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,Indeciso,Reik,241693,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
7,"Whine Up","Nicky Jam",223648,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
8,"RITMO (Bad Boys For Life)","The Black Eyed Peas",220715,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
9,China,"Anuel AA",212199,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
10,"Si por mi fuera",Beret,206915,https://open.spotify.com/track/3W87IIdSOE63W0Qyhy7r2b
11,Aventura,Lunay,192804,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
12,Fantasias,"Rauw Alejandro",174802,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
13,"Easy - Remix","Jhay Cortez",174596,https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU
14,"Hola - Remix",Dalex,174242,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
15,Blanco,"J Balvin",172499,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
16,Rueda,Chimbala,148867,https://open.spotify.com/track/71NGDQ9vSPXm55pyWeAxKK
17,"Adicto (with Anuel AA & Ozuna)",Tainy,147742,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
18,"Hasta Que Salga el Sol",Ozuna,146644,https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl
19,"Yo x Ti, Tu x Mi",ROSALÍA,144407,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
20,"Te Quemaste","Manuel Turizo",134990,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
21,"La Cama",Lunay,132741,https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1
22,"Se iluminaba","Fred De Palma",132733,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
23,Fantasía,Ozuna,130676,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
24,"Bellaquita - Remix",Dalex,128504,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
25,Quizas,"Rich Music LTD",124788,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
26,"Si Te Vas",Sech,123708,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
27,Prendío,Rvfv,121090,https://open.spotify.com/track/1pUq8PePQRODKRKwY2nvC8
28,"La Rubia - Remix 2","La Nueva Escuela",120925,https://open.spotify.com/track/7KKTnv81z6DmfPIGsZWjOW
29,"Perreo en La Luna","Rich Music LTD",113752,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
30,"B11 (feat. Myke Towers)",Rvssian,109606,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl
