Position,"Track Name",Artist,Streams,URL
1,Pintakaasulla,JVG,61891,https://open.spotify.com/track/3eHkFrUUGYuwEgIPRPtW9L
2,"Hei rakas",BEHM,57673,https://open.spotify.com/track/0tc8HGXosQDC8TTAaON1TP
3,Jeesei,Gettomasa,52478,https://open.spotify.com/track/6Rs9Zhrvu1jHTvBm4MypAx
4,Falling,"Trevor Daniel",39009,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
5,"Dance Monkey","Tones and I",38342,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"everything i wanted","Billie Eilish",38195,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
7,"Blinding Lights","The Weeknd",36132,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
8,v!@%#mikko,Pyhimys,32086,https://open.spotify.com/track/3XlrrR3tR56dRC2sgNNhOD
9,ROXANNE,"Arizona Zervas",31219,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,"All I Want for Christmas Is You","Mariah Carey",30767,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
11,"Last Christmas",Wham!,30539,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
12,"Valo pimeän",Pyhimys,29009,https://open.spotify.com/track/4jQ9Nd33d2MWbQ5zJwBUTe
13,"Teipillä tai rakkaudella",ABREU,28462,https://open.spotify.com/track/2vdsyiA0RcYs3C9VMnmYac
14,"Vuonna nolla","Ida Paul & Kalle Lindroth",27753,https://open.spotify.com/track/3TiVAkFhbFMXDqjN1yzViL
15,"Surullinen Klovni",MKDMSK,27222,https://open.spotify.com/track/4ASbWGCzKRYA07lqDfouYu
16,"Avasin Mun Silmät",MKDMSK,26114,https://open.spotify.com/track/1AsF6nriSPlKqxi9xVIMdW
17,"Lucid Dreams","Juice WRLD",26053,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
18,"Ikuinen vappu",JVG,25104,https://open.spotify.com/track/4ycKgmGOtvuJZVPyvBpVVU
19,"Adore You","Harry Styles",24841,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
20,"Hiljaisii heeroksii",Ellinoora,24512,https://open.spotify.com/track/2RKLKjagHoASJaW1VTPBgr
21,"Muistuta mua",Pyhimys,24484,https://open.spotify.com/track/5XPxQRtCa8FHfrO8mzutAq
22,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",24477,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
23,"Ride It",Regard,23556,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
24,"Poikien vessa (feat. costee)",Mouhous,23438,https://open.spotify.com/track/117kHl2LRJ30z29lzeMD99
25,Circles,"Post Malone",23215,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
26,"Japanese Drip",Kube,22538,https://open.spotify.com/track/1z4jCtA9thODROr8aMdcyP
27,"Hate Me (with Juice WRLD)","Ellie Goulding",22436,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
28,"Joulun kanssas jaan","Haloo Helsinki!",22358,https://open.spotify.com/track/3RCxl6HWK4ADOzMbY8FZCw
29,"Some Say",Nea,22283,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
30,"Someone You Loved","Lewis Capaldi",22262,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
31,"It's Beginning to Look a Lot like Christmas","Michael Bublé",21440,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
32,"Santa Tell Me","Ariana Grande",21053,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
