Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",41931,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Vete,"Bad Bunny",29157,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
3,Fantasias,"Rauw Alejandro",25979,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
4,"LA CANCIÓN","J Balvin",25183,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
5,"RITMO (Bad Boys For Life)","The Black Eyed Peas",23077,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
6,China,"Anuel AA",22674,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
7,"No Me Conoce - Remix","Jhay Cortez",22198,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
8,"Pa' Olvidarme De Ella","Piso 21",21604,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
9,Callaita,"Bad Bunny",20606,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
10,"Adicto (with Anuel AA & Ozuna)",Tainy,18030,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
11,"Que Tire Pa Lante","Daddy Yankee",17743,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
12,"Dance Monkey","Tones and I",16531,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,"Whine Up","Nicky Jam",16348,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
14,"Soltera - Remix",Lunay,14978,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
15,"Si Te Vas",Sech,14916,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
16,Tutu,Camilo,14517,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
17,Quizas,"Rich Music LTD",13356,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
18,"Sigues Con El","Dimelo Flow",13062,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
19,"QUE PRETENDES","J Balvin",12507,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
20,Aventura,Lunay,11866,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
21,"11 PM",Maluma,11850,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
22,"Pa Mí - Remix",Dalex,11574,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
23,"Otro Trago - Remix",Sech,11530,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
24,Desconocidos,"Mau y Ricky",11417,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
25,"Te Vi","Piso 21",11416,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
26,Indeciso,Reik,11348,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
27,"Amor A Primera Vista","Los Angeles Azules",11280,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J
28,"Yo x Ti, Tu x Mi",ROSALÍA,11066,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
29,Bellaquita,Dalex,10261,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
