Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",27198,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Falling,"Trevor Daniel",15063,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
3,"All I Want for Christmas Is You","Mariah Carey",14453,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,"Last Christmas",Wham!,13176,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,"bad guy","Billie Eilish",12229,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
6,"Kicsi lány",Manuel,11909,https://open.spotify.com/track/0AcgqhxWT7uikecp7MNT82
7,Señorita,"Shawn Mendes",11310,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,"everything i wanted","Billie Eilish",10936,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,"Don't Start Now","Dua Lipa",10673,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,"Messziről jöttem",Manuel,10599,https://open.spotify.com/track/4pM0ZrNCyFwXrQ8nPfb6v1
11,"Mint egy filmben",Manuel,10376,https://open.spotify.com/track/6Rtnef1MG3uILFVv4NPcZf
12,ROXANNE,"Arizona Zervas",10129,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,"Lucid Dreams","Juice WRLD",9877,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
14,Ketten,Manuel,9765,https://open.spotify.com/track/1sHYkBHNssZ4KYY8m30tXz
15,Memories,"Maroon 5",9704,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
16,Circles,"Post Malone",9644,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"Olyan Ő","Bagossy Brothers Company",9351,https://open.spotify.com/track/0GsltzHgCGCiQvskZggDDj
18,"Blinding Lights","The Weeknd",9339,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
19,"Rockin' Around The Christmas Tree","Brenda Lee",9223,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
20,"Someone You Loved","Lewis Capaldi",9124,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"Jingle Bell Rock","Bobby Helms",8872,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
22,"It's Beginning to Look a Lot like Christmas","Michael Bublé",8556,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
23,"Anyu büszke",Manuel,8552,https://open.spotify.com/track/4Hf1LDsF1kd4w9dIavNFrP
24,"It's the Most Wonderful Time of the Year","Andy Williams",8472,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
25,"Santa Tell Me","Ariana Grande",8227,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
26,"Adore You","Harry Styles",8155,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,"HIGHEST IN THE ROOM","Travis Scott",8137,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
28,"Look Back at It","A Boogie Wit da Hoodie",7953,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
29,"My Oh My (feat. DaBaby)","Camila Cabello",7609,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
30,"Watermelon Sugar","Harry Styles",7511,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
31,Aranybula,Pamkutya,7468,https://open.spotify.com/track/2L5UIZlS4We7uc8bPnjNHi
32,Téged,Manuel,7435,https://open.spotify.com/track/6esnWiAOoL9KMMwFVuy3Sq
33,"Holly Jolly Christmas","Michael Bublé",7256,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
34,"Beautiful People (feat. Khalid)","Ed Sheeran",7132,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
35,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",7125,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
36,"Ride It",Regard,6991,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
37,"Szemed mindent elmond",Misshmusic,6888,https://open.spotify.com/track/4GQsge6F8BVz0yiO2MISHh
38,"Lose You To Love Me","Selena Gomez",6812,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
39,"Feliz Navidad","José Feliciano",6713,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
40,"Nem bízom",USNK,6520,https://open.spotify.com/track/6bTHlA1wQDHqMl0Iml4Q77
41,"Underneath the Tree","Kelly Clarkson",6498,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
42,"hot girl bummer",blackbear,6401,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
43,"I Don't Care (with Justin Bieber)","Ed Sheeran",6378,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
44,"Lose Control",MEDUZA,6304,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
45,Heartless,"The Weeknd",6253,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
46,"Old Town Road - Remix","Lil Nas X",6250,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
47,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",6189,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
48,Mistletoe,"Justin Bieber",6088,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
49,"Sweet but Psycho","Ava Max",5894,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
50,Yaay,Bsw,5619,https://open.spotify.com/track/4gY9fdFTRmdyXKTmxRa4oI
51,"7 rings","Ariana Grande",5439,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
52,"High Hopes","Panic! At The Disco",5427,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
53,Lombok,"ByeAlex és a Slepp",5416,https://open.spotify.com/track/109d9suJG3YknmHaV7oFDD
54,Lalala,Y2K,5309,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
55,"Piece Of Your Heart",MEDUZA,5287,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
56,"Nem tudja senki","Follow The Flow",5171,https://open.spotify.com/track/1YO5hgAhxTRErZKKWyrMnu
57,Liar,"Camila Cabello",5140,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
58,"Hate Me (with Juice WRLD)","Ellie Goulding",5054,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
59,"Don't Call Me Up",Mabel,5042,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
60,"Happy Xmas (War Is Over) - Remastered","John Lennon",4906,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
61,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4893,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
62,"Trampoline (with ZAYN)",SHAED,4866,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
63,"Futsal Shuffle 2020","Lil Uzi Vert",4845,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
64,"Driving Home for Christmas - 2019 Remaster","Chris Rea",4786,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
65,"Christmas (Baby Please Come Home)","Darlene Love",4779,https://open.spotify.com/track/0jiPKUSdsJNCxMPHjMqptk
66,Shallow,"Lady Gaga",4778,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
67,Sucker,"Jonas Brothers",4770,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
68,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",4733,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
69,"when the party's over","Billie Eilish",4714,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
70,"No Idea","Don Toliver",4691,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
71,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",4647,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
72,"Maradok távol","Follow The Flow",4631,https://open.spotify.com/track/14b5S9m1tvXKEiSWAdw62r
73,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",4579,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
74,"How Do You Sleep?","Sam Smith",4549,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
75,"Csöcsök És Segg",Bsw,4540,https://open.spotify.com/track/5TBIYGyNiqCpjPlCb70v4R
