Position,"Track Name",Artist,Streams,URL
1,"blun7 a swishland","tha Supreme",522882,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
2,"Tutto Questo Sei Tu",Ultimo,360372,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
3,"fuck 3x","tha Supreme",352828,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
4,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,276581,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
5,"Dance Monkey","Tones and I",274749,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"Holly & Benji (feat. Capo Plaza & Shiva)",AVA,271940,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
7,"CRUDELIA - I nervi",Marracash,250470,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
8,"Soldi in Nero - feat. Sfera Ebbasta",Shiva,248965,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
9,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,247834,https://open.spotify.com/track/4z6l90HzhLLCd0hWddzbrh
10,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",232314,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
11,"RITMO (Bad Boys For Life)","The Black Eyed Peas",191715,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
12,"sw1n6o - feat. Salmo","tha Supreme",190341,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
13,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",188832,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
14,"m12ano - feat. Mara Sattei","tha Supreme",185296,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
15,"ANSIA NO","FSK SATELLITE",181671,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
16,Chiasso,Random,175718,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
17,"BRAVI A CADERE - I polmoni",Marracash,172222,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
18,"Non Avere Paura","Tommaso Paradiso",162165,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
19,"occh1 purpl3 - feat. Marracash","tha Supreme",159190,https://open.spotify.com/track/7gRPkCEa3YMaxET5ZYT7Ni
20,Bossoli,Shiva,155626,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
21,Memories,"Maroon 5",155248,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
22,Falling,"Trevor Daniel",152362,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
23,"Gigolò (feat. Sfera Ebbasta & Capo Plaza)",Lazza,151554,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
24,"Cin Cin",Alfa,146016,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
25,Barrio,Mahmood,145741,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
26,"Piccola Stella",Ultimo,141641,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
27,"Una volta ancora (feat. Ana Mena)","Fred De Palma",137594,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
28,"ch1 5ei te","tha Supreme",135918,https://open.spotify.com/track/0tRj4m46GRFrBS7IsbS0Gk
