Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",4623,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"Lose You To Love Me","Selena Gomez",2576,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
3,"HIGHEST IN THE ROOM","Travis Scott",2570,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
4,Memories,"Maroon 5",2391,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"Ride It",Regard,2231,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
6,Circles,"Post Malone",1981,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
7,Señorita,"Shawn Mendes",1948,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,Roller,"Apache 207",1907,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
9,"Someone You Loved","Lewis Capaldi",1877,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
10,"Don't Start Now","Dua Lipa",1865,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,"All You Need To Know (feat. Calle Lehmann)",Gryffin,1822,https://open.spotify.com/track/4TIkSdsNSfqpuq6ZYvCjAz
12,"RITMO (Bad Boys For Life)","The Black Eyed Peas",1813,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
13,110,"Capital Bra",1809,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
14,"Trampoline (with ZAYN)",SHAED,1766,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
15,"Beautiful People (feat. Khalid)","Ed Sheeran",1655,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
16,"Fake Love","The FifthGuys",1595,https://open.spotify.com/track/6cSFenpNCXimCdnZf16XRU
17,RYH,Kroshwell,1588,https://open.spotify.com/track/1x3HEn9UHAupYCo8EvoY0w
18,Foundations,KOLIDESCOPES,1586,https://open.spotify.com/track/5W2ALRJgFzaOLECIwkc7zK
19,"Something I Do",4Korners,1586,https://open.spotify.com/track/165aXXWKEGbUfD4BO3hHj3
20,Fallen,"Jared Moreno",1585,https://open.spotify.com/track/4WYZemFjHIFnhDYKMkPPBC
21,"I Can Do It",thisisNAMASTE,1585,https://open.spotify.com/track/6geP8EJWuHu9joZst9IAO3
22,"Never Look Back",Alley,1584,https://open.spotify.com/track/0KNoRXVANKeovxuGi7Nwor
23,"On The Track",Hanzy,1579,https://open.spotify.com/track/7gCqhYGpjVfk8IjoPlyX3r
24,"Don't Break To My Heart","Jared Moreno",1578,https://open.spotify.com/track/2Rwwh8HTF0knnyODSBOg62
25,"Take Me Away",Krozz,1577,https://open.spotify.com/track/6juPg3ZAPhuEVp8ajmqdip
26,"Work It Out - Radio Edit",Stormasound,1576,https://open.spotify.com/track/1inTQl91cc9SpX079gjOJw
27,"Blast Off","Nacho Fano",1573,https://open.spotify.com/track/73aYnMqtHsvQbZfM0Xv4Xp
28,"I Want You","Boris Ayson",1563,https://open.spotify.com/track/6WUq9X2cSp6uhjuA6O5kQ4
29,"All The Same","Jared Moreno",1560,https://open.spotify.com/track/4DTpfg0RAKWZ6EuezBvpE9
30,ROXANNE,"Arizona Zervas",1548,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo
31,"hot girl bummer",blackbear,1521,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
32,"The One (VIP Edit)",Dylerz,1400,https://open.spotify.com/track/5kM1RddnzOosACw52CQcfD
33,"Takeaway (feat. Lennon Stella)","The Chainsmokers",1330,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
34,"Where You Are - Alex Gaudino & Dyson Kellerman Remix",Milani,1283,https://open.spotify.com/track/3oODTnrP97aVJSos1xjV7C
35,Lalala,Y2K,1264,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
36,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1259,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
37,"bad guy","Billie Eilish",1259,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
38,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",1250,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
39,"Lose Control",MEDUZA,1245,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
40,Popopop,Gambi,1225,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
41,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",1141,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
42,"Look At Her Now","Selena Gomez",1118,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
43,"Stuck In A Dream (feat. Gunna)","Lil Mosey",1089,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
44,"200 km/h","Apache 207",1077,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
45,Liar,"Camila Cabello",1074,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
46,"How Do You Sleep?","Sam Smith",1052,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
47,KARMA,Nimo,1047,https://open.spotify.com/track/6oX9RuILbVIglevEhbg8iM
48,"Goodbyes (Feat. Young Thug)","Post Malone",1010,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
49,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1009,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
50,"Wieso tust Du dir das an?","Apache 207",1004,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
