Position,"Track Name",Artist,Streams,URL
1,Sucker,"Jonas Brothers",3560,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
2,"Con Calma","Daddy Yankee",3026,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
3,Shallow,"Lady Gaga",2875,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
4,"7 rings","Ariana Grande",2742,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
5,"break up with your girlfriend, i'm bored","Ariana Grande",2556,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
6,Secreto,"Anuel AA",2378,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
7,Wow.,"Post Malone",2365,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
8,"Giant (with Rag'n'Bone Man)","Calvin Harris",2293,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
9,"Dancing With A Stranger (with Normani)","Sam Smith",2098,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
10,"wish you were gay","Billie Eilish",2077,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS
11,"Don't Call Me Up",Mabel,2028,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
12,"Baila Baila Baila",Ozuna,1996,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
13,Amanece,"Anuel AA",1820,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
14,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",1759,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
15,"Calma - Remix","Pedro Capó",1721,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
16,"Sweet but Psycho","Ava Max",1676,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
17,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1667,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB
18,"i'm so tired...",Lauv,1602,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
19,"Si Se Da","Myke Towers",1568,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
20,"bury a friend","Billie Eilish",1561,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
21,"MIA (feat. Drake)","Bad Bunny",1535,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
22,"My Bad",Khalid,1469,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
23,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1403,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
24,"Pa Mí - Remix",Dalex,1395,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
25,"Sigue Bailandome",Yannc,1335,https://open.spotify.com/track/0GmiGIxXDNrePrHBpijYDp
26,"Who Do You Love","The Chainsmokers",1333,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
27,"Without Me",Halsey,1310,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
28,Fast,"Juice WRLD",1307,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
29,"MIDDLE CHILD","J. Cole",1298,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
30,"Adan y Eva","Paulo Londra",1270,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
31,Happier,Marshmello,1238,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
32,"Here With Me",Marshmello,1231,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
33,Talk,Khalid,1199,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
34,"Last Hurrah","Bebe Rexha",1195,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
35,Desconocidos,"Mau y Ricky",1193,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
36,"Solo de Mi","Bad Bunny",1191,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
37,"thank u, next","Ariana Grande",1142,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
38,"Bohemian Rhapsody - 2011 Mix",Queen,1133,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
39,"Let Me Down Slowly","Alec Benjamin",1122,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
40,Adictiva,"Daddy Yankee",1121,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
41,"Si Estuviésemos Juntos","Bad Bunny",1085,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
42,"Please Me","Cardi B",1081,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
43,"La Romana","Bad Bunny",1070,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv
44,"No Te Enamores","Paloma Mami",1062,https://open.spotify.com/track/0EJu1RBtxzldMG2peczuPv
45,Aullando,"Wisin & Yandel",1054,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
46,"Ella Quiere Beber - Remix","Anuel AA",1042,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
47,"High Hopes","Panic! At The Disco",1028,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
48,"Esclavo de Tus Besos","Manuel Turizo",1019,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
49,"Un Año","Sebastian Yatra",1014,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
50,"NI BIEN NI MAL","Bad Bunny",1006,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
51,"Someone You Loved","Lewis Capaldi",1004,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
