Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",887213,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Dance Monkey","Tones and I",585331,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,Vete,"Bad Bunny",533635,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
4,"RITMO (Bad Boys For Life)","The Black Eyed Peas",488448,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
5,"LA CANCIÓN","J Balvin",471122,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
6,"Pa' Olvidarme De Ella","Piso 21",443011,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
7,"No Me Conoce - Remix","Jhay Cortez",397806,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
8,Callaita,"Bad Bunny",389901,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
9,Fantasias,"Rauw Alejandro",389603,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
10,China,"Anuel AA",379211,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
11,"Que Tire Pa Lante","Daddy Yankee",320591,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
12,"Oye Pablo","Danna Paola",300808,https://open.spotify.com/track/4wJFExEZZo62tmwTM9ENDR
13,"Adicto (with Anuel AA & Ozuna)",Tainy,288120,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
14,Tutu,Camilo,278749,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
15,"Don't Start Now","Dua Lipa",278410,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
16,Quizas,"Rich Music LTD",265042,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
17,Indeciso,Reik,264849,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
18,Señorita,"Shawn Mendes",264782,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
19,"11 PM",Maluma,257094,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
20,"Amor A Primera Vista","Los Angeles Azules",247940,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J
21,"Soltera - Remix",Lunay,237376,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
22,"Con Altura",ROSALÍA,236981,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
23,"De Los Besos Que Te Di","Christian Nodal",236920,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
24,"QUE PRETENDES","J Balvin",230116,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
25,"Te Vi","Piso 21",220246,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
26,Blanco,"J Balvin",217655,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
27,"Otro Trago",Sech,214682,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
28,Circles,"Post Malone",213846,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
29,"No Se Me Quita (feat. Ricky Martin)",Maluma,210346,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR
30,"Ride It",Regard,210216,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
31,"Yo x Ti, Tu x Mi",ROSALÍA,209464,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
32,Memories,"Maroon 5",205931,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
33,"Tal Vez","Paulo Londra",198741,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
34,"Whine Up","Nicky Jam",195656,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
35,Desconocidos,"Mau y Ricky",194407,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
36,"Tra Tra Tra Remix","Ghetto Kids",189736,https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm
37,"Fuentes de Ortiz","Ed Maverick",189566,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
38,"No Te Contaron Mal","Christian Nodal",188661,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
39,"Me La Avente","Carin Leon",188299,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
40,"Mala Fama","Danna Paola",185414,https://open.spotify.com/track/2LVWDR1oEthhLIOtT4hHih
41,"Blinding Lights","The Weeknd",182434,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
42,"Qué Pena",Maluma,179070,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
43,"Si Te Vas",Sech,178211,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
44,HP,Maluma,169930,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
45,Caballero,"Alejandro Fernandez",168396,https://open.spotify.com/track/5DL6BDuqhnQw8HfIvUYkm9
46,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",165012,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
47,"Calma - Remix","Pedro Capó",163271,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
48,"Tu Sicaria","Ms Nina",161925,https://open.spotify.com/track/6fatMybX8VmHUpaxVcXzrz
49,"Con Calma","Daddy Yankee",160275,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
50,"Nunca Es Suficiente","Los Angeles Azules",154340,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg
51,"Otro Trago - Remix",Sech,146121,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
52,"Pa Mí - Remix",Dalex,141647,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
53,"How Do You Sleep?","Sam Smith",141061,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
54,"bad guy","Billie Eilish",140912,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
55,"Sigues Con El","Dimelo Flow",140027,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
56,Lalala,Y2K,138888,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
57,"Watermelon Sugar","Harry Styles",138475,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
58,"Ahora Te Puedes Marchar","Luis Miguel",138385,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
59,"Lost on You",LP,137800,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC
