Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",223855,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"Pa Olvidarte","Emma Heesters",205535,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
3,ROXANNE,"Arizona Zervas",204675,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,"In Die Life",JoeyAK,172816,https://open.spotify.com/track/7xP9xGroL8AoI7t2ik4KRy
5,Memories,"Maroon 5",170118,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,"Blinding Lights","The Weeknd",166952,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
7,"All I Want for Christmas Is You","Mariah Carey",163624,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
8,"everything i wanted","Billie Eilish",152966,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,Kofferbak,Boef,144740,https://open.spotify.com/track/5srlU62BkGl2VxfuuEgOYi
10,Circles,"Post Malone",143289,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
11,"Don't Start Now","Dua Lipa",142991,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
12,"Last Christmas",Wham!,140151,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
13,"Ride It",Regard,124815,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
14,Falling,"Trevor Daniel",117540,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,"Ze Huilt Maar Ze Lacht",Maan,109742,https://open.spotify.com/track/0JWaEkQmU8oaSukOBCbrJC
16,"Stil In Mij (Verspijkerd)",Josylvio,109397,https://open.spotify.com/track/0jaehfKrOQzs0XRbJZH8XT
17,"Ze Kent Mij",Snelle,108817,https://open.spotify.com/track/3BiBIgQFa8K4EOxisyhXX7
18,"Santa Tell Me","Ariana Grande",106718,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
19,"Lucid Dreams","Juice WRLD",105781,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
20,Reünie,Snelle,105249,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
21,"Someone You Loved","Lewis Capaldi",104868,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,Lippenstift,"Marco Borsato",102445,https://open.spotify.com/track/3D9MKbMaHCZjSEcCWf4wDm
