Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",177648,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Fantasias,"Rauw Alejandro",127649,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
3,"RITMO (Bad Boys For Life)","The Black Eyed Peas",106573,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
4,China,"Anuel AA",99846,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
5,"Hola - Remix",Dalex,92687,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
6,"LA CANCIÓN","J Balvin",86351,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
7,"No Me Conoce - Remix","Jhay Cortez",81231,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
8,"Que Tire Pa Lante","Daddy Yankee",76946,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
9,Tutu,Camilo,75044,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
10,Callaita,"Bad Bunny",70952,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
11,"Whine Up","Nicky Jam",69467,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
12,Vete,"Bad Bunny",69308,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
13,"Adicto (with Anuel AA & Ozuna)",Tainy,68428,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
14,Quizas,"Rich Music LTD",63845,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
15,"Bellaquita - Remix",Dalex,63844,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
16,Indeciso,Reik,62976,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
17,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",62819,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
18,"Dance Monkey","Tones and I",61390,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
19,"Soltera - Remix",Lunay,59857,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
20,"En Peligro de Extinción","Bembe Orquesta",59624,https://open.spotify.com/track/6NFqonbFp2QhnJIh7cE2s3
21,Desconocidos,"Mau y Ricky",56922,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
22,"Si Te Vas",Sech,54677,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
23,"Te Vi","Piso 21",52385,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
24,"Que Mas Pues - Remix",Sech,51724,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
25,"QUE PRETENDES","J Balvin",51553,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
26,Loco,Beéle,50325,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
27,Señorita,"Shawn Mendes",50187,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
28,"Otro Trago - Remix",Sech,48796,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
29,"11 PM",Maluma,48366,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
30,"Con Altura",ROSALÍA,47561,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
31,"Pa Mí - Remix",Dalex,47400,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
32,"Yo x Ti, Tu x Mi",ROSALÍA,46960,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
33,Aventura,Lunay,46279,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
34,Fresa,TINI,45720,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
35,"Una Vida Para Recordar","Piso 21",45713,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
36,Destino,Greeicy,43264,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
37,"Qué Pena",Maluma,42748,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
38,Bonita,Juanes,42536,https://open.spotify.com/track/3ewwb5s3WHYqEdkBnwKlTS
39,Bellaquita,Dalex,42505,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
40,Detente,"Mike Bahía",42212,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
41,Cuaderno,Dalex,41976,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
42,"Si Se Da - Remix","Myke Towers",41664,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
43,"La Boca - Remix","Mau y Ricky",40081,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
44,"Cristina (feat. Shelow Shaq)",Maffio,40004,https://open.spotify.com/track/2egI1hFZDAYrkCgtepoore
45,Oye,TINI,39385,https://open.spotify.com/track/09nSCeCs6eYfAIJVfye1CE
46,"Verte Ir","DJ Luian",39090,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
47,"Un Año","Sebastian Yatra",38402,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
48,Atrévete,"Nicky Jam",37899,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
49,"No Te Vayas",Camilo,36663,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB
50,"Otro Trago",Sech,34459,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
51,"Señor Mentira","Daniela Darcourt",33381,https://open.spotify.com/track/1euUy5iIipadV7jrHQRiYE
52,"La Mejor Versión de Mi - Remix","Natti Natasha",30691,https://open.spotify.com/track/2dy3TKVDEbIeWxeIb8JWqZ
53,"Sigues Con El","Dimelo Flow",30112,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
54,Blanco,"J Balvin",28242,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
55,Créeme,"KAROL G",28139,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU
56,"Con Calma","Daddy Yankee",27960,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
57,"Cuerpo en Venta",Noriel,27762,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
58,"Amigos No Por Favor","Bembe Orquesta",27655,https://open.spotify.com/track/0FSuo71145fPvjrnjkwIU8
59,"Tal Vez","Paulo Londra",27171,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
60,"Calma - Remix","Pedro Capó",27096,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
61,Piensan,"Myke Towers",27042,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
62,"Adan y Eva","Paulo Londra",26621,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
63,"Ella Quiere Beber - Remix","Anuel AA",26563,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
64,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",26467,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
65,"La Boca","Mau y Ricky",26248,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
66,Secreto,"Anuel AA",25802,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
67,Runaway,"Sebastian Yatra",25506,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
68,"Te Robaré","Nicky Jam",25450,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T
69,HP,Maluma,24594,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
70,"Pa' Olvidarme De Ella","Piso 21",24241,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
