Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",44880,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Hola - Remix",Dalex,38085,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
3,"Bellaquita - Remix",Dalex,35250,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
4,Fantasias,"Rauw Alejandro",34334,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
5,Vete,"Bad Bunny",27748,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
6,Quizas,"Rich Music LTD",27635,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
7,"Adicto (with Anuel AA & Ozuna)",Tainy,24372,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
8,"Si Te Vas",Sech,22019,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
9,Bellaquita,Dalex,21855,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
10,China,"Anuel AA",20547,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
11,"RITMO (Bad Boys For Life)","The Black Eyed Peas",20295,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
12,"Que Tire Pa Lante","Daddy Yankee",19878,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
13,"LA CANCIÓN","J Balvin",18943,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
14,"No Me Conoce - Remix","Jhay Cortez",17842,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
15,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",17458,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
16,"Cuerpo en Venta",Noriel,16912,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
17,Aventura,Lunay,16736,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
18,"Whine Up","Nicky Jam",16020,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
19,Callaita,"Bad Bunny",14792,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
20,Piensan,"Myke Towers",14256,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
21,"Mi Error - Remix","Eladio Carrion",13676,https://open.spotify.com/track/0lbhKycRyqkOMKZ6thzfU4
22,Uniforme,"Rich Music LTD",13551,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc
23,Velitas,Darell,13353,https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq
24,"Soltera - Remix",Lunay,12320,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
25,"Pa Mí - Remix",Dalex,12022,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
26,"Si Se Da - Remix","Myke Towers",11908,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
