Position,"Track Name",Artist,Streams,URL
1,XO,Yasin,258036,https://open.spotify.com/track/0JyOOPqNSdhIC7VrxrRNGt
2,"Lev nu dö sen","Miss Li",140935,https://open.spotify.com/track/6HJasLoTKvxglAMQH8nPcD
3,"Dance Monkey","Tones and I",138059,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,FÖRSENT,1.Cuz,131504,https://open.spotify.com/track/6mDcLPGVCmdhMN4gBzNb7s
5,"All I Want for Christmas Is You","Mariah Carey",129597,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
6,"Last Christmas",Wham!,129041,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
7,DSGIS,Yasin,119306,https://open.spotify.com/track/1ett0ayp7e0sad3oWQtJPQ
8,"Blinding Lights","The Weeknd",117093,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
9,"No Cap",Adel,114032,https://open.spotify.com/track/3G69nPByVZKPtgsesLKbx4
10,PIPPI,"Dree Low",113141,https://open.spotify.com/track/3ySRhREV5ceozxdk0lPqIe
11,TESLA,Macky,109770,https://open.spotify.com/track/4LZi20EAgNBhTR3OBWLzdr
12,"Hey Ho","Freddy Kalas",99803,https://open.spotify.com/track/0eekaX32hUmJgcinPCL1iZ
13,Apoteket,Greekazo,97197,https://open.spotify.com/track/33pcmSPeqpP7EjUOBd2dZM
14,"Va Mig","Ant Wan",93531,https://open.spotify.com/track/5HsBJenkDnrzim7o7uKwQq
15,"Tänd ett ljus",Triad,90238,https://open.spotify.com/track/0WeT9UnF79pGH5ohYHsnD9
16,"It's Beginning to Look a Lot like Christmas","Michael Bublé",87269,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
17,"Someone You Loved","Lewis Capaldi",82587,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,"Feliz Navidad","José Feliciano",81463,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
19,"everything i wanted","Billie Eilish",76688,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
20,Falling,"Trevor Daniel",76162,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
21,"RÄKNA MINA DAGAR",1.Cuz,76041,https://open.spotify.com/track/39YxFKLZ1xbu1f9gQiwkFz
22,"Santa Tell Me","Ariana Grande",75993,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
23,Memories,"Maroon 5",74880,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
24,"Mer jul","Adolphson & Falk",74513,https://open.spotify.com/track/6UbwfQeAEzhnolDwXiPowY
25,"Rockin' Around The Christmas Tree","Brenda Lee",74424,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
26,Circles,"Post Malone",74347,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
27,"Jingle Bell Rock","Bobby Helms",73554,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
28,HotSpot,Greekazo,73388,https://open.spotify.com/track/2W9WzW1Ot0YrWpJwWoRRVO
29,ROXANNE,"Arizona Zervas",72925,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
30,"Driving Home for Christmas - 2019 Remaster","Chris Rea",68597,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
31,Mistletoe,"Justin Bieber",67771,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
32,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",67371,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
