Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",20519,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Vete,"Bad Bunny",13201,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
3,"LA CANCIÓN","J Balvin",11845,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
4,Fantasias,"Rauw Alejandro",11843,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
5,"No Me Conoce - Remix","Jhay Cortez",11718,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
6,"RITMO (Bad Boys For Life)","The Black Eyed Peas",11320,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
7,China,"Anuel AA",10753,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
8,Callaita,"Bad Bunny",10196,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
9,"Que Tire Pa Lante","Daddy Yankee",9009,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
10,"Adicto (with Anuel AA & Ozuna)",Tainy,8914,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
11,"Whine Up","Nicky Jam",7738,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
12,"Dance Monkey","Tones and I",7616,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,"Soltera - Remix",Lunay,7349,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
14,Tutu,Camilo,6951,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
15,"Pa' Olvidarme De Ella","Piso 21",6862,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
16,"Si Te Vas",Sech,6433,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
17,Quizas,"Rich Music LTD",6272,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
18,Desconocidos,"Mau y Ricky",6254,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
19,"Pa Mí - Remix",Dalex,6139,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
20,"Hola - Remix",Dalex,6054,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
21,Bellaquita,Dalex,5975,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
22,"Sigues Con El","Dimelo Flow",5857,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
