Position,"Track Name",Artist,Streams,URL
1,"Lối Nhỏ",Đen,19115,https://open.spotify.com/track/22F7P7QnaVspdf5rKveBaS
2,Señorita,"Shawn Mendes",18209,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
3,"Dance Monkey","Tones and I",17699,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Memories,"Maroon 5",17238,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"Bài Này Chill Phết",Đen,13572,https://open.spotify.com/track/2AiZm17zqkV7llT3SHz4Nu
6,"Hãy Trao Cho Anh","Sơn Tùng M-TP",11948,https://open.spotify.com/track/0f5yQttJS5nNxRAleF4kZO
7,"Em Day Chang Phai Thuy Kieu","Hoang Thuy Linh",11784,https://open.spotify.com/track/031jyNUkkD02vrkgZDGJxu
8,"Đi Đu Đưa Đi","Bich Phuong",10821,https://open.spotify.com/track/2OZTkXYCNbZS9TwPRy52Js
9,Mascara,Chillies,10207,https://open.spotify.com/track/2Jaaw8PrdUfPlU6o6tL5dl
10,"bad guy","Billie Eilish",10073,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
11,"7 rings","Ariana Grande",9911,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
12,"everything i wanted","Billie Eilish",9899,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
13,"Let Me Down Slowly","Alec Benjamin",9769,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
14,"De Mi Noi Cho Ma Nghe","Hoang Thuy Linh",9368,https://open.spotify.com/track/5mBWIm9EGnhZRYBYgAS72m
15,"Thanh Xuan","Da LAB",9199,https://open.spotify.com/track/3b34161QoxLwsqhWSPy9i5
16,"Can We Kiss Forever?",Kina,9097,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
17,"LẦN CUỐI (đi bên em xót xa người ơi)",Ngọt,8908,https://open.spotify.com/track/7AzGrpsT9kTI6OUdMXlHWe
18,"Có Người","Vu Cat Tuong",8849,https://open.spotify.com/track/5pf3f5rhtUnZ1PeTcHKVdz
19,"I Love You 3000","Stephanie Poetri",8691,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
20,"Someone You Loved","Lewis Capaldi",8634,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"Mượn Rượu Tỏ Tình",BigDaddy,8389,https://open.spotify.com/track/3TXSdTpaqKBpWyUG3aJ3LK
22,"I'm Still Loving You","Noo Phước Thịnh",8338,https://open.spotify.com/track/7vJyCz6Q8AE13xfPo6iQAz
23,"Duyen Am","Hoang Thuy Linh",8268,https://open.spotify.com/track/5dZHey2U2xrNpvgyop8URS
24,2002,Anne-Marie,8247,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
25,"Without Me",Halsey,8233,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
26,"Anh Đếch Cần Gì Nhiều Ngoài Em",Đen,8184,https://open.spotify.com/track/7GxSshyjKx46dlIV2UoVrc
27,"Lạ Lùng",Vũ.,8048,https://open.spotify.com/track/1ayp8veQBb6NRZepn7ENm6
28,"Don't Start Now","Dua Lipa",7731,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
29,comethru,"Jeremy Zucker",7655,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
30,ROXANNE,"Arizona Zervas",7451,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
31,"Lam Moi Toi Ngoi Khong","Hoang Thuy Linh",7373,https://open.spotify.com/track/01WDJ9gcaXFuNzY5ir9CaE
32,"Boy With Luv (feat. Halsey)",BTS,7357,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
33,"SUGA's Interlude",Halsey,7310,https://open.spotify.com/track/5a0nHa7F4S9hb0Zi0zLS8w
34,"Hai Triệu Năm",Đen,7266,https://open.spotify.com/track/2qnnREp8mFVipaEoUlw9ya
35,"10,000 Hours (with Justin Bieber)","Dan + Shay",7254,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
36,Circles,"Post Malone",7054,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
37,"Đâu Cần Một Bài Ca Tình Yêu","Tien Tien",7042,https://open.spotify.com/track/6PLNoijWdc3dWqc1KKjv73
38,"Truyen Thai Y (feat. Masew)","Ngo Kien Huy",6750,https://open.spotify.com/track/70SyyW2Z1A5UNY3g8bPo5I
39,"All I Want for Christmas Is You","Mariah Carey",6747,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
40,"Lose You To Love Me","Selena Gomez",6681,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
41,"thank u, next","Ariana Grande",6653,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
42,"Cho Tôi Lang Thang",Ngọt,6328,https://open.spotify.com/track/7gxlKu5NBdbOHD5aHBAouf
43,"Sweet but Psycho","Ava Max",6238,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
44,"Beautiful People (feat. Khalid)","Ed Sheeran",6167,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
45,"Girls Like You (feat. Cardi B)","Maroon 5",6126,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
46,"On My Way","Alan Walker",6039,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
47,Lily,"Alan Walker",5808,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN
48,"I Don't Care (with Justin Bieber)","Ed Sheeran",5803,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
49,"Adore You","Harry Styles",5574,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
50,"Trampoline (with ZAYN)",SHAED,5449,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
51,"Kill This Love",BLACKPINK,5372,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
52,"Noi Minh Dung Chan (Nhac Phim Chi Tro Ly Cua Anh)","Mỹ Tâm",5332,https://open.spotify.com/track/4fnCQeozjJTzN1pKWuWeBO
53,"Và Thế Là Hết",Chillies,5278,https://open.spotify.com/track/1lhdtLh7c6Y21O36qxCXxD
54,Sucker,"Jonas Brothers",5155,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
55,"Sáng Mắt Chưa","Truc Nhan",5096,https://open.spotify.com/track/5spB6Z40wYgt7hzPhnZVbi
56,I.F.L.Y.,Bazzi,4938,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
57,"Mean It",Lauv,4930,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
58,"Last Christmas",Wham!,4855,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
59,"Mười Năm (Lộn Xộn 3) [feat. Ngọc Linh]",Đen,4852,https://open.spotify.com/track/1LXX0v5Nk5YR6gip7WL7g1
60,"How Do You Sleep?","Sam Smith",4735,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
61,SOLO,JENNIE,4717,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
62,"Ke Cap Gap Ba Gia (feat. BINZ)","Hoang Thuy Linh",4702,https://open.spotify.com/track/3HJ0EW4kd9S1NRCm039Fsk
63,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",4687,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
64,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4622,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
65,"boyfriend (with Social House)","Ariana Grande",4587,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
66,Falling,"Trevor Daniel",4557,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
67,"Thuong Em La Dieu Anh Khong The Ngo","Noo Phước Thịnh",4522,https://open.spotify.com/track/2gT5LL3uRANxvvmDxaULbQ
68,"Watermelon Sugar","Harry Styles",4470,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
69,"Ngày Mai Em Đi","Lê Hiếu",4460,https://open.spotify.com/track/0ZP4bO2ywAv44HiEzzHaq5
70,"Blinding Lights","The Weeknd",4448,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
71,"Make It Right (feat. Lauv)",BTS,4421,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
72,HONGKONG12,"Nguyễn Trọng Tài",4417,https://open.spotify.com/track/3edMkFV4BwGeqt45bPhzIw
73,"1 Phút",Andiez,4312,https://open.spotify.com/track/7JVxQjXcMlIwHuwrq7AY8E
74,"So Am I","Ava Max",4310,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
75,"Lover (Remix) [feat. Shawn Mendes]","Taylor Swift",4281,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
76,"Phố Không Em","Thái Đinh",4239,https://open.spotify.com/track/3WkvZbY9jVVIfBGhrcnVAL
77,"I'm a Mess","Bebe Rexha",4143,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
78,"Her Summer",Vũ.,4140,https://open.spotify.com/track/4XkeDeEoSxS7V1B4cjDshU
79,"Santa Tell Me","Ariana Grande",4110,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
80,"My Oh My (feat. DaBaby)","Camila Cabello",4109,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
81,Lover,"Taylor Swift",4043,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
