Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",257080,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"RITMO (Bad Boys For Life)","The Black Eyed Peas",224300,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
3,Fantasias,"Rauw Alejandro",221991,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
4,"Hola - Remix",Dalex,220803,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
5,"Que Tire Pa Lante","Daddy Yankee",187852,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
6,China,"Anuel AA",175018,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
7,Fresa,TINI,171021,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
8,Vete,"Bad Bunny",168292,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
9,"Bellaquita - Remix",Dalex,160138,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
10,"Dance Monkey","Tones and I",159593,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
11,"Adicto (with Anuel AA & Ozuna)",Tainy,151571,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
12,Quizas,"Rich Music LTD",145856,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
13,"Perreo en La Luna","Rich Music LTD",143953,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
14,Goteo,Duki,134629,https://open.spotify.com/track/57kdZIOAaolxAjB67d2yU3
15,Tutu,Camilo,133085,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
16,"Si Te Vas",Sech,131000,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
17,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",124695,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
18,"Ya No Mas","Fer Palacio",121598,https://open.spotify.com/track/4dqoJHdxf9Ez4DDqGh2PBc
19,"LA CANCIÓN","J Balvin",118151,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
20,Aventura,Lunay,117932,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
