Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",69013,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",41516,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"Ne reviens pas",Gradur,39968,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
4,"Ride It",Regard,36185,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
5,"everything i wanted","Billie Eilish",36060,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
6,Memories,"Maroon 5",34874,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,"Don't Start Now","Dua Lipa",34809,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"All I Want for Christmas Is You","Mariah Carey",34310,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
9,"Blinding Lights","The Weeknd",33038,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
10,"Someone You Loved","Lewis Capaldi",30601,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,Circles,"Post Malone",28021,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12,Señorita,"Shawn Mendes",27342,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
13,"Lucid Dreams","Juice WRLD",27041,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
14,Falling,"Trevor Daniel",26950,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,"Lose Control",MEDUZA,26006,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
16,"Hoe Het Danst","Marco Borsato",25726,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
17,"hot girl bummer",blackbear,25725,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
18,"Lose You To Love Me","Selena Gomez",25346,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
19,"bad guy","Billie Eilish",24040,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
