Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",4319,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Heartless,"The Weeknd",3922,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
3,"Blinding Lights","The Weeknd",3398,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,"HIGHEST IN THE ROOM","Travis Scott",3298,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
5,Falling,"Trevor Daniel",2927,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
6,"everything i wanted","Billie Eilish",2656,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
7,"Куча марка","Boro Purvi",2591,https://open.spotify.com/track/1gcVQukmyakNQHHLSPbxH2
8,"Don't Start Now","Dua Lipa",2475,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,Señorita,"Shawn Mendes",2433,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
10,"Adore You","Harry Styles",2401,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
11,ROXANNE,"Arizona Zervas",2297,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
12,"Майко Майко","Boro Purvi",2281,https://open.spotify.com/track/11VyWPLK8nQqZEpsg2rkww
13,"bad guy","Billie Eilish",2258,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
14,"Watermelon Sugar","Harry Styles",2145,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"Lucid Dreams","Juice WRLD",2142,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
16,"Roses - Imanbek Remix","SAINt JHN",2093,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
17,"All I Want for Christmas Is You","Mariah Carey",2084,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
18,"Излъжи ме",Lidia,1981,https://open.spotify.com/track/197aNKfFNy02if3CpWStRI
19,Circles,"Post Malone",1976,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
20,Poludyavash,Malkata,1953,https://open.spotify.com/track/0iIAmOd9IVJK5KZ7hx8eS5
21,Lamborghini,Galena,1886,https://open.spotify.com/track/5v1ngTQTFEjKEirsiaKsvQ
22,Superintro,"Boro Purvi",1869,https://open.spotify.com/track/2ZNTZ6YvhoXhoKV7DWOm51
23,"Вс искат да са лоши","Boro Purvi",1835,https://open.spotify.com/track/00xxLYArclw9ACfboY8cl8
24,"Someone You Loved","Lewis Capaldi",1830,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,"My Oh My (feat. DaBaby)","Camila Cabello",1801,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
26,"Ella Ella",DARA,1778,https://open.spotify.com/track/51iXf0uczhZaNjva8wADBv
27,"7 rings","Ariana Grande",1763,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
28,"Futsal Shuffle 2020","Lil Uzi Vert",1694,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
29,"Last Christmas",Wham!,1687,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
30,Liar,"Camila Cabello",1680,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
31,Memories,"Maroon 5",1671,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
32,"27 Club","Boro Purvi",1648,https://open.spotify.com/track/40r5aSMv4M7CfITWK81f78
33,"Ayy Macarena",Tyga,1604,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
34,"No Idea","Don Toliver",1601,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
35,"Taka ni se pada",Preslava,1560,https://open.spotify.com/track/4QVBJZKMRLl2XsSDGbsf7D
36,Сметката,"Boro Purvi",1560,https://open.spotify.com/track/0GLrISF5TyyW87eT4f69c7
37,"Ride It",Regard,1559,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
