Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",25034,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Fantasias,"Rauw Alejandro",14811,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
3,"Dance Monkey","Tones and I",14583,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Pa' Olvidarme De Ella","Piso 21",13451,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
5,"RITMO (Bad Boys For Life)","The Black Eyed Peas",12267,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
6,Vete,"Bad Bunny",12169,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
7,"LA CANCIÓN","J Balvin",12022,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
8,China,"Anuel AA",11162,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
9,"No Me Conoce - Remix","Jhay Cortez",9844,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
10,Callaita,"Bad Bunny",9099,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
11,Tutu,Camilo,8385,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
12,"Hola - Remix",Dalex,8110,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
13,"Whine Up","Nicky Jam",8073,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
14,"Si Te Vas",Sech,7985,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
15,"Adicto (with Anuel AA & Ozuna)",Tainy,7868,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
16,"Que Tire Pa Lante","Daddy Yankee",7790,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
17,"11 PM",Maluma,7726,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
18,Señorita,"Shawn Mendes",7581,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
