Position,"Track Name",Artist,Streams,URL
1,"Liberdade Provisória","Henrique & Juliano",740124,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg
2,"Combatchy (feat. MC Rebecca)",Anitta,637134,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
3,SENTADÃO,"Pedro Sampaio",624567,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
4,"Surtada - Remix Brega Funk","Dadá Boladão",553921,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
5,"Supera - Ao Vivo","Marília Mendonça",490635,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
6,"Cheirosa - Ao Vivo","Jorge & Mateus",478415,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
7,"Some que ele vem atrás",Anitta,433373,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5
8,"Gaiola É o Troco","MC Du Black",412658,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
9,Verdinha,Ludmilla,410343,https://open.spotify.com/track/2RMOwSvOGQyy985Vx4VSGQ
10,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",403798,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
11,"Hit Contagiante","Felipe Original",378000,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
12,Girassol,"Priscilla Alcantara",377189,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj
13,"Chama Ela (feat. Pedro Sampaio)",Lexa,371167,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ
14,"3 Batidas - Ao Vivo","Guilherme & Benuto",355480,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
15,"Tijolão - Ao Vivo","Jorge & Mateus",354708,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7
16,"Dance Monkey","Tones and I",337122,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
17,"menina solta","Giulia Be",334428,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
18,"To Voando Alto","Mc Poze do Rodo",332034,https://open.spotify.com/track/7HLU2aJTAQfSIgJ2dMASsP
19,"Quarta Cadeira - Ao Vivo","Matheus & Kauan",331820,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn
20,"Contatinho - Ao Vivo Em São Paulo / 2019","Leo Santana",330725,https://open.spotify.com/track/4RC2nzqaQygxoVQOVv3XlT
21,"Lençol Dobrado","João Gustavo e Murilo",325286,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY
22,"Ferida Curada","Zé Neto & Cristiano",320535,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR
23,"Quando a vontade bater (Participação especial de PK Delas)",Pk,312053,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH
24,"Kenny G",Matuê,299105,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW
25,"Sentou e Gostou","MC JottaPê",297192,https://open.spotify.com/track/6V43u5SCjkfMpxMAXRPifr
26,"S de Saudade","Luíza & Maurílio",295728,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
27,"Invocada (Participação especial de Léo Santana) - Ao vivo",Ludmilla,286984,https://open.spotify.com/track/4k20Ie47EcWtS4wMBn8w8S
28,"Tiro Certo - Ao Vivo","Zé Felipe",285148,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk
29,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",278630,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
30,"quando a bad bater - ao vivo","Luan Santana",277753,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ
31,"Ela Vem","MC G15",275851,https://open.spotify.com/track/31yFXM26dazFnWI2eoOM5R
32,"Amor de Que","Pabllo Vittar",275202,https://open.spotify.com/track/7yYsyXQa2JgbyL9fkEiUNt
33,"Serenata - Ao Vivo","Marília Mendonça",274811,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
34,"Se Prepara 2","Mc Livinho",273354,https://open.spotify.com/track/0CgMeXQiNYJxPVQ2EMJxdL
35,"Poesia Acústica #8: Amor e Samba","Pineapple StormTv",269031,https://open.spotify.com/track/2RoWhAVtQrPU53BERYlmYZ
36,"Com ou Sem Mim (Ao Vivo em Fortaleza)","Gustavo Mioto",261478,https://open.spotify.com/track/2BU6XXSG8SqiptRuj6EiLA
37,"Bebi Liguei - Ao Vivo","Marília Mendonça",258407,https://open.spotify.com/track/3RbXsVQr4jeTxvT35Hssq3
38,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",255012,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI
39,Pupila,ANAVITÓRIA,254016,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk
40,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",250472,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
41,"A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília","Diego & Victor Hugo",247747,https://open.spotify.com/track/4gDvg62vG96w0qJaF6wzcd
42,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",245903,https://open.spotify.com/track/6lK3nCiigk34SGqEjpQoqO
43,Complicado,Vitão,242766,https://open.spotify.com/track/52vPpP2gEYaBROIS77J38P
44,"choque térmico - ao vivo","Luan Santana",241004,https://open.spotify.com/track/159ntSAEWJ9zIMOSXmQ530
45,"Carreira Solo - Ao Vivo","Gusttavo Lima",239658,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN
46,"Vou Ter Que Superar - Ao Vivo","Matheus & Kauan",231203,https://open.spotify.com/track/6sRLrSetyIwIKhW1eMlUNP
47,"Briga Feia","Henrique & Juliano",231173,https://open.spotify.com/track/6e8X0VVUO6BIZMnDvICDOR
48,Señorita,"Shawn Mendes",224005,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
49,"Para, Pensa e Volta - Ao Vivo","Yasmin Santos",223306,https://open.spotify.com/track/2KyXyTrp3kp1Fsg7B1osYD
