Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",226670,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",206556,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"Futsal Shuffle 2020","Lil Uzi Vert",193537,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
4,"All I Want for Christmas Is You","Mariah Carey",168444,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
5,Circles,"Post Malone",165318,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,Falling,"Trevor Daniel",159907,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,"Blinding Lights","The Weeknd",152529,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
8,"The Box","Roddy Ricch",151234,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
9,"Adore You","Harry Styles",149736,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
10,Heartless,"The Weeknd",138518,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
11,"Someone You Loved","Lewis Capaldi",133848,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,"Watermelon Sugar","Harry Styles",130278,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",130201,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
14,"Last Christmas",Wham!,129775,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
15,Memories,"Maroon 5",125020,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
16,"HIGHEST IN THE ROOM","Travis Scott",122352,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
17,"My Oh My (feat. DaBaby)","Camila Cabello",121507,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
18,"everything i wanted","Billie Eilish",120820,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
19,"Lucid Dreams","Juice WRLD",113898,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
20,"Don't Start Now","Dua Lipa",113549,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
21,"It's Beginning to Look a Lot like Christmas","Michael Bublé",112863,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
22,"Santa Tell Me","Ariana Grande",111739,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
23,BOP,DaBaby,109828,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
24,"It's the Most Wonderful Time of the Year","Andy Williams",104634,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
25,"Holly Jolly Christmas","Michael Bublé",103710,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
26,Mistletoe,"Justin Bieber",102143,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
27,"hot girl bummer",blackbear,100814,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
28,"Rockin' Around The Christmas Tree","Brenda Lee",98762,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
29,Señorita,"Shawn Mendes",96260,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
30,"Jingle Bell Rock","Bobby Helms",95906,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
31,"Lose You To Love Me","Selena Gomez",95811,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
32,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",88683,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
33,"Underneath the Tree","Kelly Clarkson",84655,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
34,Robbery,"Juice WRLD",84042,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
35,"The Christmas Song (Merry Christmas To You)","Nat King Cole",82501,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
36,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",82082,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
37,"10,000 Hours (with Justin Bieber)","Dan + Shay",81831,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
38,"No Idea","Don Toliver",81572,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
39,"bad guy","Billie Eilish",81081,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
40,"Lights Up","Harry Styles",80574,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
41,Falling,"Harry Styles",79810,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
42,"Happy Xmas (War Is Over) - Remastered","John Lennon",79316,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
43,"Before You Go","Lewis Capaldi",79261,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
44,"Do They Know It's Christmas? - 1984 Version","Band Aid",79256,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
45,"A Holly Jolly Christmas - Single Version","Burl Ives",78605,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
46,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",78245,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
47,Woah,"Lil Baby",78117,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
48,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",77199,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
49,Ransom,"Lil Tecca",75982,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
50,"Money In The Grave (Drake ft. Rick Ross)",Drake,74871,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
51,"Beautiful People (feat. Khalid)","Ed Sheeran",74592,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
52,"White Christmas","Bing Crosby",72383,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
53,"Feliz Navidad","José Feliciano",70346,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
54,"RITMO (Bad Boys For Life)","The Black Eyed Peas",69278,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
55,"Ballin' (with Roddy Ricch)",Mustard,68405,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
56,"Ride It",Regard,67154,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
57,"Truth Hurts",Lizzo,66891,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
58,"Stuck In A Dream (feat. Gunna)","Lil Mosey",66541,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
59,"Goodbyes (Feat. Young Thug)","Post Malone",66061,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
60,Lalala,Y2K,65738,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
