Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",55100,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Roller,"Apache 207",31392,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
3,"All I Want for Christmas Is You","Mariah Carey",28309,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,COLT,Samra,25612,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
5,"KEIN SCHLAF",Nimo,25459,https://open.spotify.com/track/6416zJN0FGPmh1Ph4BH2h3
6,Falling,"Trevor Daniel",25264,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,"Last Christmas",Wham!,25027,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
8,"Der Bratan bleibt der gleiche","Capital Bra",24707,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
9,ROXANNE,"Arizona Zervas",24668,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,"Someone You Loved","Lewis Capaldi",24653,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,Memories,"Maroon 5",24010,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
12,"Ride It",Regard,22671,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
13,110,"Capital Bra",22534,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
14,"everything i wanted","Billie Eilish",22328,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
15,"Ne reviens pas",Gradur,21651,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
16,"HIGHEST IN THE ROOM","Travis Scott",20944,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
17,"Ayy Macarena",Tyga,20683,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
18,Señorita,"Shawn Mendes",20633,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
19,"RITMO (Bad Boys For Life)","The Black Eyed Peas",20403,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
20,"Blinding Lights","The Weeknd",19793,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
21,"Don't Start Now","Dua Lipa",18790,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
22,Circles,"Post Malone",18012,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
23,"Santa Tell Me","Ariana Grande",17856,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
24,"95 BPM",Samra,17272,https://open.spotify.com/track/6WSwle8wTdJhOGEukwTxWf
25,"Lucid Dreams","Juice WRLD",16831,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
26,100%,Senidah,15786,https://open.spotify.com/track/58cWbqYLz06X69SqJiYeky
27,"bad guy","Billie Eilish",15430,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
28,"Lose You To Love Me","Selena Gomez",15339,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
29,"hot girl bummer",blackbear,15051,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
30,"Beautiful People (feat. Khalid)","Ed Sheeran",14847,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
31,Tiffany,Shindy,14512,https://open.spotify.com/track/2L0H5LWEuIAvrzfzTruyCB
32,"It's Beginning to Look a Lot like Christmas","Michael Bublé",14301,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
33,Moulaga,"Heuss L'enfoiré",13943,https://open.spotify.com/track/5BfCoUcWNXcpyJfjXRIeyC
34,"Adore You","Harry Styles",13937,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
35,"Futsal Shuffle 2020","Lil Uzi Vert",13682,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
36,Mistletoe,"Justin Bieber",13560,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
37,"200 km/h","Apache 207",13342,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
38,"Before You Go","Lewis Capaldi",13240,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,"Lose Control",MEDUZA,12999,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
40,"Rockin' Around The Christmas Tree","Brenda Lee",12854,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
41,"Jingle Bell Rock","Bobby Helms",12700,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
42,KARMA,Nimo,12570,https://open.spotify.com/track/6oX9RuILbVIglevEhbg8iM
43,"I Don't Care (with Justin Bieber)","Ed Sheeran",12356,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
44,Heartless,"The Weeknd",12296,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
45,"Feliz Navidad","José Feliciano",12270,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
46,2002,Sido,12081,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
47,"Watermelon Sugar","Harry Styles",11797,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
48,Tilidin,"Capital Bra",11732,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU
49,"Wieso tust Du dir das an?","Apache 207",11678,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
50,BOP,DaBaby,11621,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
51,"Higher Love",Kygo,11511,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
52,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",11485,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
53,Shallow,"Lady Gaga",11435,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
54,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",11427,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
55,Outnumbered,"Dermot Kennedy",11421,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
56,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",11343,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
57,"No Idea","Don Toliver",11288,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
58,"Holly Jolly Christmas","Michael Bublé",11288,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
59,"Roses - Imanbek Remix","SAINt JHN",11273,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
60,"It's the Most Wonderful Time of the Year","Andy Williams",11117,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
