Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",363972,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Hola - Remix",Dalex,268219,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
3,Vete,"Bad Bunny",256973,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
4,Fantasias,"Rauw Alejandro",228303,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
5,"Whine Up","Nicky Jam",219231,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
6,Aventura,Lunay,206865,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
7,"RITMO (Bad Boys For Life)","The Black Eyed Peas",194845,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
8,"Adicto (with Anuel AA & Ozuna)",Tainy,186182,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
9,China,"Anuel AA",179650,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
10,Quizas,"Rich Music LTD",170899,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
11,"Sigues Con El","Dimelo Flow",170559,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
12,"Bellaquita - Remix",Dalex,167419,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
13,"No Me Conoce - Remix","Jhay Cortez",165706,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
14,"Que Tire Pa Lante","Daddy Yankee",154145,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
15,"LA CANCIÓN","J Balvin",142110,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
16,Callaita,"Bad Bunny",135881,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
17,Mami,"Paloma Mami",131591,https://open.spotify.com/track/64IRsSyqwD0CBbFAfrR0rT
18,"Si Te Vas",Sech,127497,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
19,"Dance Monkey","Tones and I",124329,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"105 F Remix",KEVVO,123025,https://open.spotify.com/track/1aUGxXCz9QimNkKeiJtzZ7
21,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",118312,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
22,"Soltera - Remix",Lunay,113165,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
23,"Si Se Da - Remix","Myke Towers",110952,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
24,"Cuerpo en Venta",Noriel,107145,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
25,"B11 (feat. Myke Towers)",Rvssian,105096,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl
26,Tutu,Camilo,104830,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
27,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",104352,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
28,"Otro Trago - Remix",Sech,102372,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
29,Piropo,Noriel,100338,https://open.spotify.com/track/5YrjfKuFd0pMmYTGeRDV6X
30,"Coronao Now","El Alfa",99066,https://open.spotify.com/track/7FbKipScVxkjQxQXwTd0gL
31,"QUE PRETENDES","J Balvin",94044,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
32,Piensan,"Myke Towers",93059,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
33,Fantasía,Ozuna,91850,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
34,"Perreo en La Luna","Rich Music LTD",91471,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
35,"Yo x Ti, Tu x Mi",ROSALÍA,86896,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
36,"No Te Debí Besar","C. Tangana",86591,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
37,"Verte Ir","DJ Luian",86423,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
38,Cuaderno,Dalex,85027,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
39,"Si Supieras","Daddy Yankee",84855,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
40,"Que Mas Pues - Remix",Sech,83308,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
41,"La Cama",Lunay,83269,https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1
42,"Imaginaste - Remix","Jhay Cortez",82756,https://open.spotify.com/track/56BAJvpaWgvr6C4wmc37iU
43,"Mírame - Remix","Nio Garcia",81895,https://open.spotify.com/track/53uKGbcMjEc2gIWbfmvpdS
44,Señorita,"Shawn Mendes",77453,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
45,"Pa Mí - Remix",Dalex,75307,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
46,Bellaquita,Dalex,74744,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
47,"Te Quemaste","Manuel Turizo",74303,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
48,Uniforme,"Rich Music LTD",73442,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc
49,Indeciso,Reik,72432,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
50,"Con Altura",ROSALÍA,70775,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
51,"Pa Los Gustos Los Colores",Javiielo,69619,https://open.spotify.com/track/6EWWkqE4aFlZRyoFwwOT8u
52,"Mi Error - Remix","Eladio Carrion",65743,https://open.spotify.com/track/0lbhKycRyqkOMKZ6thzfU4
53,"El Efecto - Remix","Rauw Alejandro",65162,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
54,"Te Robaré","Nicky Jam",65010,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T
55,"Que Calor (with J Balvin & El Alfa)","Major Lazer",64319,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
56,"Otro Trago",Sech,60918,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
57,"Don't Start Now","Dua Lipa",60408,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
58,Música,"DJ Luian",58167,https://open.spotify.com/track/4xvTPuwHaXoDM3p0QcY7bH
59,Velitas,Darell,56190,https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq
60,Atrévete,"Nicky Jam",55995,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
61,"11 PM",Maluma,55935,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
62,Amanece,"Anuel AA",55119,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
63,"Fantasmita - Remix","Casper Magico",52959,https://open.spotify.com/track/5NOHsDSfLIH45y3i9PfRyh
64,Goteo,Duki,52046,https://open.spotify.com/track/57kdZIOAaolxAjB67d2yU3
65,"Con Calma","Daddy Yankee",51853,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
66,"Hookah & Sheridan s","Tommy Boysen",51396,https://open.spotify.com/track/3QfD4bxxkopZL7XZ8RaezH
67,Desconocidos,"Mau y Ricky",51162,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
68,Blanco,"J Balvin",50843,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
69,"Calma - Remix","Pedro Capó",50205,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
70,"Un Año","Sebastian Yatra",49845,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
71,"Algún Día Volveras",Santaferia,48748,https://open.spotify.com/track/27uAea0qcUz3a7jKnAT7KG
72,"Sigue Bailandome",Yannc,48493,https://open.spotify.com/track/0GmiGIxXDNrePrHBpijYDp
73,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,48336,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
74,"Ella Quiere Beber - Remix","Anuel AA",48312,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
75,"Tal Vez","Paulo Londra",48204,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
76,"Adan y Eva","Paulo Londra",47226,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
77,"La Playa","Myke Towers",46888,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
78,"El Efecto","Rauw Alejandro",46822,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
79,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",46646,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
80,"Te Quiero Ver",Ceaese,46041,https://open.spotify.com/track/6Xfz4YNwwIcFRyfW3QQZVp
81,"Hasta Que Salga el Sol",Ozuna,45908,https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl
82,"Dele Cotele - Remix",Yohancito,44838,https://open.spotify.com/track/6U3AilMn51njMyILgOlBQl
