Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",93900,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Fantasias,"Rauw Alejandro",72687,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
3,"RITMO (Bad Boys For Life)","The Black Eyed Peas",62968,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
4,Blanco,"J Balvin",57987,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
5,"LA CANCIÓN","J Balvin",56173,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
6,China,"Anuel AA",54540,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
7,Vete,"Bad Bunny",54451,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
8,Quizas,"Rich Music LTD",50090,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
9,"No Me Conoce - Remix","Jhay Cortez",49160,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
10,Loco,Beéle,48865,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
11,"Hola - Remix",Dalex,47568,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
12,"Sigues Con El","Dimelo Flow",47352,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
13,"Adicto (with Anuel AA & Ozuna)",Tainy,47321,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
14,"Dance Monkey","Tones and I",46175,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,Callaita,"Bad Bunny",45964,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
16,Indeciso,Reik,40597,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
17,"Si Te Vas",Sech,39383,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
18,"QUE PRETENDES","J Balvin",38450,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
19,Tutu,Camilo,38167,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
20,"Whine Up","Nicky Jam",36832,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
21,"Qué Pena",Maluma,34588,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
22,"Que Tire Pa Lante","Daddy Yankee",33848,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
23,"Alguien Me Gusta","Andy Rivera",33325,https://open.spotify.com/track/4iFTIshL0xDCw8JJUl5AJ3
24,Señorita,"Shawn Mendes",32535,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
25,"11 PM",Maluma,32404,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
26,"Pa' Olvidarme De Ella","Piso 21",31538,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
27,"Enamórate De Alguien Más",Morat,31453,https://open.spotify.com/track/1fXKStjVOTmBEwjAnFSNkc
28,Aventura,Lunay,31163,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
29,"Soltera - Remix",Lunay,31062,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
30,Detente,"Mike Bahía",30596,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
31,Desconocidos,"Mau y Ricky",30191,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
32,"Bellaquita - Remix",Dalex,29844,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
33,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",29704,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
34,"Te Vi","Piso 21",28930,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
35,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",28754,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
36,"Con Altura",ROSALÍA,28585,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
37,"Que Mas Pues - Remix",Sech,27673,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
38,"Yo x Ti, Tu x Mi",ROSALÍA,27451,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
39,"Otro Trago",Sech,27298,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
40,Destino,Greeicy,27279,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
41,"Pa Mí - Remix",Dalex,26777,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
42,"Si Se Da - Remix","Myke Towers",26385,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
43,"Una Vida Para Recordar","Piso 21",25441,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
44,Cuaderno,Dalex,24824,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
45,"Calma - Remix","Pedro Capó",24600,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
46,"Don't Start Now","Dua Lipa",24445,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
47,Atrévete,"Nicky Jam",24295,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
48,"Otro Trago - Remix",Sech,24193,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
49,"La Lá","Mike Bahía",24026,https://open.spotify.com/track/1MYMEtHi6fmmGiDFLrBiY3
50,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",22474,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
51,"Te Quemaste","Manuel Turizo",19453,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
52,Bellaquita,Dalex,19333,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
53,"La Isla (with Sech & Dalex feat. Justin Quiles, La Exce, Feid, Zion)","Dimelo Flow",18255,https://open.spotify.com/track/0UfVfRSmy4xMyi67LKH5zZ
54,"Un Año","Sebastian Yatra",17609,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
55,"Te Robaré","Nicky Jam",17529,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T
56,Fantasía,Ozuna,17394,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
57,"Adan y Eva","Paulo Londra",17140,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
58,"Verte Ir","DJ Luian",16644,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
59,"La Boca","Mau y Ricky",16558,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
60,"Esta Noche","Mike Bahía",15809,https://open.spotify.com/track/4vhkI8x68EaGQR3Kn7Pwhc
61,"bad guy","Billie Eilish",15625,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
62,"No Es Justo","J Balvin",15501,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
63,"Tal Vez","Paulo Londra",15438,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
64,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,15176,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
65,"Cuerpo en Venta",Noriel,14962,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
66,"FRESH KERIAS",Feid,14895,https://open.spotify.com/track/6TvNO32huOBlWG5o69i1v7
67,Memories,"Maroon 5",14865,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
68,"Besos En Guerra",Morat,14775,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA
