Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",43228,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Fantasias,"Rauw Alejandro",30447,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
3,"RITMO (Bad Boys For Life)","The Black Eyed Peas",24907,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
4,China,"Anuel AA",22513,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
5,Vete,"Bad Bunny",22263,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
6,"Dance Monkey","Tones and I",22070,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,"Que Tire Pa Lante","Daddy Yankee",20860,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
8,"LA CANCIÓN","J Balvin",20638,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
9,"Si Te Vas",Sech,19183,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
10,"No Me Conoce - Remix","Jhay Cortez",18857,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
11,"Pa' Olvidarme De Ella","Piso 21",18608,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
12,Callaita,"Bad Bunny",17995,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
13,Bellaquita,Dalex,17800,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
14,"Whine Up","Nicky Jam",17500,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
15,"Adicto (with Anuel AA & Ozuna)",Tainy,16449,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
16,Quizas,"Rich Music LTD",15605,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
17,Tutu,Camilo,14460,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
18,Loco,Beéle,14120,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
19,"Soltera - Remix",Lunay,13479,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
20,Indeciso,Reik,13286,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
21,"Pa Mí - Remix",Dalex,12888,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
22,Cuaderno,Dalex,12487,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
23,"Hola - Remix",Dalex,12222,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
24,"Bellaquita - Remix",Dalex,11430,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
25,Señorita,"Shawn Mendes",11289,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
26,Blanco,"J Balvin",11197,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
27,"11 PM",Maluma,11157,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
28,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",10870,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
29,"Yo x Ti, Tu x Mi",ROSALÍA,10860,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
30,"Otro Trago - Remix",Sech,10796,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
31,"QUE PRETENDES","J Balvin",10656,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
