Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",27357,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Neviditelnej,Kontrafakt,22449,https://open.spotify.com/track/1ZX3Qk3dnbGhMUwvlIMwWt
3,"All I Want for Christmas Is You","Mariah Carey",17909,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,"Last Christmas",Wham!,16756,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,"Až na měsíc","Viktor Sheen",13951,https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l
6,Růže,Calin,13169,https://open.spotify.com/track/0snC0JRK2kq9AbB0AjWTm8
7,Falling,"Trevor Daniel",13057,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,"Someone You Loved","Lewis Capaldi",11689,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,Señorita,"Shawn Mendes",11615,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
10,4eva,Dalyb,11164,https://open.spotify.com/track/4DF9xlz3StNX7CAoIztNIX
11,"J Lo",Kontrafakt,11085,https://open.spotify.com/track/66Cr54dci8JYsaVnqzrSjb
12,"Jingle Bell Rock","Bobby Helms",10949,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
13,ROXANNE,"Arizona Zervas",10942,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,"Rockin' Around The Christmas Tree","Brenda Lee",10901,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
15,"Santa Tell Me","Ariana Grande",10865,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
16,"hello kitty",Dalyb,10853,https://open.spotify.com/track/1lMv94jqFxcfddrQDHPi13
17,"bad guy","Billie Eilish",10668,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,bagstage,Dalyb,10561,https://open.spotify.com/track/2PcJEIhbHZwCz0r6EfiHbq
19,HUF,Dalyb,10539,https://open.spotify.com/track/1WhgUptCh8RS33QdaZunQd
20,DRAP,Dalyb,10519,https://open.spotify.com/track/5uCOcuo0qjDhkSmYQI3Bwx
21,Memories,"Maroon 5",10323,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
22,"everything i wanted","Billie Eilish",10251,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
23,"Adore You","Harry Styles",10029,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
24,Circles,"Post Malone",9918,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
25,"It's the Most Wonderful Time of the Year","Andy Williams",9895,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
26,"Kytky z pumpy","Renne Dang",9859,https://open.spotify.com/track/0yPHAfN6d4Id9dsUeuWhJm
27,"Lucid Dreams","Juice WRLD",9849,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
28,fantázia,Dalyb,9509,https://open.spotify.com/track/4rMnm6hfqO4nJDS8LKyziO
29,Mráz,"Viktor Sheen",9485,https://open.spotify.com/track/6MlldqBpDJty0FAqJOi8EY
30,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",9481,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
31,"Don't Start Now","Dua Lipa",9462,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
32,TAG,Dalyb,9409,https://open.spotify.com/track/4W2xr3zfkuFARiCgzo7nc6
