Position,"Track Name",Artist,Streams,URL
1,Roller,"Apache 207",625123,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
2,"KEIN SCHLAF",Nimo,544028,https://open.spotify.com/track/6416zJN0FGPmh1Ph4BH2h3
3,COLT,Samra,478584,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
4,"Dance Monkey","Tones and I",460073,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"Skifahren (feat. Joshi Mizu)","The Cratez",377122,https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
6,Alien,RIN,370911,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
7,"Der Bratan bleibt der gleiche","Capital Bra",367911,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
8,"Keine Liebe",RIN,365959,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX
9,"200 km/h","Apache 207",364875,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
10,"Wieso tust Du dir das an?","Apache 207",353442,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
11,110,"Capital Bra",336617,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
12,"All I Want for Christmas Is You","Mariah Carey",316125,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
13,"95 BPM",Samra,308875,https://open.spotify.com/track/6WSwle8wTdJhOGEukwTxWf
14,Falling,"Trevor Daniel",299681,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,"Ayy Macarena",Tyga,292005,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
16,"Last Christmas",Wham!,286561,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
17,"Blinding Lights","The Weeknd",279630,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
18,2002,Sido,266545,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
19,"Doch in der Nacht","Apache 207",258799,https://open.spotify.com/track/3uhTOxvu2h2YEm0uPNF2vi
20,KARMA,Nimo,257963,https://open.spotify.com/track/6oX9RuILbVIglevEhbg8iM
21,Tiffany,Shindy,253899,https://open.spotify.com/track/2L0H5LWEuIAvrzfzTruyCB
22,"CASINO ROYAL",Kianush,246703,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
23,"Himmel grau","Kontra K",246515,https://open.spotify.com/track/1xdj09kwlmFmVONYaYyNsY
24,"Ride It",Regard,245465,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
25,Vermissen,Juju,237698,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
26,ROXANNE,"Arizona Zervas",217000,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
27,"everything i wanted","Billie Eilish",198655,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
28,"hot girl bummer",blackbear,198414,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
29,"Don't Start Now","Dua Lipa",195821,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
