Position,"Track Name",Artist,Streams,URL
1,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,72295,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
2,"All I Want for Christmas Is You","Mariah Carey",55631,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,"Last Christmas",Wham!,55290,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,Tinka,"Burhan G",55162,https://open.spotify.com/track/2f82yXiMKGkX2CtbkhgtvT
5,"Dance Monkey","Tones and I",50215,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"London Town",Branco,47185,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
7,"Blinding Lights","The Weeknd",47101,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
8,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,46289,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
9,"Verden Vender",Branco,46006,https://open.spotify.com/track/0qgqH6VqlkIXj45e5tTFCH
10,"Roses - Imanbek Remix","SAINt JHN",45390,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
11,Ben,Tessa,43874,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
12,"Santa Tell Me","Ariana Grande",43621,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
13,ROXANNE,"Arizona Zervas",42537,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,"everything i wanted","Billie Eilish",40626,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
15,"Lille Store Verden","Rasmus Seebach",40556,https://open.spotify.com/track/4ZmaxcxpEmzZgsMZPRdLIG
16,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,40059,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
17,"Kongespil - Tinka og Kongespillet",Hjalmer,39740,https://open.spotify.com/track/0nQBmwUprs4LYyhECw44LH
18,"Don't Start Now","Dua Lipa",38787,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
19,"I En Stjerneregn Af Sne","Mads Langer",38383,https://open.spotify.com/track/2MHiE76HdeJznaQtrLwBug
20,Falling,"Trevor Daniel",37641,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
21,"HERE (For Christmas)","Lukas Graham",37452,https://open.spotify.com/track/1Cth2nNUYYfCiSoIei6rCi
22,"Merry Christmas Everyone","Shakin' Stevens",37391,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
23,Circles,"Post Malone",35702,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,Mistletoe,"Justin Bieber",34997,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
25,"Driving Home for Christmas - 2019 Remaster","Chris Rea",34808,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
26,Balou,"Benny Jamz",34699,https://open.spotify.com/track/45GshECNB7YmOu9yM8Y039
27,"My Only Wish (This Year)","Britney Spears",34592,https://open.spotify.com/track/6id0KJ3XgvJLSzyMtHBj67
28,"Super Mario",NODE,34572,https://open.spotify.com/track/1LsZymF4MDfVMuzLkySq5P
29,"Do They Know It's Christmas? - 1984 Version","Band Aid",34048,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
30,"Jingle Bell Rock","Bobby Helms",33796,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
31,"Der' Noget I December","Rasmus Seebach",33503,https://open.spotify.com/track/0wm3wOmYpTILjqyHzDDJIp
32,"It's Beginning to Look a Lot like Christmas","Michael Bublé",33255,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
33,"Jesus & Josefine",Julie,32740,https://open.spotify.com/track/0QA4qO2kj327TUCEW3IRiE
34,"Adore You","Harry Styles",32422,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
35,"Let Love Be Love",Juice,31983,https://open.spotify.com/track/4cEhVWWBqVf1JJOUdNRB4v
36,"Someone You Loved","Lewis Capaldi",31914,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,Brandvarm,"Josef Og Elias",31281,https://open.spotify.com/track/5B6QJikgE2fsGpR1BBkapc
38,"Ride It",Regard,30084,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
39,"Drømte Mig En Lille Drøm",Dicte,29223,https://open.spotify.com/track/3eizF6STI8NRAAoBMDW4mC
40,"Vai Amor",Gilli,28956,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
41,"Holdet (feat. NODE)",Jamaika,28743,https://open.spotify.com/track/53Z8vzEI2bbqpsSZ8dFSOt
42,"Happy Xmas (War Is Over) - Remastered","John Lennon",28547,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
43,"Guld Jul",Gulddreng,28441,https://open.spotify.com/track/2rui6bCZAz3yJ7YFQeyWMq
44,Memories,"Maroon 5",28127,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
45,"Watermelon Sugar","Harry Styles",27790,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
46,"Lucid Dreams","Juice WRLD",27545,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
47,"Jul På Vesterbro","Anders Matthesen",27377,https://open.spotify.com/track/20oNCyFVv55xDpXGIw0QEs
48,"It's the Most Wonderful Time of the Year","Andy Williams",27366,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
49,"Når Sneen Falder","Thomas Helmig",27256,https://open.spotify.com/track/2jW0MuNkctmqajdnoNZvyg
50,"Rockin' Around The Christmas Tree","Mel & Kim",26914,https://open.spotify.com/track/5gpImN0eqlucE3a3r121SF
51,"Jul Det' Cool","Mc Einar",25945,https://open.spotify.com/track/4QOTOTJsJjgrAf0BgnfaRF
52,Lie,"Lukas Graham",25847,https://open.spotify.com/track/27NaNvlmvOHqTF0VPjuRSD
53,"Sinaloa Stil","Shooter Gang",25452,https://open.spotify.com/track/1tNuRv1Wcagp2f3FVcgknp
54,"HIGHEST IN THE ROOM","Travis Scott",25020,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
55,"Underneath the Tree","Kelly Clarkson",24024,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
56,"hot girl bummer",blackbear,23827,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
57,"Den Himmelblå",Shu-Bi-Dua,23533,https://open.spotify.com/track/5c2HpRFDphuoQ75O6ZQfIB
58,"Thank God It's Christmas - Non-Album Single",Queen,22974,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
59,"Koldt Udenfor","Page Four",22871,https://open.spotify.com/track/0rEwD7QVscNnz05ooEb0qB
60,Heartless,"The Weeknd",22871,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
61,"Endnu (feat. Gilli, Benny Jamz & Branco)",Stepz,22502,https://open.spotify.com/track/1AwE3VLo6qlJ2xi1oS3BwE
62,"bad guy","Billie Eilish",22499,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
63,"BDK (feat. Gilli)",KESI,22108,https://open.spotify.com/track/6ZvA8Difc7oFBxfZXJ6JuT
64,"Jul i Angora","Drengene Fra Angora",21804,https://open.spotify.com/track/4LTUBsLeIn8qcopkFwhwK9
65,"Feliz Navidad","José Feliciano",21759,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
66,Señorita,"Shawn Mendes",21572,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
67,"Ayy Macarena",Tyga,21551,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
68,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",21356,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
69,"Have Yourself A Merry Little Christmas","Sam Smith",21196,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
70,"Ingenting At Sige (feat. NODE)",Gilli,21175,https://open.spotify.com/track/6WZHm21UPkvcmh5VLjhFZg
71,Gonzo,Suspekt,21044,https://open.spotify.com/track/6bh20cEbXMNJ5JPUvbGSYq
72,"Nu Er Det Jul (Nissebanden)","Burhan G",20949,https://open.spotify.com/track/5Jqo99jKKbaSYKQ7P0SM54
73,"Som Fluer","The Minds Of 99",20782,https://open.spotify.com/track/4diMl3ee8zco6asVZNKjti
74,"Lose You To Love Me","Selena Gomez",20704,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
75,"Winter Wonderland","Tony Bennett",20489,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ
76,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",20371,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
77,"Lights Up","Harry Styles",20090,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
78,"Helt Stabil",Fouli,19817,https://open.spotify.com/track/74UxMl2RwVslYvWd9cGmlL
79,"Beautiful People (feat. Khalid)","Ed Sheeran",19708,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
80,"Culo (feat. Branco)",Gilli,19127,https://open.spotify.com/track/49vQclrdXkZXMJnD0VN3qZ
81,"I'll Be Home","Meghan Trainor",19099,https://open.spotify.com/track/0lTurWECr2XL607eJAj1A3
82,"Futsal Shuffle 2020","Lil Uzi Vert",18934,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
83,"En Sang (feat. Gucci Mane)","Emil Stabil",18809,https://open.spotify.com/track/1hwYGaUz6V4odyt0u0QlKf
84,"Before You Go","Lewis Capaldi",18751,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
85,"Hey Mor","Joey Moe",18742,https://open.spotify.com/track/0WWgeQQ4sklycJK1lR6fmB
86,"Tag Mig Med","Mads Langer",18632,https://open.spotify.com/track/1fhLYVIe9s7pwYHxtbdiZ1
87,"Lose Control",MEDUZA,18561,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
88,"Shake Up Christmas",Train,18207,https://open.spotify.com/track/1NghHeg0wE32eBYrQBVQXL
89,"White Christmas","Bing Crosby",17924,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
90,Tidsrejsen,"Caroline Castell",17839,https://open.spotify.com/track/5jl2ASpLH6ch4vkD4xcpyq
91,"My Oh My (feat. DaBaby)","Camila Cabello",17570,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
92,"Santa Claus Is Coming to Town","Michael Bublé",17414,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
93,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",17359,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
94,"Audacity (feat. Headie One)",Stormzy,17215,https://open.spotify.com/track/6Oq4fiDzKaFMU89dTvM24u
95,"Jul i Valhal","Martin Brygmann",17121,https://open.spotify.com/track/4XB56iMsKIIeARKlzQh7qp
