Position,"Track Name",Artist,Streams,URL
1,Vete,"Bad Bunny",20185,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
2,Tusa,"KAROL G",18295,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
3,"Sigues Con El","Dimelo Flow",14147,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
4,Fantasias,"Rauw Alejandro",14110,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
5,"LA CANCIÓN","J Balvin",11258,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
6,"Adicto (with Anuel AA & Ozuna)",Tainy,10731,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
7,"Coronao Now","El Alfa",10587,https://open.spotify.com/track/7FbKipScVxkjQxQXwTd0gL
8,"No Me Conoce - Remix","Jhay Cortez",10173,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
9,"Si Te Vas",Sech,9917,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
10,China,"Anuel AA",9713,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
11,"Hola - Remix",Dalex,9685,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
12,"RITMO (Bad Boys For Life)","The Black Eyed Peas",9455,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
13,Callaita,"Bad Bunny",9086,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
14,"Cuerpo en Venta",Noriel,8721,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
15,Quizas,"Rich Music LTD",8574,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
16,"Bellaquita - Remix",Dalex,8344,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
17,Fantasía,Ozuna,8157,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
18,"105 F Remix",KEVVO,8005,https://open.spotify.com/track/1aUGxXCz9QimNkKeiJtzZ7
19,Aventura,Lunay,7533,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
20,"Que Tire Pa Lante","Daddy Yankee",7273,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
21,"Soltera - Remix",Lunay,6878,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
22,"Hasta Que Salga el Sol",Ozuna,6844,https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl
23,Loco,Beéle,6733,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
24,LowKey,"Bryant Myers",6421,https://open.spotify.com/track/3aSZoM8ZylbB0xCBkGpNTg
25,"Whine Up","Nicky Jam",6295,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
26,"Otro Trago - Remix",Sech,6260,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
27,"QUE PRETENDES","J Balvin",6236,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
28,Bellaquita,Dalex,6168,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
29,Cuaderno,Dalex,6161,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
30,"Que Calor (with J Balvin & El Alfa)","Major Lazer",6093,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
31,Tutu,Camilo,5918,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
32,Piensan,"Myke Towers",5858,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
33,"La Mejor Versión de Mi - Remix","Natti Natasha",5825,https://open.spotify.com/track/2dy3TKVDEbIeWxeIb8JWqZ
34,"Que Mas Pues - Remix",Sech,5658,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
35,"Gan-Ga - Remix","Bryant Myers",5563,https://open.spotify.com/track/27qRmG3zOWPvMYUkpPdQ1g
36,"Verte Ir","DJ Luian",5492,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
37,"Si Se Da - Remix","Myke Towers",5471,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
38,Patek,Ozuna,5424,https://open.spotify.com/track/2f237byd0A2w0fLlnVDOV4
39,"Pa Mí - Remix",Dalex,5411,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
40,"Mueve la Cadera","El Alfa",5210,https://open.spotify.com/track/5uAe6AXcN2SEOcOAy0Txkh
41,"Yo x Ti, Tu x Mi",ROSALÍA,5169,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
42,"Dejen Su Loquera","Crazy Design",5096,https://open.spotify.com/track/0cRdPQhJwgKl2NEvtjUaz7
43,"La Playa","Myke Towers",4983,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
44,"Rasta Barbie (Remix)","Gigolo Y La Exce",4868,https://open.spotify.com/track/64kNRze29YqCFzFEpQCaHQ
45,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",4851,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
46,Trucho,"Rochy RD",4816,https://open.spotify.com/track/6v3uWYfmamDBjB9gylwDwl
47,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",4803,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
48,"Baje Con Trenza - Remix","El Cherry Scom",4704,https://open.spotify.com/track/16mjWUaQ4MjErG3LiD4jlD
49,"B11 (feat. Myke Towers)",Rvssian,4684,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl
50,"Dance Monkey","Tones and I",4371,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
51,"El Beso Que No Le Di","Romeo Santos",4272,https://open.spotify.com/track/2kcc5humLS6PKOI9rwvXex
52,"Fantasias - Unplugged","Rauw Alejandro",3872,https://open.spotify.com/track/6qqd7DGn2VXzxsR4k3Ycun
53,"La Forma en Que Me Miras","Super Yei",3734,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW
54,Rutina,"Myke Towers",3563,https://open.spotify.com/track/3YntiCUU0Xqq0B68FM3YAt
55,"La Cama",Lunay,3560,https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1
56,"Con Altura",ROSALÍA,3541,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
57,Blanco,"J Balvin",3519,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
58,"Easy - Remix","Jhay Cortez",3485,https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU
59,DOLLAR,"Becky G",3475,https://open.spotify.com/track/2uhMYJq2TODWBuZhHRrdWy
60,"Otro Trago",Sech,3356,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
61,Solita,Sech,3285,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw
62,Uniforme,"Rich Music LTD",3255,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc
63,"Ella Quiere Beber - Remix","Anuel AA",3204,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
64,"11 PM",Maluma,3200,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
65,Gan-Ga,"Bryant Myers",3184,https://open.spotify.com/track/2J3jxgfp6GWoBsMPIa20oC
66,"Mírame - Remix","Nio Garcia",3171,https://open.spotify.com/track/53uKGbcMjEc2gIWbfmvpdS
67,"Memoria Rota",Arcangel,3168,https://open.spotify.com/track/4etV43Qb0OBbMcxiLDVwSo
68,"Te Robaré","Nicky Jam",3157,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T
69,Atrévete,"Nicky Jam",3138,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
70,"La Romana","Bad Bunny",3137,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv
71,"Don't Start Now","Dua Lipa",3110,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
72,"Si Estuviésemos Juntos","Bad Bunny",3056,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
73,ROXANNE,"Arizona Zervas",2973,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
74,"Kemba Walker","Eladio Carrion",2942,https://open.spotify.com/track/38kLHBjtWJaPXcyFhwRVtI
75,Señorita,"Shawn Mendes",2941,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
76,"Si Se Da","Myke Towers",2914,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
77,Desierto,Amenazzy,2883,https://open.spotify.com/track/4NLcgBskZkUYgpAVQF0sNI
78,"Amor Genuino",Ozuna,2830,https://open.spotify.com/track/3xEozpt8pAptvpH69iJhOw
79,Inmortal,Aventura,2821,https://open.spotify.com/track/2swZ0X1njeU32SNJeBKIfW
80,"everything i wanted","Billie Eilish",2790,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
81,"Te Soñé de Nuevo",Ozuna,2773,https://open.spotify.com/track/4oPnxZzoc8HM5Pva4FDeIp
82,"Otra Noche en Miami","Bad Bunny",2753,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra
83,"Solo de Mi","Bad Bunny",2738,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
84,Secreto,"Anuel AA",2725,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
85,Falling,"Trevor Daniel",2685,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
86,"Mi Error - Remix","Eladio Carrion",2671,https://open.spotify.com/track/0lbhKycRyqkOMKZ6thzfU4
87,Indeciso,Reik,2652,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
88,Circles,"Post Malone",2638,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
89,"Adore You","Harry Styles",2617,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
