Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",55251,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Fantasias,"Rauw Alejandro",34796,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
3,"Dance Monkey","Tones and I",34023,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Vete,"Bad Bunny",30271,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
5,"RITMO (Bad Boys For Life)","The Black Eyed Peas",28623,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
6,"LA CANCIÓN","J Balvin",25500,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
7,China,"Anuel AA",25232,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
8,"No Me Conoce - Remix","Jhay Cortez",24849,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
9,Callaita,"Bad Bunny",22192,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
10,Detente,"Mike Bahía",22180,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
11,"Sigues Con El","Dimelo Flow",21393,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
12,Quizas,"Rich Music LTD",20286,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
13,Indeciso,Reik,19663,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
14,"Hola - Remix",Dalex,19454,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
15,"Adicto (with Anuel AA & Ozuna)",Tainy,18469,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
16,"Que Tire Pa Lante","Daddy Yankee",18467,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
17,Blanco,"J Balvin",18406,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
18,"Whine Up","Nicky Jam",18376,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
19,Tutu,Camilo,17748,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
20,"Si Te Vas",Sech,17447,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
21,"QUE PRETENDES","J Balvin",17353,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
22,"Bellaquita - Remix",Dalex,16069,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
23,"Soltera - Remix",Lunay,15669,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
24,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",15199,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
25,Desconocidos,"Mau y Ricky",14699,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
26,Aventura,Lunay,14693,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
27,"11 PM",Maluma,14148,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
28,"Yo x Ti, Tu x Mi",ROSALÍA,14113,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
29,Señorita,"Shawn Mendes",13606,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
30,"Otro Trago",Sech,13454,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
31,"Una Vida Para Recordar","Piso 21",13153,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
32,"Qué Pena",Maluma,12832,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
33,"Pa' Olvidarme De Ella","Piso 21",12758,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
34,Destino,Greeicy,12732,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
35,"Enamórate De Alguien Más",Morat,12596,https://open.spotify.com/track/1fXKStjVOTmBEwjAnFSNkc
36,"Con Altura",ROSALÍA,12289,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
37,"Pa Mí - Remix",Dalex,12263,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
38,"Te Vi","Piso 21",12056,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
39,Loco,Beéle,12007,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
40,"Si Se Da - Remix","Myke Towers",11789,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
41,"Un Año","Sebastian Yatra",11707,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
42,"Que Mas Pues - Remix",Sech,11647,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
43,"Tal Vez","Paulo Londra",11375,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
44,Bellaquita,Dalex,11368,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
45,"Otro Trago - Remix",Sech,11251,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
46,Piensan,"Myke Towers",10928,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
47,"Cuerpo en Venta",Noriel,10788,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
48,"Adan y Eva","Paulo Londra",10364,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
49,Cuaderno,Dalex,10273,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
50,"Verte Ir","DJ Luian",10015,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
51,"No Te Vayas",Camilo,9973,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB
52,"La Forma en Que Me Miras","Super Yei",9741,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW
53,"Don't Start Now","Dua Lipa",9378,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
54,"La Boca","Mau y Ricky",9252,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
55,Atrévete,"Nicky Jam",9012,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
