Position,"Track Name",Artist,Streams,URL
1,"everything i wanted","Billie Eilish",4251,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
2,Falling,"Trevor Daniel",4029,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
3,"Blinding Lights","The Weeknd",3674,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,ROXANNE,"Arizona Zervas",3534,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
5,"Dance Monkey","Tones and I",3456,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"Adore You","Harry Styles",2981,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
7,"Don't Start Now","Dua Lipa",2819,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Watermelon Sugar","Harry Styles",2781,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
9,"hot girl bummer",blackbear,2681,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
10,Circles,"Post Malone",2644,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
11,"für Oksana",Nublu,2583,https://open.spotify.com/track/3ZNv0P70XQX5FoQAUw3bLg
12,"Ride It",Regard,2547,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
13,"All I Want for Christmas Is You","Mariah Carey",2498,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
14,Aluspükse,5MIINUST,2361,https://open.spotify.com/track/2xtLPeeUmIzM1hFw2qeH4U
15,"Lucid Dreams","Juice WRLD",2358,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
16,"Last Christmas",Wham!,2353,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
17,Memories,"Maroon 5",2187,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
18,"Futsal Shuffle 2020","Lil Uzi Vert",2062,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
19,"Lose You To Love Me","Selena Gomez",2055,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
20,"bad guy","Billie Eilish",2028,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
21,"3 Nights","Dominic Fike",1993,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
22,"How Do You Sleep?","Sam Smith",1962,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
23,"Lights Up","Harry Styles",1921,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
24,Heartless,"The Weeknd",1909,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
25,"HIGHEST IN THE ROOM","Travis Scott",1899,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
26,"Rockin' Around The Christmas Tree","Brenda Lee",1867,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
27,Señorita,"Shawn Mendes",1864,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
28,"No Idea","Don Toliver",1860,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
29,"It's the Most Wonderful Time of the Year","Andy Williams",1823,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
30,"RITMO (Bad Boys For Life)","The Black Eyed Peas",1809,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
31,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1800,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
32,"Someone You Loved","Lewis Capaldi",1748,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
33,"Jingle Bell Rock","Bobby Helms",1727,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
34,Vöörad,"372kaspar & Lone Betro",1711,https://open.spotify.com/track/3YFtKQfT03OuLG0qDE52M4
35,"Ma Kuulsin Seda Läbi Viinamarjaväädi",Reket,1680,https://open.spotify.com/track/5MsRvwS27MkB8qsx7r9hqj
36,"Beautiful People (feat. Khalid)","Ed Sheeran",1667,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
37,"Santa Tell Me","Ariana Grande",1653,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
38,Falling,"Harry Styles",1565,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
39,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",1541,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
40,"Holly Jolly Christmas","Michael Bublé",1540,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
41,"Trampoline (with ZAYN)",SHAED,1505,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
42,"when the party's over","Billie Eilish",1483,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
43,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1422,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
44,"Hate Me (with Juice WRLD)","Ellie Goulding",1394,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
45,"Lose Control",MEDUZA,1382,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
46,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,1370,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
47,"Until We Die",WATEVA,1362,https://open.spotify.com/track/6FqGxJBWE3KOcpY7HodwiA
48,Vastuseid,okeiokei,1354,https://open.spotify.com/track/7ntehqJBI4VCry9z1clFXV
49,Sdubid,"Tommy Cash",1340,https://open.spotify.com/track/0LyFtAk3u2VumWoi5YVJuk
50,Golden,"Harry Styles",1333,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
51,Mistletoe,"Justin Bieber",1310,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
52,"I Got Love","MiyaGi & Endspiel",1269,https://open.spotify.com/track/5rwsJbBNa8SfPW4oFA1GjP
53,"My Oh My (feat. DaBaby)","Camila Cabello",1268,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
54,"Underneath the Tree","Kelly Clarkson",1259,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
55,"Roses - Imanbek Remix","SAINt JHN",1246,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
56,"Feliz Navidad","José Feliciano",1235,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
57,Legends,"Juice WRLD",1231,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
58,SOS,Pluuto,1220,https://open.spotify.com/track/5WmsDLri1TK8eG9utri2Zq
59,"7 rings","Ariana Grande",1206,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
60,Liar,"Camila Cabello",1197,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
61,"I Don't Care (with Justin Bieber)","Ed Sheeran",1181,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
62,Rotterdam,Nublu,1175,https://open.spotify.com/track/6Sww4TlGIWXPSawXuJjHDI
63,"New Vibe Who Dis (feat. Little League)","Madison Mars",1150,https://open.spotify.com/track/3TjE3A8tLih7KBwKJ03Htl
64,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1148,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
65,Robbery,"Juice WRLD",1145,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
