Position,"Track Name",Artist,Streams,URL
1,"Ne reviens pas",Gradur,638083,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
2,Moulaga,"Heuss L'enfoiré",474977,https://open.spotify.com/track/5BfCoUcWNXcpyJfjXRIeyC
3,"Dance Monkey","Tones and I",280874,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Popopop,Gambi,243264,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
5,"Blinding Lights","The Weeknd",204358,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,Jamais,"Mister V",192523,https://open.spotify.com/track/2MCAs3ttHSuDm1RHL0rqTF
7,"Woin Woin feat. RK",Larry,181354,https://open.spotify.com/track/5Oh8sPyFYM4gAR3KmmDH7I
8,40%,"Aya Nakamura",179703,https://open.spotify.com/track/47LFcy7prvEY5D08d26zOo
9,"Mayday (feat. Ninho)",SCH,177005,https://open.spotify.com/track/1SVuEeerYIwjCRsF5MGzX3
10,"Côte Ouest",47ter,170128,https://open.spotify.com/track/4ZuuPLV4qYiznagLAFPHcW
11,"Oui ou non",Angèle,168080,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP
12,"Loin de moi",Naza,162909,https://open.spotify.com/track/30kxl4FnaEFS2qZkec3Zak
13,"Hé oh",Gambi,153845,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9
14,ROXANNE,"Arizona Zervas",141241,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,Memories,"Maroon 5",135023,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
16,"RITMO (Bad Boys For Life)","The Black Eyed Peas",131521,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
17,Street,Maes,130378,https://open.spotify.com/track/0MtMUDO6tzHq1ux9rwSJhl
18,Compliqué,Dadju,130013,https://open.spotify.com/track/5eFzibilHIMCdcQgtkHw1F
19,Bâtiment,Niska,127366,https://open.spotify.com/track/7FF6HRsQlc0CtfAbLmrEGX
20,"La vie qu'on mène",Ninho,126712,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
21,"Dans l'univers",Nekfeu,124685,https://open.spotify.com/track/2PYXOG6GdxF9sUIH2NfOAD
22,"Ma vie",Dadju,124220,https://open.spotify.com/track/5HQw9ij3dkr7ZJYUYe82ho
23,"93% [Tijuana]",GLK,121927,https://open.spotify.com/track/45mzuuUWaRRLwIDifDferf
24,Mortel,"Koba LaD",115892,https://open.spotify.com/track/1R08aR16OkyUIEISNPj8vA
25,Baianá,Bakermat,111871,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
26,R.A.C.,SCH,111798,https://open.spotify.com/track/0GN6DWiR9Pf2su3vJF5c0x
27,Reste,"Maître Gims",111476,https://open.spotify.com/track/3ebaeB2BdCEgZmwKv7p2r5
28,"Un peu de haine",PLK,108605,https://open.spotify.com/track/5yYfCoMrhcuxMP9CAmA2rU
