Position,"Track Name",Artist,Streams,URL
1,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,524577,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
2,"Dance Monkey","Tones and I",438635,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"All I Want for Christmas Is You","Mariah Carey",431298,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,"Last Christmas",Wham!,408805,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,ROXANNE,"Arizona Zervas",358735,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
6,"Before You Go","Lewis Capaldi",349800,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
7,"Don't Start Now","Dua Lipa",331355,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Audacity (feat. Headie One)",Stormzy,315125,https://open.spotify.com/track/6Oq4fiDzKaFMU89dTvM24u
9,Lessons,Stormzy,314003,https://open.spotify.com/track/5iVGN1Th2DqyWVNIBM8Vwk
10,"Adore You","Harry Styles",291482,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
11,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",279716,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
12,"Rockin' Around The Christmas Tree","Brenda Lee",278650,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
13,"It's Beginning to Look a Lot like Christmas","Michael Bublé",265851,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
14,"Do They Know It's Christmas? - 1984 Version","Band Aid",262922,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
15,"Vossi Bop",Stormzy,257250,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG
16,"Santa Tell Me","Ariana Grande",256571,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
17,"Someone You Loved","Lewis Capaldi",246909,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,"everything i wanted","Billie Eilish",240713,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
19,"Lights Up","Harry Styles",233958,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
20,"It's the Most Wonderful Time of the Year","Andy Williams",231897,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
21,"Merry Christmas Everyone","Shakin' Stevens",228442,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
22,"Watermelon Sugar","Harry Styles",221876,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
23,"Step Into Christmas","Elton John",215192,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
24,"Driving Home for Christmas - 2019 Remaster","Chris Rea",211254,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
25,"Underneath the Tree","Kelly Clarkson",206595,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
26,"hot girl bummer",blackbear,202795,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
27,"Ride It",Regard,201291,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
28,Crown,Stormzy,200313,https://open.spotify.com/track/4CEGyF5A5u5BjweVvkgCsn
29,"Jingle Bell Rock","Bobby Helms",199183,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
30,"Happy Xmas (War Is Over) - Remastered","John Lennon",197959,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
31,"Lose Control",MEDUZA,197496,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
32,Circles,"Post Malone",197025,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
33,"Holly Jolly Christmas","Michael Bublé",192128,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
34,Falling,"Trevor Daniel",191264,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
35,"One More Sleep","Leona Lewis",190774,https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d
36,"Lucid Dreams","Juice WRLD",187057,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
37,"Blinding Lights","The Weeknd",185722,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
