Position,"Track Name",Artist,Streams,URL
1,Guccci,"Mad Clip",16831,https://open.spotify.com/track/4AcWoNZHJ6tLBcKWifiTbC
2,"Oxi Simera",LEX,15237,https://open.spotify.com/track/0dD17UWACV5aYTyeS6af1k
3,"HIGHEST IN THE ROOM","Travis Scott",13303,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
4,"Dance Monkey","Tones and I",12859,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,Falling,"Trevor Daniel",9639,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
6,Senorita,Snik,9638,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
7,"everything i wanted","Billie Eilish",8956,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
8,"Colpo Grosso",Snik,8952,https://open.spotify.com/track/4lCwnBZurX0OIqMKBOHRlS
9,Caliente,"Mente Fuerte",8562,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
10,"Blinding Lights","The Weeknd",8098,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
11,Stars,TOQUEL,7891,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
12,Heartless,"The Weeknd",7803,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
13,Business,TOQUEL,7370,https://open.spotify.com/track/3gN3eHqeAp9NSQUAT9xtzg
14,"Don't Start Now","Dua Lipa",7327,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
15,Hustla,"Mad Clip",7021,https://open.spotify.com/track/6qz9ENCPWflD7aAeltENLV
16,ROXANNE,"Arizona Zervas",6993,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
17,Sandra,TOQUEL,6749,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
18,Netflix,TOQUEL,6616,https://open.spotify.com/track/2JwQnJFhBVjX6XR9d0bq7S
19,"Deja Vu",Hawk,6276,https://open.spotify.com/track/5A1uS1PcKcMsMG36KgAq1d
20,Cyan,Saske,6141,https://open.spotify.com/track/7lOk3JSaMnbZhG381VLa6C
21,"Ayy Macarena",Tyga,6095,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
22,"Adore You","Harry Styles",6057,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
23,Señorita,"Shawn Mendes",5959,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
24,"bad guy","Billie Eilish",5908,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
25,"Tipota Ston Kosmo",LEX,5715,https://open.spotify.com/track/6WCkbrjSG16OJTlMayNmqU
26,"All I Want for Christmas Is You","Mariah Carey",5676,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
27,Mosca,Light,5657,https://open.spotify.com/track/3rwuYQM6eEqTLWapNYAeZD
28,BOP,DaBaby,5646,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
29,"Someone You Loved","Lewis Capaldi",5612,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
30,Montecristo,"Mad Clip",5611,https://open.spotify.com/track/0g3fKXiX2AANAX3k6FnKib
31,Lalala,Y2K,5591,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
32,"Lucid Dreams","Juice WRLD",5559,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
33,Ekali,"Billy Sio",5477,https://open.spotify.com/track/2AyvZAuL5w7f9H7aZvF6Oo
34,"Watermelon Sugar","Harry Styles",5426,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
35,Kilo,Snik,5293,https://open.spotify.com/track/6KRoKgWrly4FHndE6E1Ent
36,Circles,"Post Malone",5094,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
37,"Last Christmas",Wham!,4951,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
38,"My Oh My (feat. DaBaby)","Camila Cabello",4930,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
39,"MVP Freestyle",Light,4881,https://open.spotify.com/track/7JFHUJUtOP9xCdkcK935OZ
40,"Futsal Shuffle 2020","Lil Uzi Vert",4861,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
41,Motto,MG,4634,https://open.spotify.com/track/1Dg4K5rscxqz6LyMDGMuED
42,Mama?,"Sin Boy",4587,https://open.spotify.com/track/6m69YzoQgEkhPnWIhXswcJ
43,"De Me Theloun",Fy,4555,https://open.spotify.com/track/5z8K92vYj0FH6C05HAT2Ve
44,Sientelo,"Sin Boy",4497,https://open.spotify.com/track/72LbDyLOLImnk1YJEDkqfF
45,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",4412,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
46,Memories,"Maroon 5",4232,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
47,"Ta Leme Meta",TOQUEL,4218,https://open.spotify.com/track/3ucPVIMQmNsnLkuoTmUAvf
48,"Lose You To Love Me","Selena Gomez",3997,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
49,"Rockin' Around The Christmas Tree","Brenda Lee",3987,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
50,"Ride It",Regard,3965,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
51,"Santa Tell Me","Ariana Grande",3951,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
52,"Ksero Mana",Saske,3927,https://open.spotify.com/track/5HWolqY3ip2Bh7rS6UJ5c0
53,"It's the Most Wonderful Time of the Year","Andy Williams",3917,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
54,Medusa,Snik,3915,https://open.spotify.com/track/6Badwn5YIbXhRnBg88LLya
55,"RITMO (Bad Boys For Life)","The Black Eyed Peas",3905,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
56,"Drugs N Roses","Pepe Frantik",3887,https://open.spotify.com/track/5WXpYhtjZd4XJ6zrndMNYT
57,Vittorio,LEX,3768,https://open.spotify.com/track/403xU330P0QnP2k9gt2icn
58,"Jingle Bell Rock","Bobby Helms",3738,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
59,"7 rings","Ariana Grande",3661,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
60,"Niotho Entona","Logos Timis",3637,https://open.spotify.com/track/6qORigbQnwgs7Ova9uBWtp
61,"In Greece We Trap",Moose,3612,https://open.spotify.com/track/2StcANxwpmrm5JdaFsbg1j
62,"Beautiful People (feat. Khalid)","Ed Sheeran",3611,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
63,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",3480,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
64,"SICKO MODE","Travis Scott",3419,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
65,"Lights Up","Harry Styles",3409,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
66,Angelina,"Sin Boy",3401,https://open.spotify.com/track/5dNfStj0Ffn3EaJy2GpMW6
67,Liar,"Camila Cabello",3379,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
68,#31#,"Sin Boy",3378,https://open.spotify.com/track/4ds6k3is0RNjqZoZC8T9z7
69,"Pantha - Remix",Dappy,3375,https://open.spotify.com/track/5stBsOR6RPnwlA3rN6fqcI
70,Peripoliko,VLOSPA,3346,https://open.spotify.com/track/6rif5tdYfgPnXFQNDibSWU
71,"MONO XASIS",iLLEOo,3343,https://open.spotify.com/track/6Srt53woZCtfAorEg1RkUJ
72,"Cuba Libre","Mente Fuerte",3330,https://open.spotify.com/track/5yJkVWNDz5sWCHKskwJphc
73,777,TOQUEL,3323,https://open.spotify.com/track/76Ed6NIq5ZxpUKtPsg4DBe
74,Megistanas,"Mad Clip",3311,https://open.spotify.com/track/2ZA3n7f1KRu3EtIObv7dEZ
75,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",3274,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
76,"I Don't Care (with Justin Bieber)","Ed Sheeran",3222,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
77,"hot girl bummer",blackbear,3214,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
78,Americana,"Sin Boy",3200,https://open.spotify.com/track/1j4E8eVGtbgFYfBtaoItVj
79,GANGSTA,Snik,3199,https://open.spotify.com/track/56hwvng962V4BzUvAuVtAC
80,Kolasi,TOQUEL,3147,https://open.spotify.com/track/13yoLiwo2aUB3Mluf8uVQ0
81,"Mavro Range","Mente Fuerte",3146,https://open.spotify.com/track/6v9Cigr3hxwlfh7xkpDDsU
82,Primo,Light,3143,https://open.spotify.com/track/2sn75JSuPH3cX9jmZ9Fecu
83,"No Idea","Don Toliver",3135,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
84,Gigi,Rina,3131,https://open.spotify.com/track/2ySWuhmNR789tk5AN2EUc3
85,"Money In The Grave (Drake ft. Rick Ross)",Drake,3101,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
86,"The Box","Roddy Ricch",3087,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
87,"lovely (with Khalid)","Billie Eilish",3079,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
