Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",394076,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Memories,"Maroon 5",348460,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
3,"Location Unknown ◐ - Brooklyn Session",HONNE,257030,https://open.spotify.com/track/4aT6vP9y2eDjxmRGm5ZqSC
4,"Lebih Dari Egoku","Mawar De Jongh",219759,https://open.spotify.com/track/4vh193RZbEEBanSG0719Wh
5,Halu,"Feby Putri",209626,https://open.spotify.com/track/3c4cBEObUsLU8O5I2yQP3l
6,Tolong,"Budi Doremi",201436,https://open.spotify.com/track/5X5Vj8FcxyoLzq9qxAa45U
7,"Someone You Loved","Lewis Capaldi",196471,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
8,Nyaman,Andmesh,178149,https://open.spotify.com/track/1sxUn0SdlFG05Q3qAA2FlE
9,Señorita,"Shawn Mendes",174157,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
10,"It's You","Ali Gatie",168926,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
11,"Waktu Yang Salah","Fiersa Besari",166447,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
12,"Tanpa Tergesa","Juicy Luicy",155380,https://open.spotify.com/track/66wRGrt1HmeVa1wtnWMj6C
13,"Celengan Rindu","Fiersa Besari",153968,https://open.spotify.com/track/19JvKc2f3ZNblfBSDMDwUF
14,"Hanya Rindu",Andmesh,152606,https://open.spotify.com/track/2wLpTF8xnsSHDpFGeV43DT
15,comethru,"Jeremy Zucker",147294,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
16,"I Love You 3000","Stephanie Poetri",145725,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
17,"Adu Rayu","Yovie Widianto",139140,https://open.spotify.com/track/3FcCAFQj4bLpfxo8gj1kk9
18,"Lucid Dreams","Juice WRLD",135017,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
19,"Pilu Membiru","Kunto Aji",134138,https://open.spotify.com/track/48FTlRoE6Dft6EXIpQgPZb
20,"Selamat (Selamat Tinggal)",Virgoun,130224,https://open.spotify.com/track/1mruWrUwAVe2XkksUQiaHK
21,"Cinta Luar Biasa",Andmesh,129826,https://open.spotify.com/track/1JxoK0EU5SHupbXjSwYaN7
22,lowkey,NIKI,124860,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
23,"100 Degrees","Rich Brian",123939,https://open.spotify.com/track/2ZDpSQfBdgkooeXw6oj3Uz
24,"I Don't Care (with Justin Bieber)","Ed Sheeran",123355,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
25,"One Only",Pamungkas,122506,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
26,"Kumau Dia",Andmesh,117032,https://open.spotify.com/track/4msighkG4nKOw60aoN7lV7
27,"Tak Ingin Pisah Lagi","Marion Jola",115443,https://open.spotify.com/track/3TuWleBiR3aQaiwFZg9gg9
28,"10,000 Hours (with Justin Bieber)","Dan + Shay",111000,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
29,"Lose You To Love Me","Selena Gomez",105948,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
30,"On My Way","Alan Walker",105897,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
31,"Beautiful People (feat. Khalid)","Ed Sheeran",105680,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
32,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,101039,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
33,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",97908,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
34,"Boy With Luv (feat. Halsey)",BTS,95941,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
35,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,89795,https://open.spotify.com/track/4wopYJ5wpYOM6ogm2Jugnw
36,"Can We Kiss Forever?",Kina,89682,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
37,"Mean It",Lauv,89633,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
38,ROXANNE,"Arizona Zervas",88735,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
39,"Speechless (Full)","Naomi Scott",88714,https://open.spotify.com/track/3BBahK6YhmPosOymF45cMu
40,"Bicara (feat. Monita Tahalea)",TheOvertunes,87843,https://open.spotify.com/track/1Dxb9nWV16f5PthsUsV1XZ
41,April,"Fiersa Besari",86379,https://open.spotify.com/track/3IesVVqYxCsRCsz5OCmC7q
42,Secukupnya,Hindia,85243,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
43,Dan...,"Sheila On 7",84042,https://open.spotify.com/track/1MdjZzEInrmDBXf8zs0nKS
44,Takeaway,"The Chainsmokers",83661,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
45,Membasuh,Hindia,82886,https://open.spotify.com/track/3CBxVM0zGj41BQtE6m7gwb
46,"Kartonyono Medot Janji","Denny Caknan",82142,https://open.spotify.com/track/6tpIXoxxhFv0TOj7S85tJi
47,"I Love You but I'm Letting Go",Pamungkas,81866,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
