Position,"Track Name",Artist,Streams,URL
1,"Before You Go","Lewis Capaldi",52831,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
2,"Dance Monkey","Tones and I",49293,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,48827,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
4,"Don't Start Now","Dua Lipa",47002,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"All I Want for Christmas Is You","Mariah Carey",44115,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
6,"Last Christmas",Wham!,40521,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
7,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",37564,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
8,ROXANNE,"Arizona Zervas",36532,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
9,"Adore You","Harry Styles",36528,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
10,"everything i wanted","Billie Eilish",33010,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,"Lights Up","Harry Styles",30173,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
12,"Someone You Loved","Lewis Capaldi",29914,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,"Do They Know It's Christmas? - 1984 Version","Band Aid",29377,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
14,"Rockin' Around The Christmas Tree","Brenda Lee",29209,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
15,"Ride It",Regard,29036,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
16,Circles,"Post Malone",28232,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"Lose Control",MEDUZA,28126,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
18,"Watermelon Sugar","Harry Styles",27687,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
19,Memories,"Maroon 5",27316,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
20,"Audacity (feat. Headie One)",Stormzy,26891,https://open.spotify.com/track/6Oq4fiDzKaFMU89dTvM24u
21,Falling,"Trevor Daniel",26550,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
22,"Santa Tell Me","Ariana Grande",26446,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
23,"Lose You To Love Me","Selena Gomez",26376,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
24,"hot girl bummer",blackbear,26156,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
25,"My Oh My (feat. DaBaby)","Camila Cabello",25682,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
26,"It's Beginning to Look a Lot like Christmas","Michael Bublé",25678,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
27,Outnumbered,"Dermot Kennedy",25479,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
28,"It's the Most Wonderful Time of the Year","Andy Williams",24957,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
29,"Vossi Bop",Stormzy,23431,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG
30,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",23379,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
31,Lessons,Stormzy,22751,https://open.spotify.com/track/5iVGN1Th2DqyWVNIBM8Vwk
32,"Merry Christmas Everyone","Shakin' Stevens",22345,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
33,"Lucid Dreams","Juice WRLD",22093,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
34,"Happy Xmas (War Is Over) - Remastered","John Lennon",21917,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
35,"Jingle Bell Rock","Bobby Helms",21646,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
36,"Nice To Meet Ya","Niall Horan",21632,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
37,"Blinding Lights","The Weeknd",20998,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
38,"Driving Home for Christmas - 2019 Remaster","Chris Rea",20690,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
39,"Pump It Up",Endor,20649,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
40,"This Is Real (ft. Ella Henderson)","Jax Jones",19813,https://open.spotify.com/track/1pRShUtGOG6ZP5fsnw9G4h
41,Falling,"Harry Styles",19577,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
42,"Turn Me On (feat. Vula)",Riton,19456,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
43,Mistletoe,"Justin Bieber",19325,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
44,Bruises,"Lewis Capaldi",19217,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
45,Crown,Stormzy,18675,https://open.spotify.com/track/4CEGyF5A5u5BjweVvkgCsn
46,"Holly Jolly Christmas","Michael Bublé",18633,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
47,"Underneath the Tree","Kelly Clarkson",18590,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
48,"Feliz Navidad","José Feliciano",18552,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
49,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",17904,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
50,Heartless,"The Weeknd",17524,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
51,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",17190,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
52,"One More Sleep","Leona Lewis",16662,https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d
53,"bad guy","Billie Eilish",16423,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
54,"Sleigh Ride","The Ronettes",16286,https://open.spotify.com/track/1ODZGydlown4VesUP8HLJX
55,"White Christmas","Bing Crosby",16115,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
56,"Step Into Christmas","Elton John",15796,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
57,"Christmas (Baby Please Come Home)","Darlene Love",15053,https://open.spotify.com/track/0jiPKUSdsJNCxMPHjMqptk
