Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",19997,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"נחכה לך","Nathan Goshen",12438,https://open.spotify.com/track/0KZ2xiFYOdNQfohg4ZFXf5
3,ROXANNE,"Arizona Zervas",11604,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,Falling,"Trevor Daniel",11352,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
5,מסע,Eliad,10910,https://open.spotify.com/track/2WBNUsV0WH7Cmjr71viWfC
6,Señorita,"Shawn Mendes",10595,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
7,"אלוף העולם","Hanan Ben Ari",10110,https://open.spotify.com/track/67dg9xeMIRXjcQbmbWtBFW
8,"Don't Start Now","Dua Lipa",9556,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,אגרוף,"Eden Ben Zaken",9542,https://open.spotify.com/track/2DSBoOVLqBdNXZKSJBdtBN
10,"עב""מ",Tuna,9470,https://open.spotify.com/track/5U37rR6r9vqL9t3CuaS2dl
11,"לשוב הביתה","Ishay Ribo",9245,https://open.spotify.com/track/52n4gF126eIllrGuc9Zus6
12,"הלב שלי","Ishay Ribo",9128,https://open.spotify.com/track/7Ck421SAROdN0Q6RXMbic7
13,"Lucid Dreams","Juice WRLD",9014,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
14,"ממה את מפחדת","Eyal Golan",8815,https://open.spotify.com/track/706pZPUcsKsREHM8RqHaY0
15,Memories,"Maroon 5",8430,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
16,"bad guy","Billie Eilish",8377,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
17,"Someone You Loved","Lewis Capaldi",8357,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,"everything i wanted","Billie Eilish",8289,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
19,כנפיים,Tuna,8267,https://open.spotify.com/track/0VI3BydW1LdWubXt03R1kN
20,"דיבור נגוע",Mergui,7881,https://open.spotify.com/track/19u24hOHMdNfGPedV2lFum
21,Circles,"Post Malone",7800,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
22,"אין יותר מועדונים","Eden Hason",7693,https://open.spotify.com/track/0q3yDDxPh0k5nvgh2SPcsS
23,"אין בינינו חלל",Tuna,7587,https://open.spotify.com/track/07FGglXHJlTdoAw7pLbrmE
24,מתגעגעת,"Nathan Goshen",7519,https://open.spotify.com/track/48pM1v8Z0EN8OiKzifbOWG
25,"Beautiful People (feat. Khalid)","Ed Sheeran",7455,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
26,כפיות,"Eden Hason",7365,https://open.spotify.com/track/02hXZxgl6XwtAdK9y2sb6B
