Position,"Track Name",Artist,Streams,URL
1,"Ghungroo (From ""War"")","Arijit Singh",114361,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
2,"Yaad Piya Ki Aane Lagi","Neha Kakkar",107438,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
3,Makhna,"Tanishk Bagchi",103477,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
4,Memories,"Maroon 5",101074,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",97657,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
6,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",96079,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
7,Señorita,"Shawn Mendes",91593,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,Falling,"Trevor Daniel",83654,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,Filhall,"B Praak",82962,https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r
10,Circles,"Post Malone",70287,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
11,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",67844,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
12,ROXANNE,"Arizona Zervas",67412,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,"Blinding Lights","The Weeknd",66767,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
14,"O Saki Saki (From ""Batla House"")","Neha Kakkar",64224,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
15,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",64179,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
16,"Duniyaa (From ""Luka Chuppi"")",Akhil,61616,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
17,"Shaitan Ka Saala (From ""Housefull 4"")","Sohail Sen",61378,https://open.spotify.com/track/7IAJzec1UxGYmNvbPTHbxx
18,"Ve Maahi","Arijit Singh",60377,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
19,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",59217,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
20,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",58709,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
21,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",57196,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS
22,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")","Tony Kakkar",55929,https://open.spotify.com/track/7ofWUKeNCUw1P64ArIwG9b
23,Heartless,"The Weeknd",52487,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
24,"Lucid Dreams","Juice WRLD",51447,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
25,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",50700,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
26,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",49448,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
27,"8 Parche","Baani Sandhu",47687,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen
28,"everything i wanted","Billie Eilish",46899,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
29,"hot girl bummer",blackbear,46669,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
30,"On My Way","Alan Walker",46261,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
31,Believer,"Imagine Dragons",46113,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
32,"Chal Bombay",DIVINE,46110,https://open.spotify.com/track/6AooRgSRDzbCYL4NZ4RCjU
33,Sakhiyaan,"Maninder Buttar",45879,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
34,"Ik Tera","Maninder Buttar",44506,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7
35,"Trampoline (with ZAYN)",SHAED,44196,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
36,"Jai Jai Shivshankar (From ""War"")","Vishal Dadlani",43822,https://open.spotify.com/track/6lfSsCL894Qw15xbt7cSUy
37,"Lose You To Love Me","Selena Gomez",42572,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
38,"Adore You","Harry Styles",42500,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
39,"Kalank (Title Track)","Arijit Singh",42310,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
40,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak,41935,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
41,"bad guy","Billie Eilish",41711,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
42,"Proper Patola",Badshah,41613,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
43,"Someone You Loved","Lewis Capaldi",41223,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
44,"Naah Goriye (From ""Bala"")","B Praak",41112,https://open.spotify.com/track/1CM4rFDU9q4EoLy2K44qE6
45,Vaaste,"Dhvani Bhanushali",40381,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3
46,"Thodi Jagah (From ""Marjaavaan"")","Arijit Singh",40179,https://open.spotify.com/track/3f0wz6zcA7XkQiGm0qNF5r
47,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,38666,https://open.spotify.com/track/2TbCdbFzs2xO2nzasn0Qvw
48,"Dance Like","Harrdy Sandhu",38260,https://open.spotify.com/track/36EPfDEkfLYQLt8Fvced8x
49,"Ik Mulaqaat","Meet Bros.",37505,https://open.spotify.com/track/17uI7afUaul1hCzMTF9txd
50,"My Oh My (feat. DaBaby)","Camila Cabello",37406,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
51,"Ek Toh Kum Zindagani (From ""Marjaavaan"")","Neha Kakkar",37307,https://open.spotify.com/track/6oDHAjaJJjwwgoAuMIeY9K
52,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu",36721,https://open.spotify.com/track/1z0A545pZMaqYRkruladlk
53,"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon",36599,https://open.spotify.com/track/3ZjMdVOWxQ53FKrmkgCv95
54,Takeaway,"The Chainsmokers",35357,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
55,"Without Me",Halsey,35100,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
56,"Tujhe Kitna Chahein Aur (Film Version)","Jubin Nautiyal",34227,https://open.spotify.com/track/0mHU8dcIvGrGDazLMmQpSg
57,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh",32578,https://open.spotify.com/track/6aPMWbbdhDhiJHlknZb9Yx
58,"Odhani (From ""Made in China"")",Sachin-Jigar,32568,https://open.spotify.com/track/2q0V50aNlI1RQXJyE5HDgD
59,"Can We Kiss Forever?",Kina,32133,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
60,Kohinoor,DIVINE,31925,https://open.spotify.com/track/1VYMsDdZ3toHtlZxAGS95n
61,"The Hook Up Song",Vishal-Shekhar,31660,https://open.spotify.com/track/1bLNqR3bqpyWkwWKECjVrw
62,"Goodbyes (Feat. Young Thug)","Post Malone",31068,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
63,"Watermelon Sugar","Harry Styles",30902,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,Laare,"Maninder Buttar",30842,https://open.spotify.com/track/7GfdU12uRL2xtSQcRXmqNN
65,"7 rings","Ariana Grande",30512,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
66,"Dilbara (B Praak Version) [From ""Pati Patni Aur Woh""]","B Praak",30340,https://open.spotify.com/track/45Bfnqhwy4dtqTYmClzEWM
67,"Chandigarh Mein",Badshah,30229,https://open.spotify.com/track/3Eb4VbsbXMpS5Mk9HWTDia
68,"I Like Me Better",Lauv,30003,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
69,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",29855,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
70,"Hate Me (with Juice WRLD)","Ellie Goulding",29554,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
71,Pal,Javed-Mohsin,29439,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC
72,Liar,"Camila Cabello",29138,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
73,Dhakka,"Sidhu Moose Wala",28999,https://open.spotify.com/track/2fPPWdQuHY3CxPIOk6qbwH
74,"Coca Cola (From ""Luka Chuppi"")","Tony Kakkar",28958,https://open.spotify.com/track/4bKkdGBttnK4SYjT4zPC1U
75,"Sauda Khara Khara","Diljit Dosanjh",28857,https://open.spotify.com/track/4LLvxxkWtt818FNO3cbsdo
76,"Kinna Sona (From ""Marjaavaan"")","Meet Bros.",28773,https://open.spotify.com/track/01AE1MgL6L86WQzh4KGDUa
77,Raanjhana,"Arijit Singh",28696,https://open.spotify.com/track/2sf68yQb5MwLJQlprSWa3N
78,"Look At Her Now","Selena Gomez",28209,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
79,Dooriyan,"Dino James",27823,https://open.spotify.com/track/1rav6gpyMEfZQrMdaVs1sx
80,"HIGHEST IN THE ROOM","Travis Scott",27786,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
81,"Dil Hi Toh Hai",Pritam,27623,https://open.spotify.com/track/6preZS0pC2OdHPZAOwcoM9
82,Faded,"Alan Walker",27599,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
83,Yaari,Nikk,27554,https://open.spotify.com/track/04UzZSWfw8hkK832P27QLq
84,"Yaen Ennai Pirindhaai - Male","Sid Sriram",27353,https://open.spotify.com/track/2GYzXSeNa3Y0BfIfS1VJj3
85,"Haaye ve","Ammy Virk",27088,https://open.spotify.com/track/0BS99JhjvDbC2lpiMwsaxh
86,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",27000,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
87,"Ek Chumma (From ""Housefull 4"")","Sohail Sen",26957,https://open.spotify.com/track/5q6eZbatNFuToQdA7FGhj5
88,"Old Town Road - Remix","Lil Nas X",26950,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
89,Naagin,Vayu,26499,https://open.spotify.com/track/7gAyu0od48mkaCw1laPKVC
90,"The Wakhra Song","Navv Inder",26362,https://open.spotify.com/track/6N6mJlsjYRV0yoMSPS5JiQ
91,"Pehla Pyaar","Armaan Malik",26297,https://open.spotify.com/track/0ojpEubhy4JNeVftmVuiN7
92,Closer,"The Chainsmokers",26260,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
93,"rockstar (feat. 21 Savage)","Post Malone",26186,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
94,"Bad Boy (From ""Saaho"")",Badshah,26055,https://open.spotify.com/track/5I3Xih0C2ID3fqngBrBbGv
95,"Same Beef",Bohemia,26037,https://open.spotify.com/track/65c6VCikt7f5sAS1heoYQC
96,"Dilbara (From ""Pati Patni Aur Woh"")","Sachet Tandon",25915,https://open.spotify.com/track/0p83RJy9EZ0hlg82xcXH7f
97,Paagal,Badshah,25912,https://open.spotify.com/track/4gyPGtExOjj1rsByKW33LR
98,"Rula Ke Gaya Ishq","Stebin Ben",25786,https://open.spotify.com/track/68cy4S3cwPZdMGuIH9izml
99,"She Move It Like",Badshah,25692,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd
100,Thunder,"Imagine Dragons",25557,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
101,"Tareefan - Original","Chdry Saqib",25223,https://open.spotify.com/track/6fTEiqvwttauVDmDmDwD2T
102,"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar",25202,https://open.spotify.com/track/6cARnc9YVlBNigjNSX63pp
103,"Pyaar Toh Tha (From ""Bala"")",Sachin-Jigar,25191,https://open.spotify.com/track/3boJs8tx10SQr2nUUm3FAr
104,"Khuda Haafiz",Arko,25114,https://open.spotify.com/track/1dLCUfhpiiItPEKSQwqb1B
105,Happier,Marshmello,24994,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
106,Khairiyat,"Arijit Singh",24728,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
107,"Hawa Banke","Darshan Raval",24620,https://open.spotify.com/track/3YVQHUpNexOqkLI7IclsoT
108,Samajavaragamana,"Sid Sriram",24588,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy
109,"Apna Time Aayega","Ranveer Singh",24548,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj
110,Intezaar,Mithoon,24504,https://open.spotify.com/track/6p2o4ep90wpkh0qzUmyFuO
