Position,"Track Name",Artist,Streams,URL
1,"Þegar Þú Blikkar (feat. Björgvin Halldórsson)","Herra Hnetusmjör",7992,https://open.spotify.com/track/3RkoMHO82pcLpCosDR7Gbj
2,"Snjókorn falla",Laddi,6467,https://open.spotify.com/track/4h4pNMbBKfaIXyR9SY62Lm
3,"Last Christmas",Wham!,6224,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,"Ef ég nenni","Helgi Björnsson",6012,https://open.spotify.com/track/0Dxbgb8aUV9EHOGJF4MXQy
5,"All I Want for Christmas Is You","Mariah Carey",5693,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
6,"It's Beginning to Look a Lot like Christmas","Michael Bublé",5648,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
7,"Ég hlakka svo til",Svala,5424,https://open.spotify.com/track/7tnaA3OaJ3a6UfXkcgpaIe
8,"Jólin eru að koma","Í svörtum fötum",5267,https://open.spotify.com/track/1EOM0Hs4xjlfybpdkJYlGJ
9,"Þú komst með jólin til mín","Ruth Reginalds",5189,https://open.spotify.com/track/2x4t2o6x5NVbR62v7BZPHG
10,"Dance Monkey","Tones and I",4759,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
11,Malbik,"Emmsjé Gauti",4673,https://open.spotify.com/track/4EFrKYAOrrT0SC655kD5Ef
12,"Blinding Lights","The Weeknd",4599,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
13,"Eitt lítið jólalag","Birgitta Haukdal",4575,https://open.spotify.com/track/7iiP7OrzPN1JAkPKkJCThg
14,"Futsal Shuffle 2020","Lil Uzi Vert",4470,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
15,ROXANNE,"Arizona Zervas",4346,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
16,"everything i wanted","Billie Eilish",4249,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
17,"Snæfinnur snjókarl","Björgvin Halldórsson",3972,https://open.spotify.com/track/3WKzPqbHjr3l0hflRHTOvZ
18,Falling,"Trevor Daniel",3902,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
19,Jólahjól,Sniglabandið,3773,https://open.spotify.com/track/5ENlFR4jnAutARS7mnQM6R
20,"Komdu um jólin","Gunnar Ólason",3747,https://open.spotify.com/track/7F5GSOxvcP06wDcYeRVmV1
21,"Santa Tell Me","Ariana Grande",3687,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
22,"Gleðileg jól (allir saman)","Eyjólfur Kristjánsson",3684,https://open.spotify.com/track/1XzdeTK7eQulR42YCb66La
23,"Það snjóar",Memfismafían,3664,https://open.spotify.com/track/2pMCNai7OshHyqb0wwQnO8
24,"Nei, nei, ekki um jólin","HLH flokkurinn",3417,https://open.spotify.com/track/4a0MuxkiRw7cJfDFLVPhvM
25,"Hugurinn fer hærra",Frostrósir,3175,https://open.spotify.com/track/4OjxjcaJbW5U9IqYwaGq1e
26,"Happy Xmas (War Is Over) - Remastered","John Lennon",3129,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
27,Circles,"Post Malone",3120,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
28,"Rockin' Around The Christmas Tree","Brenda Lee",3051,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
29,"HIGHEST IN THE ROOM","Travis Scott",3036,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
30,"Adore You","Harry Styles",3014,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
31,"Ég sá mömmu kyssa jólasvein","Ruth Reginalds",2989,https://open.spotify.com/track/54pm6nq2bup1wVMzHht0tQ
32,"Lucid Dreams","Juice WRLD",2984,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
33,"It's the Most Wonderful Time of the Year","Andy Williams",2953,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
34,"Watermelon Sugar","Harry Styles",2940,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
35,Jólastund,Stuðkompaníið,2882,https://open.spotify.com/track/3k3JOzKAMqaVjYFXf2Oglg
36,"No Idea","Don Toliver",2882,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
37,"Driving Home for Christmas - 2019 Remaster","Chris Rea",2876,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
38,"Dansaðu vindur","Björgvin Halldórsson",2872,https://open.spotify.com/track/2ILHXpt71eq7mmUPhXONkL
39,"Gleði og friðarjól","Pálmi Gunnarsson",2805,https://open.spotify.com/track/03LqgmpDNqs6ZiJ5nObWAi
40,"Don't Start Now","Dua Lipa",2790,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
41,"Holly Jolly Christmas","Michael Bublé",2779,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
42,"Do They Know It's Christmas? - 1984 Version","Band Aid",2765,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
43,Dicks,"Ingi Bauer",2761,https://open.spotify.com/track/5jtgmZRPmm6QnJxegPoour
