Position,"Track Name",Artist,Streams,URL
1,Pretender,"Official HIGE DANdism",156071,https://open.spotify.com/track/58dxGXavrcagRqA58fNB0Z
2,Hakujitsu,"King Gnu",115011,https://open.spotify.com/track/0mNO3xUzjsI17GXO1DRFCH
3,宿命,"Official HIGE DANdism",108334,https://open.spotify.com/track/2yozZfRYHP7Elsymghu5t3
4,イエスタデイ,"Official HIGE DANdism",95270,https://open.spotify.com/track/3S3DDZrPOYTirleXRyHnNM
5,ノーダウト,"Official HIGE DANdism",88562,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
6,マリーゴールド,Aimyon,83909,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
7,クリスマスソング,"back number",75421,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su
8,115万キロのフィルム,"Official HIGE DANdism",73898,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
9,Machigaisagashi,"Masaki Suda",72465,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
10,高嶺の花子さん,"back number",64898,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
11,Umbrella,"King Gnu",60908,https://open.spotify.com/track/1NkiR42rILTQYYEGs7izYv
12,"Sayonara Elegy","Masaki Suda",59493,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
13,君はロックを聴かない,Aimyon,59258,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
14,"Stand By You","Official HIGE DANdism",56959,https://open.spotify.com/track/7MhJmtlNl6R0oppdG59CaI
15,Gurenge,LiSA,56607,https://open.spotify.com/track/23DbzwNJSLo7nkSWjODMvY
16,Hikoutei,"King Gnu",56397,https://open.spotify.com/track/68KMKHen3fHDgD8z1aBWCK
17,HANABI,Mr.Children,54928,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i
18,ただ君に晴れ,ヨルシカ,53017,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
19,ハッピーエンド,"back number",52543,https://open.spotify.com/track/0ssEfLe9aqPhMmLXKqBw6J
20,青と夏,"Mrs. GREEN APPLE",51069,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
21,今夜このまま,Aimyon,49206,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3
22,ハルノヒ,Aimyon,48238,https://open.spotify.com/track/7GYGVDPbi0zQUBIkuOPAY0
23,ワタリドリ,[ALEXANDROS],48134,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
24,366日,HY,47799,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc
25,"All I Want for Christmas Is You","Mariah Carey",47289,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
26,"Wherever you are","ONE OK ROCK",47095,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
27,"Walking with you",Novelbright,46547,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
28,小さな恋のうた,MONGOL800,45775,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg
29,打上花火,DAOKO×米津玄師,43831,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
30,空の青さを知る人よ,Aimyon,43290,https://open.spotify.com/track/3u0e8pyoVc7l2u3T5thohY
31,ひまわりの約束,"Motohiro Hata",43279,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d
32,愛をこめて花束を,Superfly,43271,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
33,"Turning Up",ARASHI,43123,https://open.spotify.com/track/4zdQmfTLWgGd5mAX4MUIaX
34,新宝島,Sakanaction,42103,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1
35,点描の唄,"Mrs. GREEN APPLE",41972,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
36,ロマンチシズム,"Mrs. GREEN APPLE",41510,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs
37,インフェルノ,"Mrs. GREEN APPLE",41335,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
38,愛唄,GReeeeN,41288,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
39,"Shape of You","Ed Sheeran",40778,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
40,トリコ,Nissy,40267,https://open.spotify.com/track/7H5uStZMOGpcVw7eW0eyTi
41,奏(かなで),"Sukima Switch",40087,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
42,ヒロイン,"back number",38769,https://open.spotify.com/track/3hBAYbAECEix9raaTq8S3H
43,"bad guy","Billie Eilish",37842,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
44,愛を伝えたいだとか,Aimyon,37350,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO
45,Memories,"Maroon 5",36981,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
46,Paprika,Foorin,36799,https://open.spotify.com/track/0bdYJCO9clK9ew61Z7GqMf
47,Señorita,"Shawn Mendes",35884,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
48,鱗(うろこ),"Motohiro Hata",35318,https://open.spotify.com/track/4IubwxgmXeZtDtYjTaT9gN
49,丸ノ内サディスティック,"Sheena Ringo",35299,https://open.spotify.com/track/1mWN1USPKg632qQXG9sfDL
50,"Love so Sweet",ARASHI,30759,https://open.spotify.com/track/10G6iBGzoMi9qXgDV9qyBy
51,貴方解剖純愛歌〜死ね〜,Aimyon,29164,https://open.spotify.com/track/2H3bOGOE50qEo5wAYoJiwL
52,願い,sumika,28625,https://open.spotify.com/track/6UuFA519L632UBpMbueCi0
53,ビンテージ,"Official HIGE DANdism",27831,https://open.spotify.com/track/0U9vBvoG3LN1PnuVl47E3W
54,"No Regret",wacci,27555,https://open.spotify.com/track/5TIMNeqGc26Ohw0yfcAfGB
55,花束,"back number",27024,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ
56,"Last Christmas",Wham!,26725,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
57,Vinyl,"King Gnu",26323,https://open.spotify.com/track/2zbWCme3Dvp8071b4R4nkY
58,Slumberland,"King Gnu",26289,https://open.spotify.com/track/1Q5l8ZfVn6kYwLJkGrBwZP
59,"Dance Monkey","Tones and I",26276,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
60,"I Don't Care (with Justin Bieber)","Ed Sheeran",25842,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
61,恋音と雨空,AAA,25720,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N
62,君に届け,flumpool,25299,https://open.spotify.com/track/0kA7SWxWPYqSyIbMl51X5b
63,"Don't Start Now","Dua Lipa",25233,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
64,"Into the Unknown","Takako Matsu",24773,https://open.spotify.com/track/4QE3csw0rsqxoIQNoMUgsU
65,"Boy With Luv (feat. Halsey)",BTS,24768,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
66,チェリー,SPITZ,24691,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z
67,YOUNG,"PRODUCE 101 JAPAN",24491,https://open.spotify.com/track/11DmLFBRVnUfsCjjeQK862
68,"Prayer X","King Gnu",24345,https://open.spotify.com/track/6FMelWDNGnYBva29R4d0tq
69,"Santa Tell Me","Ariana Grande",24202,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
70,"Kimiga Kureta Natsu","Leo Ieiri",23961,https://open.spotify.com/track/4bK6qPvD4xB8npRkZa1a55
71,"Wasted Nights","ONE OK ROCK",23820,https://open.spotify.com/track/39LyUQIy7idLxPdsjyZsxe
72,Lovers,sumika,23798,https://open.spotify.com/track/3pwe5YS438tETO53DSfTnl
73,"Stand Out Fit In","ONE OK ROCK",23622,https://open.spotify.com/track/4zXRMjTaeflesB3Ih4eHnJ
74,Story,AI,23468,https://open.spotify.com/track/0V2axJ946WH1vt9t5SGMLV
75,"Ainokatachi (feat. HIDE (GReeeeN))",MISIA,23032,https://open.spotify.com/track/76flsS3UnNr7UQIz6JmVT3
76,Hikarie,miwa,22756,https://open.spotify.com/track/7mlHSPccMPEiGYxWUqEURC
77,僕のこと,"Mrs. GREEN APPLE",22683,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
78,"One In a Million","GENERATIONS from EXILE TRIBE",22653,https://open.spotify.com/track/7CscXR0ITTTL5ChwCElwTr
79,キセキ,GReeeeN,22076,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
80,ロビンソン,SPITZ,22059,https://open.spotify.com/track/0sVnyL71jTOuMt9TZ59bws
81,明日も,SHISHAMO,22058,https://open.spotify.com/track/2GICOigS4ByugDisRegs3M
82,天体観測,"BUMP OF CHICKEN",21733,https://open.spotify.com/track/3hRRYgBeunE3PTmnzATTS0
83,"My Boo","Shota Shimizu",21652,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
84,楓,SPITZ,21489,https://open.spotify.com/track/0b7IBgZjedM53ufZV4f4CL
85,バッドフォーミー,"Official HIGE DANdism",20894,https://open.spotify.com/track/6rH3dc5bGzqrJv6ZARFfJX
86,"WanteD! WanteD!","Mrs. GREEN APPLE",20784,https://open.spotify.com/track/7M3TZDUNvaNBo0qtWVaZif
87,"Beautiful People (feat. Khalid)","Ed Sheeran",20558,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
88,Kataomoi,Aimer,20536,https://open.spotify.com/track/6g93YtKKHU2H1qIqhLIL0Y
89,"Feel Special",TWICE,19859,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj
90,真夏の夜の匂いがする,Aimyon,19815,https://open.spotify.com/track/34s49nvRfQy1kzx7DBqVRC
91,"Kazarijanainoyo Namidawa","King Gnu",19758,https://open.spotify.com/track/7rbTeA7y5uf8hM0LBhuW04
92,ROXANNE,"Arizona Zervas",19728,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
93,春愁,"Mrs. GREEN APPLE",19529,https://open.spotify.com/track/5SHguvOUbyPTINNjCvRo8K
94,Sorrows,"King Gnu",19436,https://open.spotify.com/track/74Cc2tYo3flxhnCHl2Ggra
95,Circles,"Post Malone",19380,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
96,"Never Grow Up",CHANMINA,19231,https://open.spotify.com/track/5aDgM8rYPT15CqjkN1EIKq
97,Amazing,"Official HIGE DANdism",19027,https://open.spotify.com/track/1eYWPiHNH5xpZMZ4z6BlyZ
98,us,milet,18855,https://open.spotify.com/track/7kPN6Q2Ri2xhCBVTxAlR8v
99,優しいあの子,SPITZ,18772,https://open.spotify.com/track/29RAzfejW1O69okBQXibca
100,アイデア,"Gen Hoshino",18744,https://open.spotify.com/track/7jgqNMnqAT9FghC1uSYTFF
101,何度でも,"DREAMS COME TRUE",18579,https://open.spotify.com/track/6Qq8UOS6QzeSYFUVXC5wEB
102,満月の夜なら,Aimyon,18572,https://open.spotify.com/track/7DW5Dro8AHE7x19COl26E3
103,"Adore You","Harry Styles",18489,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
104,"The hole","King Gnu",18459,https://open.spotify.com/track/6aPDcQqxHILkKLqDdtIKu7
105,"everything i wanted","Billie Eilish",18299,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
106,"10,000 Hours (with Justin Bieber)","Dan + Shay",18229,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
107,Happiness,ARASHI,18083,https://open.spotify.com/track/0Ns63lt28epRgED3Tnhmth
108,公然の秘密,"Sheena Ringo",17759,https://open.spotify.com/track/7fumKCLGohbOKbXhCXD3md
109,だから僕は音楽を辞めた,ヨルシカ,17684,https://open.spotify.com/track/5j7ixaLeGTGSv4DzKs0pCM
110,モス,Sakanaction,17594,https://open.spotify.com/track/4FdpXwtpJfRltvFuTcpNL6
