Position,"Track Name",Artist,Streams,URL
1,"everything i wanted","Billie Eilish",5932,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
2,"Dance Monkey","Tones and I",5122,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"Don't Start Now","Dua Lipa",4944,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
4,"Blinding Lights","The Weeknd",4796,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,"Adore You","Harry Styles",4492,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
6,Falling,"Trevor Daniel",4388,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,"Watermelon Sugar","Harry Styles",4090,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
8,Circles,"Post Malone",3705,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
9,"Roses - Imanbek Remix","SAINt JHN",3348,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"Last Christmas",Wham!,3272,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
11,ROXANNE,"Arizona Zervas",3263,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
12,"All I Want for Christmas Is You","Mariah Carey",3241,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
13,"bad guy","Billie Eilish",2994,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
14,"Lose Control",MEDUZA,2951,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
15,"HIGHEST IN THE ROOM","Travis Scott",2918,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
16,"Rockin' Around The Christmas Tree","Brenda Lee",2785,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
17,Heartless,"The Weeknd",2676,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
18,"Lights Up","Harry Styles",2622,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
19,"Ride It",Regard,2611,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
20,"It's the Most Wonderful Time of the Year","Andy Williams",2566,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
21,"Jingle Bell Rock","Bobby Helms",2553,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
22,Memories,"Maroon 5",2490,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,"Someone You Loved","Lewis Capaldi",2417,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,"Lucid Dreams","Juice WRLD",2386,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
25,Señorita,"Shawn Mendes",2381,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
26,"Lose You To Love Me","Selena Gomez",2355,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
27,"Santa Tell Me","Ariana Grande",2293,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
28,"hot girl bummer",blackbear,2272,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
29,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2271,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
30,"My Oh My (feat. DaBaby)","Camila Cabello",2204,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
31,"How Do You Sleep?","Sam Smith",2169,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
