Position,"Track Name",Artist,Streams,URL
1,Falling,"Trevor Daniel",5107,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
2,"Dance Monkey","Tones and I",3901,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"everything i wanted","Billie Eilish",3873,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
4,ROXANNE,"Arizona Zervas",3710,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
5,"HIGHEST IN THE ROOM","Travis Scott",3308,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
6,"All I Want for Christmas Is You","Mariah Carey",3257,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
7,Circles,"Post Malone",3195,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,"Adore You","Harry Styles",3153,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
9,"Blinding Lights","The Weeknd",2915,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
10,"Watermelon Sugar","Harry Styles",2861,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
11,"Last Christmas",Wham!,2842,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
12,"Lucid Dreams","Juice WRLD",2737,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
13,"Don't Start Now","Dua Lipa",2681,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
14,"Rockin' Around The Christmas Tree","Brenda Lee",2668,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
15,"Ride It",Regard,2500,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
16,"No Idea","Don Toliver",2449,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
17,"hot girl bummer",blackbear,2409,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
18,"It's the Most Wonderful Time of the Year","Andy Williams",2371,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
19,"bad guy","Billie Eilish",2310,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
20,"Santa Tell Me","Ariana Grande",2303,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
21,Heartless,"The Weeknd",2268,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
22,"Futsal Shuffle 2020","Lil Uzi Vert",2262,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
23,"Jingle Bell Rock","Bobby Helms",2233,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
24,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",2231,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
25,Memories,"Maroon 5",2185,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
26,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2183,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
27,"Lights Up","Harry Styles",2156,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
28,"Someone You Loved","Lewis Capaldi",2080,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
29,VALENTINO,24kGoldn,2035,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
30,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1970,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
31,"Beautiful People (feat. Khalid)","Ed Sheeran",1943,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
32,"Do They Know It's Christmas? - 1984 Version","Band Aid",1941,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
33,"Holly Jolly Christmas","Michael Bublé",1927,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
34,Señorita,"Shawn Mendes",1925,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
