Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",73208,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Memories,"Maroon 5",67624,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
3,ROXANNE,"Arizona Zervas",59738,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,"Someone You Loved","Lewis Capaldi",50458,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
5,Circles,"Post Malone",48386,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,"everything i wanted","Billie Eilish",40451,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
7,Señorita,"Shawn Mendes",39100,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,"It's You","Ali Gatie",38971,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
9,"Don't Start Now","Dua Lipa",37266,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,"Lose You To Love Me","Selena Gomez",36581,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
11,I.F.L.Y.,Bazzi,35714,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
12,Falling,"Trevor Daniel",34350,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
13,"Watermelon Sugar","Harry Styles",32822,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,"Mimpi (feat. Alif)",K-Clique,32104,https://open.spotify.com/track/13j4wsiG0BjaDb04YZWIXV
15,"hot girl bummer",blackbear,29149,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
16,"Mean It",Lauv,28800,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
17,"Beautiful People (feat. Khalid)","Ed Sheeran",28669,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
18,"How Do You Sleep?","Sam Smith",27616,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
19,"Blinding Lights","The Weeknd",26470,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
20,"Adore You","Harry Styles",26345,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
21,"Cinta Luar Biasa",Andmesh,26222,https://open.spotify.com/track/1JxoK0EU5SHupbXjSwYaN7
22,"Into the Unknown","Idina Menzel",26209,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
23,"Hanya Rindu",Andmesh,26059,https://open.spotify.com/track/2wLpTF8xnsSHDpFGeV43DT
24,"I Love You 3000","Stephanie Poetri",26038,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
25,"Lucid Dreams","Juice WRLD",25964,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
26,"Trampoline (with ZAYN)",SHAED,24870,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
27,"Goodbyes (Feat. Young Thug)","Post Malone",23170,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
28,"Haa Tepok",MeerFly,22962,https://open.spotify.com/track/65pndcjVsNEJpwxfTgcdv0
29,"Boy With Luv (feat. Halsey)",BTS,22684,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
30,Feelings,Lauv,22672,https://open.spotify.com/track/1cL3ucXzG2hj3XOUPIWdvZ
31,"10,000 Hours (with Justin Bieber)","Dan + Shay",22567,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
32,Heartless,"The Weeknd",21795,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
33,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",20611,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
34,"Lover (Remix) [feat. Shawn Mendes]","Taylor Swift",19853,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
35,comethru,"Jeremy Zucker",19347,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
36,"I Don't Care (with Justin Bieber)","Ed Sheeran",19277,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
37,"bad guy","Billie Eilish",19267,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
38,Takeaway,"The Chainsmokers",19147,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
39,"On My Way","Alan Walker",18762,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
40,Sumpah,"Naim Daniel",18384,https://open.spotify.com/track/6JgWlZevrjV6nr6NiNf5Ji
41,"Make It Right (feat. Lauv)",BTS,18300,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
42,"Before You Go","Lewis Capaldi",17949,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
43,"Can We Kiss Forever?",Kina,17210,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
44,"Without Me",Halsey,16915,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
45,"Kisah Cinta Kita","Hafiz Suip",16807,https://open.spotify.com/track/0IrKOI4EEUtOcbBgJPoGfy
46,"Lights Up","Harry Styles",16682,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
47,"7 rings","Ariana Grande",16083,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
48,"Kill This Love",BLACKPINK,16077,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
49,"Pulang - Piano Version",Insomniacks,15990,https://open.spotify.com/track/5aqyWj7t8VP1OXfazIdVPV
50,"My Oh My (feat. DaBaby)","Camila Cabello",15888,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
51,Hutang,"Floor 88",15850,https://open.spotify.com/track/7atRIv41QhbeccbS5IuhDY
52,"All I Want for Christmas Is You","Mariah Carey",15760,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
