Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",11181,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Vete,"Bad Bunny",6672,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
3,Fantasias,"Rauw Alejandro",6115,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
4,"RITMO (Bad Boys For Life)","The Black Eyed Peas",5649,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
5,"LA CANCIÓN","J Balvin",5349,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
6,China,"Anuel AA",5140,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
7,"No Me Conoce - Remix","Jhay Cortez",4658,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
8,Callaita,"Bad Bunny",4529,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
9,"Que Tire Pa Lante","Daddy Yankee",4454,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
10,"Whine Up","Nicky Jam",3649,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
11,"Adicto (with Anuel AA & Ozuna)",Tainy,3558,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
12,"Pa' Olvidarme De Ella","Piso 21",3518,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
13,"Soltera - Remix",Lunay,3259,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
14,"Si Te Vas",Sech,3192,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
15,"Cuerpo en Venta",Noriel,3087,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
16,"Coronao Now","El Alfa",3041,https://open.spotify.com/track/7FbKipScVxkjQxQXwTd0gL
17,Aventura,Lunay,2895,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
18,"Hola - Remix",Dalex,2860,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
19,"QUE PRETENDES","J Balvin",2847,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
20,"La Playa","Myke Towers",2773,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
21,Tutu,Camilo,2708,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
22,Quizas,"Rich Music LTD",2679,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
23,"Dance Monkey","Tones and I",2678,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
24,Loco,Beéle,2609,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
25,"Bellaquita - Remix",Dalex,2566,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
26,"Sigues Con El","Dimelo Flow",2527,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
27,"Pa Mí - Remix",Dalex,2518,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
28,Bellaquita,Dalex,2426,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
29,Cuaderno,Dalex,2392,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
30,"Otro Trago - Remix",Sech,2351,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
31,"Yo x Ti, Tu x Mi",ROSALÍA,2327,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
32,"Verte Ir","DJ Luian",2262,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
33,"Te Vi","Piso 21",2221,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
