Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",93488,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,"Last Christmas",Wham!,86975,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
3,"Dance Monkey","Tones and I",86849,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Blinding Lights","The Weeknd",86721,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,"Home for Christmas","Maria Mena",81591,https://open.spotify.com/track/3E0fq2gqsNbQo5paAuEcmc
6,"Himmel På Jord","Kurt Nilsen",73898,https://open.spotify.com/track/0WFyQgDzbQCfJuxcHW4Zrt
7,Falling,"Trevor Daniel",70908,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,"everything i wanted","Billie Eilish",67948,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,"Driving Home for Christmas - 2019 Remaster","Chris Rea",65960,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
10,"Hey Ho","Freddy Kalas",64250,https://open.spotify.com/track/0eekaX32hUmJgcinPCL1iZ
11,"Someone You Loved","Lewis Capaldi",63781,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,ROXANNE,"Arizona Zervas",63381,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,"It's Beginning to Look a Lot like Christmas","Michael Bublé",62494,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
14,"Selmas sang (fra Snøfall)","Eva Weel Skram",61288,https://open.spotify.com/track/0PRX6CXffB3cARlzNCkmR4
15,Mistletoe,"Justin Bieber",58716,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
16,"Santa Tell Me","Ariana Grande",57817,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
17,Memories,"Maroon 5",57563,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
18,Snowman,Sia,55991,https://open.spotify.com/track/3E6Ydoy1H8ePoigc10Mgsa
19,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",53785,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
20,"Don't Start Now","Dua Lipa",50655,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
21,"Hvem Er Hun",Arif,46077,https://open.spotify.com/track/2zTXGnJsTwSp1TKcs5g6Xb
22,"Christmas Lights",Coldplay,45934,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
23,"Jul i svingen","Ingebjørg Bratland",45127,https://open.spotify.com/track/0FZHpDOVQ8N1HJLahZsTT1
24,DANCE,CLMD,44469,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J
25,Stjernesludd,"Kurt Nilsen",43531,https://open.spotify.com/track/0zCU35nRISaqZqlUXNEL5Z
26,Circles,"Post Malone",43249,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
