Position,"Track Name",Artist,Streams,URL
1,ROXANNE,"Arizona Zervas",50627,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
2,"Dance Monkey","Tones and I",42980,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,Circles,"Post Malone",38838,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,"Watermelon Sugar","Harry Styles",33954,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
5,Memories,"Maroon 5",33398,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,"All I Want for Christmas Is You","Mariah Carey",32643,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
7,"Adore You","Harry Styles",32358,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
8,"Catching Feelings (feat. SIX60)","Drax Project",32245,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
9,"Don't Start Now","Dua Lipa",31674,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,Glitter,BENEE,31445,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
11,"hot girl bummer",blackbear,29771,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
12,"everything i wanted","Billie Eilish",28012,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
13,"Please Don't Go",SIX60,27194,https://open.spotify.com/track/5caY6lIFeI2du0TpgCSRP1
14,Falling,"Trevor Daniel",27000,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,"Last Christmas",Wham!,26703,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
16,"Ride It",Regard,25738,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
17,"The Greatest",SIX60,25449,https://open.spotify.com/track/2OmbLtdHJn3u9haCQXODl6
18,"Someone You Loved","Lewis Capaldi",24212,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,"Before You Go","Lewis Capaldi",22741,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
20,Señorita,"Shawn Mendes",22374,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
21,"Lucid Dreams","Juice WRLD",22266,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
22,"Lights Up","Harry Styles",20885,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
23,"HIGHEST IN THE ROOM","Travis Scott",20705,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
24,"My Oh My (feat. DaBaby)","Camila Cabello",20329,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
25,"Blinding Lights","The Weeknd",19961,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
26,"Trampoline (with ZAYN)",SHAED,19899,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
