Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",21773,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Sigues Con El","Dimelo Flow",19796,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
3,Vete,"Bad Bunny",17947,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
4,"Si Te Vas",Sech,13491,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
5,Fantasias,"Rauw Alejandro",13317,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
6,China,"Anuel AA",12498,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
7,"LA CANCIÓN","J Balvin",11807,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
8,Quizas,"Rich Music LTD",11478,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
9,"RITMO (Bad Boys For Life)","The Black Eyed Peas",11423,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
10,"Adicto (with Anuel AA & Ozuna)",Tainy,10834,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
11,Callaita,"Bad Bunny",10075,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
12,"Whine Up","Nicky Jam",10046,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
13,"No Me Conoce - Remix","Jhay Cortez",9791,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
14,"Hola - Remix",Dalex,9508,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
15,"Bellaquita - Remix",Dalex,9318,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
16,"Que Tire Pa Lante","Daddy Yankee",9133,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
17,Loco,Beéle,8564,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
18,Aventura,Lunay,8149,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
19,Tutu,Camilo,8074,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
20,Bellaquita,Dalex,7906,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
21,Imaginate,"Rich Music LTD",7376,https://open.spotify.com/track/29ShXDWDedEwZkYc8Du08N
22,"Yo x Ti, Tu x Mi",ROSALÍA,7350,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
23,"Pa Mí - Remix",Dalex,7335,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
24,"Cuerpo en Venta",Noriel,7238,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
25,"Soltera - Remix",Lunay,7155,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
26,Cuaderno,Dalex,6897,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
27,"Si Se Da - Remix","Myke Towers",6706,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
28,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",6700,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
29,"Otro Trago - Remix",Sech,6660,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
30,"Que Mas Pues - Remix",Sech,6566,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
31,Fantasía,Ozuna,6322,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
32,Indeciso,Reik,6047,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
33,Atrévete,"Nicky Jam",5976,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
34,Uniforme,"Rich Music LTD",5975,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc
35,"Verte Ir","DJ Luian",5946,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
36,"La Isla (with Sech & Dalex feat. Justin Quiles, La Exce, Feid, Zion)","Dimelo Flow",5723,https://open.spotify.com/track/0UfVfRSmy4xMyi67LKH5zZ
37,"Gan-Ga - Remix","Bryant Myers",5679,https://open.spotify.com/track/27qRmG3zOWPvMYUkpPdQ1g
38,"Dance Monkey","Tones and I",5590,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
39,"Otro Trago",Sech,5454,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
40,Solita,Sech,5360,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw
41,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",5306,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
42,"QUE PRETENDES","J Balvin",5272,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
43,"11 PM",Maluma,5256,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
44,Señorita,"Shawn Mendes",5100,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
45,Blanco,"J Balvin",4960,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
46,"La Playa","Myke Towers",4929,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
47,"Perreo en La Luna","Rich Music LTD",4832,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
48,"Coronao Now","El Alfa",4824,https://open.spotify.com/track/7FbKipScVxkjQxQXwTd0gL
49,"Con Altura",ROSALÍA,4797,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
50,Desconocidos,"Mau y Ricky",4590,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
51,LowKey,"Bryant Myers",4282,https://open.spotify.com/track/3aSZoM8ZylbB0xCBkGpNTg
52,"Adan y Eva","Paulo Londra",4008,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
53,"Don't Start Now","Dua Lipa",3847,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
54,ROXANNE,"Arizona Zervas",3822,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
55,"Un Año","Sebastian Yatra",3735,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
56,Circles,"Post Malone",3686,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
57,"Que Calor (with J Balvin & El Alfa)","Major Lazer",3682,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
58,"La Mejor Versión de Mi - Remix","Natti Natasha",3625,https://open.spotify.com/track/2dy3TKVDEbIeWxeIb8JWqZ
59,"Te Quemaste","Manuel Turizo",3592,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
60,Gan-Ga,"Bryant Myers",3574,https://open.spotify.com/track/2J3jxgfp6GWoBsMPIa20oC
61,"Hasta Que Salga el Sol",Ozuna,3472,https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl
62,"Calma - Remix","Pedro Capó",3458,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
63,"Ella Quiere Beber - Remix","Anuel AA",3415,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
64,"Te Vi","Piso 21",3333,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
65,Memories,"Maroon 5",3325,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
66,Secreto,"Anuel AA",3315,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
67,"Te Robaré","Nicky Jam",3253,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T
68,Porno,"Rich Music LTD",3245,https://open.spotify.com/track/34ZngZgo8xicbt1EE8Ob8Z
69,Falling,"Trevor Daniel",3160,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
70,"Sígueme - Remix",Feid,3127,https://open.spotify.com/track/7IpRYJ71dk98P0SmgnNLYh
71,"Lose You To Love Me","Selena Gomez",3104,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
72,"Fantasias - Unplugged","Rauw Alejandro",3089,https://open.spotify.com/track/6qqd7DGn2VXzxsR4k3Ycun
73,Piensan,"Myke Towers",3055,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
74,"Adore You","Harry Styles",3034,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
75,"everything i wanted","Billie Eilish",3026,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
76,Delincuente,Farruko,3018,https://open.spotify.com/track/3TqLIW3qd4qFYkfYsBjVN6
77,"Me Mató (feat. Faster)",Boza,2981,https://open.spotify.com/track/3zF3RFHnA6YXQ5TviNjhcv
78,"Nadie (feat. Sech & Sharo Towers) - Remix",Farruko,2936,https://open.spotify.com/track/6pNjmMB8FTMEcqGSgs7Mji
79,"Qué Pena",Maluma,2874,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
80,"Enamórate De Alguien Más",Morat,2811,https://open.spotify.com/track/1fXKStjVOTmBEwjAnFSNkc
81,"La Forma en Que Me Miras","Super Yei",2800,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW
82,"Con Calma","Daddy Yankee",2772,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
83,"Si Se Da","Myke Towers",2748,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
84,Amanece,"Anuel AA",2726,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
85,"Maleantes Caros",Yemil,2715,https://open.spotify.com/track/0zOpk9qj9ZoCOZ6UTZ7CoN
86,"B11 (feat. Myke Towers)",Rvssian,2712,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl
87,"Pa' Olvidarme De Ella","Piso 21",2699,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
88,"Blinding Lights","The Weeknd",2645,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
89,"Watermelon Sugar","Harry Styles",2627,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
90,Boomerang,Sech,2626,https://open.spotify.com/track/6E8uqptcabNz9ym19FkDye
91,"Lucid Dreams","Juice WRLD",2601,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
92,"Mírame - Remix","Nio Garcia",2595,https://open.spotify.com/track/53uKGbcMjEc2gIWbfmvpdS
93,Velitas,Darell,2577,https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq
94,Bailemos,"Manuel Turizo",2573,https://open.spotify.com/track/1ScD7XQYCKmJ3fdNh71lUE
95,Créeme,"KAROL G",2566,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU
96,"All I Want for Christmas Is You","Mariah Carey",2550,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
97,"Lollipop (feat. Faster)",Boza,2536,https://open.spotify.com/track/5Kuz2B5fkTmTGFXUYz1tO5
98,"La Cama",Lunay,2519,https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1
99,"La Boca - Remix","Mau y Ricky",2514,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
100,"Tal Vez","Paulo Londra",2506,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
101,"Falsas Promesas",Sech,2481,https://open.spotify.com/track/6ATIufHUOw1R1A4q46BqrN
102,"Esclavo de Tus Besos","Manuel Turizo",2480,https://open.spotify.com/track/0WpwK09agFbwEUaNrGnXoe
103,"bad guy","Billie Eilish",2451,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
104,"Easy - Remix","Jhay Cortez",2424,https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU
105,"MIA (feat. Drake)","Bad Bunny",2387,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
106,"Mi Error - Remix","Eladio Carrion",2363,https://open.spotify.com/track/0lbhKycRyqkOMKZ6thzfU4
107,"Una Vida Para Recordar","Piso 21",2361,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
108,"Si Estuviésemos Juntos","Bad Bunny",2337,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
109,Runaway,"Sebastian Yatra",2336,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
110,Destino,Greeicy,2322,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
111,"la Chumerri","Italian Somali",2317,https://open.spotify.com/track/0COzrx37049Dzru93E0Uhc
112,"Rebota - Remix",Guaynaa,2287,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11
113,"Miss Lonely - Dimelo Flow Remix",Sech,2246,https://open.spotify.com/track/1ndlOUUT3Eq1SDCSdKJASw
114,"I Don't Care (with Justin Bieber)","Ed Sheeran",2243,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
115,Patek,Ozuna,2230,https://open.spotify.com/track/2f237byd0A2w0fLlnVDOV4
116,"No Te Vayas",Camilo,2222,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB
117,"Yo Tengo una Gata",Ozuna,2209,https://open.spotify.com/track/2z1ACAitQVTvo1ynh7EtAd
118,"La Boca","Mau y Ricky",2208,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
119,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2205,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
120,"105 F Remix",KEVVO,2199,https://open.spotify.com/track/1aUGxXCz9QimNkKeiJtzZ7
121,"Baila Baila Baila - Remix",Ozuna,2182,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
122,"Kemba Walker","Eladio Carrion",2179,https://open.spotify.com/track/38kLHBjtWJaPXcyFhwRVtI
123,"Loco Fefo","Italian Somali",2134,https://open.spotify.com/track/3qFiDBVE1SmltkIw3IuUPD
