Position,"Track Name",Artist,Streams,URL
1,Memories,"Maroon 5",281633,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
2,Pagtingin,Ben&Ben,221754,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
3,Imahe,"Magnus Haven",210809,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5
4,ROXANNE,"Arizona Zervas",208589,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
5,"Binalewala - Original Version","Michael Dutchi Libranda",197257,https://open.spotify.com/track/2tR5liucorXRwduxr0qEx6
6,"Neneng B","Nik Makino",193854,https://open.spotify.com/track/0BaMZMMEG7GWrUYsoGw8Yg
7,"10,000 Hours (with Justin Bieber)","Dan + Shay",185165,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
8,Zebbiana,"Skusta Clee",181971,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL
9,"Hindi Tayo Pwede","The Juans",175589,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP
10,"Mean It",Lauv,174991,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
11,"Ayy Macarena",Tyga,156126,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
12,Circles,"Post Malone",154307,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
13,"Sa Susunod Na Lang",PDL,145465,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
14,"Don't Start Now","Dua Lipa",145003,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
15,"Someone You Loved","Lewis Capaldi",144069,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,"Masyado Pang Maaga",Ben&Ben,143866,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t
17,comethru,"Jeremy Zucker",135685,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
18,"Ikaw At Ako","Moira Dela Torre",134272,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
19,Señorita,"Shawn Mendes",132680,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
20,"Beautiful People (feat. Khalid)","Ed Sheeran",131282,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
21,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",128827,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
22,"Kathang Isip",Ben&Ben,127578,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
23,"Into the Unknown","Idina Menzel",126153,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
24,"Lucid Dreams","Juice WRLD",120132,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
25,"Kung 'Di Rin Lang Ikaw","December Avenue",119821,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
26,"I Don't Care (with Justin Bieber)","Ed Sheeran",114593,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
27,Sana,"I Belong to the Zoo",113677,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
28,"It's You","Ali Gatie",113557,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
29,"Lose You To Love Me","Selena Gomez",113461,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
30,"Adore You","Harry Styles",111425,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
31,I.F.L.Y.,Bazzi,110052,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
32,Tala,"Sarah Geronimo",108667,https://open.spotify.com/track/4T7CM071eEoHudiDShZlCJ
33,"Get You The Moon (feat. Snøw)",Kina,106767,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
34,Sanctuary,Joji,106445,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3
35,Dahan,"December Avenue",105208,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
36,"Maybe The Night",Ben&Ben,102918,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
37,"How Do You Sleep?","Sam Smith",98219,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
38,"Nobody Knows",Russ,97371,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
39,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,97002,https://open.spotify.com/track/4wopYJ5wpYOM6ogm2Jugnw
40,Dalaga,Arvey,95860,https://open.spotify.com/track/3iZB3VUDerY5P96rhBKwKr
41,"Sa Ngalan Ng Pag-Ibig","December Avenue",92741,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
42,Mabagal,"Daniel Padilla",92045,https://open.spotify.com/track/07JZJ9YJRaiUAz9Bv8wgwH
43,Feelings,Lauv,92035,https://open.spotify.com/track/1cL3ucXzG2hj3XOUPIWdvZ
44,"Lover (Remix) [feat. Shawn Mendes]","Taylor Swift",87322,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
45,"Santa Tell Me","Ariana Grande",86073,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
46,"Dance Monkey","Tones and I",83948,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
47,"Goodbyes (Feat. Young Thug)","Post Malone",83762,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
48,"Make It Right (feat. Lauv)",BTS,83549,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
49,"Kahit Ayaw Mo Na","This Band",82650,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
50,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",74292,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
51,"Can We Kiss Forever?",Kina,71552,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
52,Araw-Araw,Ben&Ben,70468,https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm
