Position,"Track Name",Artist,Streams,URL
1,Patointeligencja,Mata,196769,https://open.spotify.com/track/6F3zAaf1DY7akff9JQ8pMb
2,"All I Want for Christmas Is You","Mariah Carey",97186,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,"Last Christmas",Wham!,94631,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,VOGUE,Bedoes,90967,https://open.spotify.com/track/0XthAWvbDoOunjDceV6Jq2
5,"Jesteś ładniejsza niż na zdjęciach (na zawsze)",Bedoes,86809,https://open.spotify.com/track/55sNf76dIok3ddZtFiNaaf
6,"Brzydkie Rzeczy",Bedoes,77195,https://open.spotify.com/track/6STE4z6PBDVmCsIHejY66L
7,"1998 (mam to we krwi)",Bedoes,75055,https://open.spotify.com/track/2dvxMlIfGY90Wvw8OSgZoF
8,"Dance Monkey","Tones and I",73528,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,"Opowieści z Doliny Smoków",Bedoes,72976,https://open.spotify.com/track/0biUEKHyKAPBDLcrjCUFsu
10,"Anioły i Demony",Tymek,72531,https://open.spotify.com/track/1DXaXsT69EUS1aarFfBxMw
11,"Santa Tell Me","Ariana Grande",69325,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
12,"Wschód (lubię zapierdalać)",Bedoes,64306,https://open.spotify.com/track/7BF6s1W1W9filnjQkNYasL
13,"Driving Home for Christmas - 2019 Remaster","Chris Rea",60711,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
14,"Adore You","Harry Styles",54046,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
15,"Don't Start Now","Dua Lipa",53539,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
16,Falling,"Trevor Daniel",52815,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,"Floyd Mayweather",Żabson,52065,https://open.spotify.com/track/5wOAQXIydVWJNatT6nKwhz
18,"Mata Montana",Mata,51967,https://open.spotify.com/track/7ILNaXjTXNJAksRhMhvthz
19,Rainman,Tymek,51338,https://open.spotify.com/track/7GMszPpwzW9Yehj9Ox2QLD
20,"Merry Christmas Everyone","Shakin' Stevens",50800,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
21,Schodki,Mata,50202,https://open.spotify.com/track/5hbjEop5ZACSF37JmcsQQU
22,"Język ciała",Tymek,48602,https://open.spotify.com/track/3rM7bxaGhahPf0bhRBlrXM
23,"Ona By Tak Chciała","Ronnie Ferrari",47771,https://open.spotify.com/track/4ocfGuRDytBDjTeJLDIDjL
24,"hot coffee",schafter,47583,https://open.spotify.com/track/4pzRQIRRHXYsAryBKXALCF
25,"Biblioteka Trap",Mata,47269,https://open.spotify.com/track/6qO9lB5HScamYEOddv0Km0
26,"W PIĄTKI LEŻĘ W WANNIE","Taco Hemingway",46328,https://open.spotify.com/track/4bpShq8coki3AlMsXuFCDa
27,"Poza kontrolą",Tymek,46250,https://open.spotify.com/track/72sOrgrynSH73z4E41Ed0i
28,"everything i wanted","Billie Eilish",46236,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
29,"@ (trailer)",chillwagon,46026,https://open.spotify.com/track/4fsZcOEWUxFyDe1ENTbvLM
30,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",45635,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
31,bigos,schafter,45457,https://open.spotify.com/track/0oHlNCYyl8BkJalwiYEglU
32,"Watermelon Sugar","Harry Styles",44971,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
33,"Będzie Lepiej",Miyo,44388,https://open.spotify.com/track/30OnKqCINi9fRJyQTEZeDz
34,Circles,"Post Malone",44339,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
35,"Holly Jolly Christmas","Michael Bublé",44012,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
36,"It's the Most Wonderful Time of the Year","Andy Williams",43407,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
37,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",43010,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
38,NICKI,"Trill Pem",42806,https://open.spotify.com/track/248wm0QJjthcaWCCXoXfDf
39,FPS,Bedoes,42785,https://open.spotify.com/track/3kWxHkGNqsToeOpCHZvkwk
40,"Roses - Imanbek Remix","SAINt JHN",42748,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
41,"Dzieci burzy",BORCREW,42710,https://open.spotify.com/track/3kxIqD1BObKKHB5kn5sOqD
42,"Blinding Lights","The Weeknd",40931,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
43,Mistletoe,"Justin Bieber",40184,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
44,"jolka (trailer)",chillwagon,39439,https://open.spotify.com/track/5Zc1iY6yaGrNIgSzCgca8H
45,"Superhero - Junior Eurovision 2019 / Poland","Viki Gabor",39399,https://open.spotify.com/track/2ZE0aaMYGinDylqEYeHYW2
46,Surfer,"Be Vis",38959,https://open.spotify.com/track/5vBtQYXPl3doQwnlFHwknb
47,"Chłopaki nie płaczą",Bedoes,38415,https://open.spotify.com/track/4glBRF3uJCf3bTG4hhIhpn
48,"Mogę Dziś Umierać","White 2115",38142,https://open.spotify.com/track/38r67NnLgSMEGhilk9QhF4
49,"Do They Know It's Christmas? - 1984 Version","Band Aid",37918,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
50,Señorita,"Shawn Mendes",37066,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
51,"Łzy (pierwszy kawałek na tej płycie)",Bedoes,35909,https://open.spotify.com/track/3YCmIFLTUyWKbaXjV9yplM
52,"Santa's Coming For Us",Sia,35878,https://open.spotify.com/track/3AlpkljBS1AU7HFVPms8K6
53,"It's Beginning to Look a Lot like Christmas","Michael Bublé",35870,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
54,"Ride It",Regard,35737,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
55,"Ziom z papieru",BORCREW,35701,https://open.spotify.com/track/4mhjXZjKCtwJSMfoKvOsBJ
56,"Santa Baby","Kylie Minogue",35627,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz
57,"Rockin' Around The Christmas Tree","Brenda Lee",35311,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
58,"bad guy","Billie Eilish",34997,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
59,"Christmas Lights",Coldplay,34630,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
60,"Mistletoe and Wine","Cliff Richard",34414,https://open.spotify.com/track/3AgiRs3oxc2dFh0CPUHXJs
61,ROXANNE,"Arizona Zervas",34414,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
62,"Najnowszy Klip","Dawid Podsiadło",34258,https://open.spotify.com/track/35UvOH0tRlSCdtWtaXuiWh
63,"LECI NOWY FUTURE","Taco Hemingway",34069,https://open.spotify.com/track/4DVPJXPqKLIon9BHklap1w
64,Smoki,Bedoes,33365,https://open.spotify.com/track/5uLxT9Ncm4nVMkjPFzySQl
65,"Someone You Loved","Lewis Capaldi",33293,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
66,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",32795,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
67,Wybory,Jan-Rapowanie,32591,https://open.spotify.com/track/3KeWngnWN1REq9d26ZanKj
68,"Happy Xmas (War Is Over) - Remastered","John Lennon",32535,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
69,Memories,"Maroon 5",32099,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
70,"Sleigh Ride","The Ronettes",31531,https://open.spotify.com/track/1ODZGydlown4VesUP8HLJX
71,SAUVAGE,Bedoes,31523,https://open.spotify.com/track/1yCMDljhVOb6izmWrPzsuJ
72,rower,chillwagon,31413,https://open.spotify.com/track/6jHryuOshLjFStzJseLVJp
73,"My Only Wish (This Year)","Britney Spears",31390,https://open.spotify.com/track/6id0KJ3XgvJLSzyMtHBj67
74,"Fresh Prince (trill 4ever)",Bedoes,31258,https://open.spotify.com/track/12NVUrtVmL9B0gQ59mlOor
75,Outside,Kartky,31090,https://open.spotify.com/track/4SDdeq8HUaKPUGiE4WMASH
76,Bestia,"Young Igi",31024,https://open.spotify.com/track/5b9RQx9CLZRZcO1W8PvmcB
77,Trofea,"Dawid Podsiadło",30955,https://open.spotify.com/track/3pe05XBTPu2wpWwkVPzuUX
78,"Mieć i nie mieć",Jetlagz,30886,https://open.spotify.com/track/2CSsOy2PTQNkhPc7SRqr78
79,"Lights Up","Harry Styles",30797,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
80,"Prawy do lewego",Mata,30663,https://open.spotify.com/track/6pzomVeu3iTNavCarali0U
81,"tęczowy music box",chillwagon,30474,https://open.spotify.com/track/0n44rVj9AMSwI4LlnuJr5A
82,"Some Say",Nea,30472,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
83,TIRy,BORCREW,29344,https://open.spotify.com/track/3folQRowvURG094lAYvTLo
84,California,"White 2115",29304,https://open.spotify.com/track/2nFaT0t36H6UX3wN3Vxvjm
85,"Lose You To Love Me","Selena Gomez",28824,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
86,Bali,Gedz,28772,https://open.spotify.com/track/376XxQrHsYD4TYYwPr6a5Z
87,"Nadchodzi lato",Bedoes,28590,https://open.spotify.com/track/1yRJCmwQVNX3z5jsw5mlKy
88,Lesbijki,Bedoes,28331,https://open.spotify.com/track/7MofD4vBjGxeBLN3NNAAk0
89,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",28044,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
