Position,"Track Name",Artist,Streams,URL
1,Louco,Piruka,44764,https://open.spotify.com/track/5RPewmKIUL2vWtQLI0Qp1F
2,"Dance Monkey","Tones and I",36784,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"Hoji N'ka ta Rola","Julinho Ksd",33221,https://open.spotify.com/track/3EtXiDhRO8psTWs2uY8nyA
4,"Essa Saia (feat. Ivandro)",Bispo,32317,https://open.spotify.com/track/2OI0z4fQD8NQPfYf5v6a2E
5,"Somos Iguais",Plutónio,29028,https://open.spotify.com/track/1X3ltingEVNGRoJf1dvZfQ
6,"Vivi Good","Julinho Ksd",28413,https://open.spotify.com/track/6MLQRF8D7LsOvZwkt1UcZP
7,Tranquilo,Aragão,25893,https://open.spotify.com/track/1fobXPCu47gikLMIoyQBLy
8,"HIGHEST IN THE ROOM","Travis Scott",23958,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
9,ROXANNE,"Arizona Zervas",23247,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,"menina solta","Giulia Be",22939,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
11,"Sentimento Safari","Julinho Ksd",22265,https://open.spotify.com/track/2t98sYRAQZAXqdwi3Sf6pQ
12,Irresponsável,"Wet Bed Gang",20487,https://open.spotify.com/track/1AgqELuodwiIUbJhXM74Jx
13,"RITMO (Bad Boys For Life)","The Black Eyed Peas",19669,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
14,Circles,"Post Malone",19504,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,Falling,"Trevor Daniel",18831,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
16,"Quando a vontade bater (Participação especial de PK Delas)",Pk,18425,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH
17,"Vergonha na Cara",Plutónio,18335,https://open.spotify.com/track/7tgcYERxLChrwBIWp1mrv3
18,Vencedor,"Phoenix Rdc",18233,https://open.spotify.com/track/4a0H1kKez7UVLveRL5cEgy
19,"Hoji en Sá Ta Vivi","Julinho Ksd",18206,https://open.spotify.com/track/3PS7DV9nHtL6FhgSPh0d8z
20,"Adore You","Harry Styles",18189,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
21,Memories,"Maroon 5",17940,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
22,Bússola,Nenny,17330,https://open.spotify.com/track/5WJDT0RGxHU8vqpC7MkMfp
23,"Gaiola É o Troco","MC Du Black",17214,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
24,"everything i wanted","Billie Eilish",17094,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
25,"Lucy Lucy",Plutónio,16898,https://open.spotify.com/track/2TPBDdqlAb6BitW6KC1KjW
26,"Don't Start Now","Dua Lipa",16638,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
27,Bairro,"Wet Bed Gang",16557,https://open.spotify.com/track/1ai9FDnFQDv18WAtFhMTIz
28,"1 de Abril",Plutónio,16184,https://open.spotify.com/track/5ZxHzpxIEr0rxGJN8Jsdjy
29,"Lucid Dreams","Juice WRLD",15992,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
30,"Depois da Chuva","Wet Bed Gang",15912,https://open.spotify.com/track/2ebMZu8tfOap16ftf70LTF
31,Impossíveis,Piruka,15558,https://open.spotify.com/track/06YKCirt0RfP49rs6qB9sk
32,Bolero,X-Tense,15529,https://open.spotify.com/track/7mdE30Ov4in9UOCUcQiIK0
33,GT3,"LON3R JOHNY",14641,https://open.spotify.com/track/24DEtUjFhpV57zGnwzHR4H
34,Señorita,"Shawn Mendes",14591,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
35,"Watermelon Sugar","Harry Styles",14520,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
36,"Eterna Sacanagem","MC JottaPê",14443,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i
37,"All I Want for Christmas Is You","Mariah Carey",13538,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
38,"Não Preciso (feat. Dylan)",TAY,13065,https://open.spotify.com/track/0KO1f2y6aO5ouVwWZ8Uauw
39,"Someone You Loved","Lewis Capaldi",13057,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
40,"bad guy","Billie Eilish",13049,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
41,"Goodbyes (Feat. Young Thug)","Post Malone",12845,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
42,Heartless,"The Weeknd",12628,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
43,"Head Na Glock","Wet Bed Gang",12564,https://open.spotify.com/track/4SqyV7jhuYUbRshqW1M5b9
44,Havana,Sippinpurpp,12239,https://open.spotify.com/track/69PRF57YEpTtgFngBwUAob
45,"It's You","Ali Gatie",12138,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
46,Deixa,"Mc Th",12114,https://open.spotify.com/track/4zZ2rPOa8itw3VuusVSicv
47,"Never Walk Alone",Sippinpurpp,12038,https://open.spotify.com/track/7o5wNhYaDLRa8T81H9dn8G
48,"Meu Deus",Plutónio,11943,https://open.spotify.com/track/6jx4yp7a9uUUN28Hr244fp
49,"Beautiful People (feat. Khalid)","Ed Sheeran",11582,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
50,"Meu Ego","Deejay Telio",11304,https://open.spotify.com/track/4g7pN0tzE26Hv4HM3UTwfO
51,"Se Eu","Fernando Daniel",11144,https://open.spotify.com/track/60sz5NvSVHHTiaC02QuvaR
52,Falling,"Harry Styles",11139,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
53,"Lights Up","Harry Styles",11098,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
54,"Lose You To Love Me","Selena Gomez",11022,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
55,"Piece Of Your Heart",MEDUZA,10944,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
56,FAM,"Slow J",10933,https://open.spotify.com/track/34OonHyC40aIzMPwvTOP6E
57,"Blinding Lights","The Weeknd",10807,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
58,"I Don't Care (with Justin Bieber)","Ed Sheeran",10793,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
59,"Só Queria Sorrir","Slow J",10270,https://open.spotify.com/track/5oGOwG8FhaKQyXrruJKkk6
60,"How Do You Sleep?","Sam Smith",10125,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
61,"Last Christmas",Wham!,10111,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
62,"Ouvi Dizer",Melim,9989,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
63,Ransom,"Lil Tecca",9864,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
64,"Be Honest","Jorja Smith",9816,https://open.spotify.com/track/3IWs9dAwTqN0EFhOIcBDfs
65,"Tou Bem (feat. Lhast)",ProfJam,9785,https://open.spotify.com/track/0gzwa0yJncSs29DjXajA5i
66,"Love Me","Lil Tecca",9514,https://open.spotify.com/track/4e0FYxSROat25pH16zMTZI
67,"Combatchy (feat. MC Rebecca)",Anitta,9116,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
68,"Teu Eternamente","Slow J",9059,https://open.spotify.com/track/3klZEB3gNmhKoOTqwVH92G
69,"Sweet Spot",Papillon,8938,https://open.spotify.com/track/7yrH4ghvW4hivGBpLU7dDb
70,Shallow,"Lady Gaga",8669,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
71,"Devia Ir","Wet Bed Gang",8645,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
72,Malibu,ProfJam,8408,https://open.spotify.com/track/0VoXqU82KkwEab9b5f8T4M
73,Camadas,Papillon,8338,https://open.spotify.com/track/6g3BZ70tvq3qOPicxtsnYa
74,Lalala,Y2K,8253,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
75,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",8189,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
76,"Santa Tell Me","Ariana Grande",8125,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
77,"Surtada - Remix Brega Funk","Dadá Boladão",8091,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
78,Tusa,"KAROL G",7935,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
79,BOP,DaBaby,7909,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
80,"It's Beginning to Look a Lot like Christmas","Michael Bublé",7692,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
81,"Lhast - jND (feat. 9 Miller)",Lhast,7606,https://open.spotify.com/track/1TNiTrOrCgSvJN46XISIDj
82,"Ride It",Regard,7513,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
83,"After Party","Deejay Telio",7494,https://open.spotify.com/track/4Ssh6BrNzS4hv3SMkfPFGA
84,"lovely (with Khalid)","Billie Eilish",7440,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
85,goosebumps,"Travis Scott",7419,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
86,"My Oh My (feat. DaBaby)","Camila Cabello",7361,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
87,"Lose Control",MEDUZA,7324,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
88,Liar,"Camila Cabello",7320,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
