Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",13159,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Falling,"Trevor Daniel",10869,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
3,"HIGHEST IN THE ROOM","Travis Scott",10506,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
4,Heartless,"The Weeknd",7662,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
5,ROXANNE,"Arizona Zervas",7509,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
6,"everything i wanted","Billie Eilish",7256,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
7,"Blinding Lights","The Weeknd",7199,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
8,"No Idea","Don Toliver",7120,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
9,"Ayy Macarena",Tyga,6943,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
10,Circles,"Post Malone",6253,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
11,"Futsal Shuffle 2020","Lil Uzi Vert",6219,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
12,Mili,Ian,6181,https://open.spotify.com/track/04cqASbER6wLs0me9FszxL
13,"Don't Start Now","Dua Lipa",6115,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
14,Memories,"Maroon 5",6094,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
15,"Someone You Loved","Lewis Capaldi",6078,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,Sarpe,Exploit,6053,https://open.spotify.com/track/3jfRLwpTQwaRdGHGlpbGy3
17,"Lucid Dreams","Juice WRLD",6021,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
18,"bad guy","Billie Eilish",5720,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
19,"Adore You","Harry Styles",5499,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
20,Señorita,"Shawn Mendes",5452,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
21,"Hocus Pocus",5GANG,5163,https://open.spotify.com/track/6mRDayUi1xuM4QpQ773mLR
22,"60 De Zile",Ian,5123,https://open.spotify.com/track/5ymFsfuMVDuG43ksIqCohv
23,"hot girl bummer",blackbear,5070,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
24,"All I Want for Christmas Is You","Mariah Carey",4932,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
25,"Let Me Down Slowly","Alec Benjamin",4899,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
26,BOP,DaBaby,4756,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
27,"Bag Un Blunt",Ian,4719,https://open.spotify.com/track/1nGnZ1SNJHg0qmCKZLiCgi
28,Lalala,Y2K,4702,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
29,"Watermelon Sugar","Harry Styles",4678,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
30,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",4647,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
31,"7 rings","Ariana Grande",4608,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
32,Nefiu,Ian,4525,https://open.spotify.com/track/1QVYDQmJSBpQ1vnO5euZMk
33,"My Oh My (feat. DaBaby)","Camila Cabello",4502,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
34,Contactu,"OG Eastbull",4402,https://open.spotify.com/track/2n62iPgTDwjpZz1LE08IKE
35,"Last Christmas",Wham!,4361,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
36,"Beautiful People (feat. Khalid)","Ed Sheeran",4265,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
37,"Rockin' Around The Christmas Tree","Brenda Lee",4232,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
38,"Jingle Bell Rock","Bobby Helms",4067,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
39,"SICKO MODE","Travis Scott",4024,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
40,Candy,"Doja Cat",4011,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
41,"Hate Me (with Juice WRLD)","Ellie Goulding",4005,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
42,"How Do You Sleep?","Sam Smith",3944,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
43,"Lose Control",MEDUZA,3940,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
44,Liar,"Camila Cabello",3897,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
45,"I Don't Care (with Justin Bieber)","Ed Sheeran",3782,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
46,"RITMO (Bad Boys For Life)","The Black Eyed Peas",3767,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
47,"It's the Most Wonderful Time of the Year","Andy Williams",3749,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
48,"Lose You To Love Me","Selena Gomez",3732,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
49,B.M.V.,Nane,3727,https://open.spotify.com/track/0YF7NWEb8CTZQFXCIL2Ztq
50,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",3592,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
51,"Ride It",Regard,3577,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
52,Wow.,"Post Malone",3550,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
53,Flexez,Ian,3542,https://open.spotify.com/track/0EoMxf417PnGSsdpMGg1hE
54,"Seara De Seara","Carla's Dreams",3534,https://open.spotify.com/track/2nxtGyeiTJ8CsDhPyzveR7
55,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",3490,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
56,Bambolina,"Killa Fonic",3476,https://open.spotify.com/track/3sAnuEMv1wpSPGwiQZuhSP
57,Ransom,"Lil Tecca",3465,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
58,Haolo,"KILLA FONIC",3434,https://open.spotify.com/track/0eHoaHif9kYQXlHF5J5ti7
59,goosebumps,"Travis Scott",3433,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
60,"Milano Mood",Nane,3428,https://open.spotify.com/track/31rai8QLbAPPV3P6JxLRJL
61,VALENTINO,24kGoldn,3422,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
62,Zendaya,Ian,3411,https://open.spotify.com/track/1Rn0BcmlMIln0tapy6CaRW
63,"It's Beginning to Look a Lot like Christmas","Michael Bublé",3393,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
64,"Without Me",Halsey,3381,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
65,"Roses - Imanbek Remix","SAINt JHN",3378,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
66,"Santa Tell Me","Ariana Grande",3336,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
67,"Strazile din Bucuresti","Florian Rus",3226,https://open.spotify.com/track/1tDk0Jot1RkxsPTPXaNM7k
68,"lovely (with Khalid)","Billie Eilish",3215,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
69,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3191,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
70,"Trampoline (with ZAYN)",SHAED,3166,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
71,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",3108,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
72,"Old Town Road - Remix","Lil Nas X",2997,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
73,Sucker,"Jonas Brothers",2986,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
74,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",2985,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
75,"when the party's over","Billie Eilish",2982,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
76,"Lights Up","Harry Styles",2937,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
77,"Feliz Navidad","José Feliciano",2872,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
78,Youngblood,"5 Seconds of Summer",2868,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
79,Leila,Exploit,2866,https://open.spotify.com/track/3z9sZ9zl808RdH2KFanWca
80,SAD!,XXXTENTACION,2863,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
81,"The Box","Roddy Ricch",2858,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
82,"Goodbyes (Feat. Young Thug)","Post Malone",2841,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
83,"3 Lucruri",Nane,2799,https://open.spotify.com/track/1hrvlGX3liDkT1VsSL9uDN
84,"rockstar (feat. 21 Savage)","Post Malone",2790,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
85,Legends,"Juice WRLD",2780,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
86,"Piece Of Your Heart",MEDUZA,2770,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
87,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,2739,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
88,Player,Ian,2711,https://open.spotify.com/track/7x0UdBzgDqtFCLfD5jzL34
89,X-Men,Ian,2646,https://open.spotify.com/track/0FKPLaQd918tdp32A0oW0W
90,"Sweet but Psycho","Ava Max",2639,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
91,"bury a friend","Billie Eilish",2636,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
92,"The London (feat. J. Cole & Travis Scott)","Young Thug",2609,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
93,"Look Back at It","A Boogie Wit da Hoodie",2606,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
94,"Taste (feat. Offset)",Tyga,2575,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
95,"It's You","Ali Gatie",2575,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
96,"Ok Okey",Oscar,2558,https://open.spotify.com/track/21lvS2OJlPSNjJNBx3nwJV
97,"Holly Jolly Christmas","Michael Bublé",2553,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
98,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",2538,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
99,"Better Now","Post Malone",2528,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
100,"60 De Zile II",Ian,2520,https://open.spotify.com/track/1znkeVc5PxzRY1Ua0vBmg7
101,"A Holly Jolly Christmas - Single Version","Burl Ives",2493,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
102,"Don't Call Me Up",Mabel,2480,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
103,Happier,Marshmello,2453,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
104,Retrograd,"DJ Project",2441,https://open.spotify.com/track/1QdlZmNtIhK2QaV8Yis6zZ
105,"Look At Her Now","Selena Gomez",2438,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
106,"Before You Go","Lewis Capaldi",2438,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
107,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",2422,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
108,"Underneath the Tree","Kelly Clarkson",2419,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
109,Mistletoe,"Justin Bieber",2413,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
110,"Yellow Hearts","Ant Saunders",2411,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
111,Graveyard,Halsey,2400,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
112,Shallow,"Lady Gaga",2396,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
113,"Money In The Grave (Drake ft. Rick Ross)",Drake,2392,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
114,Salcamii,Spike,2380,https://open.spotify.com/track/6iXYKiR11eI3ylrhVFLFX2
115,Molly,Azteca,2374,https://open.spotify.com/track/7Arj9OgC0DIIQtG4JLObqi
116,"BUTTERFLY EFFECT","Travis Scott",2356,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
117,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",2348,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
118,"Christmas (Baby Please Come Home)","Darlene Love",2338,https://open.spotify.com/track/0jiPKUSdsJNCxMPHjMqptk
119,Falling,"Harry Styles",2325,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
120,Death,"Trippie Redd",2320,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
121,HUMBLE.,"Kendrick Lamar",2317,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
122,"Fisa - Freestyle","Super Ed",2306,https://open.spotify.com/track/112qBUNlsahe1nBKdek7tD
123,"White Christmas","Bing Crosby",2300,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
124,"The Christmas Song (Merry Christmas To You)","Nat King Cole",2299,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
125,Believer,"Imagine Dragons",2290,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
126,"Scuze Mama",Ian,2289,https://open.spotify.com/track/7GRFqzQPAuAUN5Hy2uD82w
127,Moonlight,XXXTENTACION,2285,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
128,Tacsu,"Marko Glass",2281,https://open.spotify.com/track/3K1VMhVAbP5LyyLMwDOJ7P
129,"all the good girls go to hell","Billie Eilish",2263,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
130,"Trika Trika",Faydee,2261,https://open.spotify.com/track/7xMJ3lQD6rXWqoPKjlu4OO
131,Palmat,Ian,2258,https://open.spotify.com/track/5RvhKm3Xr456CGMQ5wyJZ5
132,Frate-Miu,Nane,2256,https://open.spotify.com/track/1sP2znLfTviNBiPcRBqVer
133,"Dancing With A Stranger (with Normani)","Sam Smith",2253,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
134,"Sute Albastre",Azteca,2249,https://open.spotify.com/track/5UJYv3KCtkNiHLF6CbLdlK
135,"Happy Xmas (War Is Over) - Remastered","John Lennon",2240,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
136,"Eastside (with Halsey & Khalid)","benny blanco",2215,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
