Position,"Track Name",Artist,Streams,URL
1,Memories,"Maroon 5",50539,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
2,"Dance Monkey","Tones and I",49830,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,ROXANNE,"Arizona Zervas",42098,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,Señorita,"Shawn Mendes",39699,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
5,Circles,"Post Malone",38070,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,"Someone You Loved","Lewis Capaldi",34355,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
7,"Don't Start Now","Dua Lipa",33887,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,Falling,"Trevor Daniel",31330,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,"everything i wanted","Billie Eilish",30150,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
10,怎麼了,"Eric Chou",29371,https://open.spotify.com/track/2IAumRplFr0Ns09kKgt2je
11,"Mean It",Lauv,28168,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
12,"Into the Unknown","Idina Menzel",27347,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
13,"Watermelon Sugar","Harry Styles",26382,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,"Beautiful People (feat. Khalid)","Ed Sheeran",25226,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
15,說好不哭,"Jay Chou",24279,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
16,"Blinding Lights","The Weeknd",23907,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
17,"Lose You To Love Me","Selena Gomez",23849,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
18,"Adore You","Harry Styles",23784,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
19,"hot girl bummer",blackbear,23026,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
20,"How Do You Sleep?","Sam Smith",22074,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
21,"Before You Go","Lewis Capaldi",21664,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
22,"All I Want for Christmas Is You","Mariah Carey",21057,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
23,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""","Eric Chou",20973,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
24,Feelings,Lauv,20060,https://open.spotify.com/track/1cL3ucXzG2hj3XOUPIWdvZ
25,"10,000 Hours (with Justin Bieber)","Dan + Shay",19894,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
26,"It's You","Ali Gatie",19355,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
27,如果雨之後,"Eric Chou",19180,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
28,"I Don't Care (with Justin Bieber)","Ed Sheeran",18488,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
29,"Boy With Luv (feat. Halsey)",BTS,18459,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
30,Heartless,"The Weeknd",18164,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
31,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,18112,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
32,"My Oh My (feat. DaBaby)","Camila Cabello",18107,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
33,"Lucid Dreams","Juice WRLD",18046,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
34,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",17420,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
35,"bad guy","Billie Eilish",17414,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
