Position,"Track Name",Artist,Streams,URL
1,"ทิ้งแต่เก็บ - เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ","The Toys",54332,https://open.spotify.com/track/438m0u7h7miwjCdCdDCl9W
2,ฝนตกไหม,"Three Man Down",48566,https://open.spotify.com/track/1ccwCCS7YSclzYibpK0DS4
3,ภาวนา,MEYOU,42084,https://open.spotify.com/track/7IcfEY0IyV4fdALbwJCw3v
4,แอบดี,Stamp,40249,https://open.spotify.com/track/1wl5vs3SCMPpHTIR8IW8nJ
5,ถ้าฉันเป็นเขา,Indigo,37107,https://open.spotify.com/track/7adzBs69Rjtj6194UZRWfm
6,ลงใจ,BOWKYLION,36043,https://open.spotify.com/track/3JvbGjNcSnAhNemVyvXqci
7,"หวง (You're Mine)","Earth Patravee",34440,https://open.spotify.com/track/5t2958ghc1UIUovv1pqMl3
8,Señorita,"Shawn Mendes",34057,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
9,Memories,"Maroon 5",31562,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
10,"A Rocket to the Moon","Gavin D",31298,https://open.spotify.com/track/4Tp1SRCTJ6LO8XA3i9vuAT
11,เจ็บจนพอ,Wanyai,31062,https://open.spotify.com/track/4prGMvYxnXPsG7xueL4Gc8
12,"นี่ฉันเอง feat. KOB FLAT BOY",Lipta,29048,https://open.spotify.com/track/1A9I1bdZX61vE5cTaNOz2x
13,"Mean It",Lauv,28857,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
14,Circles,"Post Malone",26931,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,รางวัลปลอบใจ,Zommarie,26135,https://open.spotify.com/track/1kX8eeTe8JSQPj1dQ9MTFa
16,"ลืมไป (feat. ปู่จ๋าน ลองไมค์)",Wanyai,25362,https://open.spotify.com/track/4XqtyE2i3U1z2rMVcgnYX6
17,พอเถอะ,MEAN,25059,https://open.spotify.com/track/78SisrpqN9rYxNwFbpQ7JX
18,"Do You",F.HERO,24691,https://open.spotify.com/track/1twPdRa1Hm8t0j0kECqZ1n
19,ดีใจด้วยนะ(Glad),"Ink Waruntorn",24571,https://open.spotify.com/track/0rvNW2zfoFqdz7jHw3VqSQ
20,รักติดไซเรน,"แพรวา ณิชาภัทร",23724,https://open.spotify.com/track/0vIvE2RgjnMpUQn875C4Vz
21,แก้มน้องนางนั้นแดงกว่าใคร,เขียนไขและวานิช,23560,https://open.spotify.com/track/15zvOBuL1QbkL7bvudg2p5
22,คำตอบ,Safeplanet,23457,https://open.spotify.com/track/1lD1Pjy7rNDOny7nFqmUHJ
23,หัวหิน,Wanyai,23356,https://open.spotify.com/track/1kUwlk4SqvLEjOk8yFPtUe
24,ไปได้ดี,Wanyai,22928,https://open.spotify.com/track/2qlfZhBPWq5FH3FwlZKGws
25,ROXANNE,"Arizona Zervas",22272,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
26,แค่นี้...พอ,"The Parkinson",21954,https://open.spotify.com/track/41TfjScHItR0d1k1N9tSr6
27,"โลกอีกใบ (feat. โอ๊ต ปราโมทย์)",Zommarie,21520,https://open.spotify.com/track/48hZrIt6isIvgbWfvvGgjI
28,"เมษา (MAYSA) feat. BLACKSHEEP","fellow fellow",20408,https://open.spotify.com/track/3bxGTdVHjBjlSOjRDH9a4f
29,comethru,"Jeremy Zucker",20363,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
30,"ฉันเป็นทะเล (ไม่ใช่เขา)","p n v .",20312,https://open.spotify.com/track/4zvpnvtc2IYE3EMQau3vIH
31,เมื่อคืน,"Season Five",20277,https://open.spotify.com/track/0OBPjif46Jbz7c4xIqiBEw
32,"สายซับ - Ost. One Year 365 วัน บ้านฉัน บ้านเธอ",BNK48,20239,https://open.spotify.com/track/5UpKMuECD77JdbbeXGa8K7
33,"Don't Start Now","Dua Lipa",20015,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
34,BADBOY,Lazyloxy,19886,https://open.spotify.com/track/55d8bb7cvNPLjJ81ULlG1H
35,เรา,Cocktail,19701,https://open.spotify.com/track/2fJrMT9Zw7qP6dwD8ou90W
36,ดวงใจ,Palmy,19375,https://open.spotify.com/track/6N6gsaHf5GYJAvEKfg6iEv
37,เพื่อน,Polycat,19229,https://open.spotify.com/track/7xJowlJfrvuFbooVesjFm0
38,พัง,Indigo,19114,https://open.spotify.com/track/4roAXYtyMDQfv9Vz1CPWqg
39,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",19057,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
40,ไม่รู้ทำไม,"Whal & Dolph",18705,https://open.spotify.com/track/1lWjw2MgiWcvuy5rSuQ11b
41,ทางผ่าน,Pure,18203,https://open.spotify.com/track/3zrebnrolRrRWRx9yx7tZs
42,"I'm Missing You",Mild,18043,https://open.spotify.com/track/2vEkf14cozEBFLnBDfynY9
43,"You Are My Everything - Ost.รักฉุดใจนายฉุกเฉิน",บิวกิ้น,17647,https://open.spotify.com/track/0zEDOBB1fHaAR0YBBIusQQ
44,ความสุขของเธอ,MEAN,17621,https://open.spotify.com/track/2cqjhnMI6m22cqcD1GUSTZ
45,"แพ้ทุกที (LOOPER)","fellow fellow",16936,https://open.spotify.com/track/1OCWm66r2PwI8RsspEMfzD
46,พริบตา,Safeplanet,16338,https://open.spotify.com/track/66t4DQjeDsDUmA1WxKgnLU
47,Capture,"Twopee Southside",16283,https://open.spotify.com/track/1zqT0PWLvLKv7aXbcej4i5
48,"พรุ่งนี้ค่อย (Cheat Day)","Pop Pongkool",16052,https://open.spotify.com/track/00QJNqqJoah8KE7UBDpCHy
49,"Dance Monkey","Tones and I",15649,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
50,"ไม่มีเหตุผล (feat. นายนะ)",MARINA,15598,https://open.spotify.com/track/3JrekkAlDuRg0iRBwVUTBy
51,ดึกแล้วอย่าเพิ่งกลับ,Jaonaay,15099,https://open.spotify.com/track/7nVTeSpry1cMbgyCmSd1ae
52,"Boy With Luv (feat. Halsey)",BTS,14947,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
53,"10,000 Hours (with Justin Bieber)","Dan + Shay",14599,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
54,เจ็บไม่จำ,O-Pavee,14467,https://open.spotify.com/track/4XGKYVsklvtRYtq4LfYUrr
55,Heartless,"The Weeknd",13919,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
56,ซ่อนกลิ่น,Palmy,13576,https://open.spotify.com/track/7woh2lJvyILYxSQ1kXTI3d
57,"Adore You","Harry Styles",13342,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
58,"หมอกร้าย feat. Fongbeer and Kob the X factor",Lipta,13281,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
59,ใจเดียว,"Whal & Dolph",13202,https://open.spotify.com/track/4OZjDh3pxthm3Ig9Fs7C7N
60,"Beautiful People (feat. Khalid)","Ed Sheeran",12692,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
61,"ร W8","Gene Kasidit",12216,https://open.spotify.com/track/3zc9UfgETcTMGiazW58Klg
62,"Kill This Love",BLACKPINK,12191,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
63,เดคิสุงิ,"Wan Thanakrit",11987,https://open.spotify.com/track/7JhYmekBJcLg4RtTItTf2g
64,"Blinding Lights","The Weeknd",11819,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
65,เวลาเธอยิ้ม,Polycat,11685,https://open.spotify.com/track/06DPpk0hUJEgpzl5cuWNI6
66,"Can't Tell Me Nuttin'",FIIXD,11269,https://open.spotify.com/track/2VbPJKxaAfly99Mh0OoUb5
67,พอจะรู้,MEYOU,11252,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
68,อาวรณ์,Polycat,11211,https://open.spotify.com/track/2USX969yFQ250hBULh6Ope
69,หมายความว่าอะไร,MEAN,11195,https://open.spotify.com/track/63rLjQUFTxemPqACev1by7
70,LION,(G)I-DLE,11156,https://open.spotify.com/track/4TArUx34wOehwpnbXlKBQY
