Position,"Track Name",Artist,Streams,URL
1,"Wir sind Kral",Ufo361,179488,https://open.spotify.com/track/2KlbLTnQ5Wch2oOelW0Y2k
2,AYA,Murda,170524,https://open.spotify.com/track/4IJEw3fDvS6XF4sDc3bvjK
3,"Benjamins 3","Rozz Kalliope",167760,https://open.spotify.com/track/3F1vlhA0ISnqXJMOXUZP7V
4,"Dance Monkey","Tones and I",163184,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,Arkadaş,"Ben Fero",154040,https://open.spotify.com/track/6bBnnrknLbDoOCUdKMkmnq
6,Nalan,"Emir Can İğrek",152033,https://open.spotify.com/track/1LNUxWJifZNEPpd273N2le
7,"Toz Taneleri","Sagopa Kajmer",144401,https://open.spotify.com/track/36ulbeGLdspdIYSFKXIlmN
8,"Yemin Olsun",Ufo361,120369,https://open.spotify.com/track/1BzTI6CkluzAJsXFRkXTaR
9,"Bütün Istanbul Biliyo","İkiye On Kala",114157,https://open.spotify.com/track/0V0bWil6rS8w4Xbn6eGwCQ
10,"Kara Geceler",Şanışer,112463,https://open.spotify.com/track/7hi5MfCb1vIPwsXAhm2z2P
11,Goal,Patron,111449,https://open.spotify.com/track/4QVEEOx7TeTA0vQfeP8tgN
12,Neresi?,BEGE,95715,https://open.spotify.com/track/5m42G9KcZupRGXyBj2dPzV
13,LOLO,Ezhel,95448,https://open.spotify.com/track/7hGc0ggqVVOndzHLIS4Kag
14,"Eskimiş Senelere",Aspova,95265,https://open.spotify.com/track/5XR0fbf6IAizysmuSQDoUX
15,"Güzel Kızlar Patron Dinler",Patron,94586,https://open.spotify.com/track/2qpwx9xOkCqzOMVnOkZ2X8
16,Mod,"Mustafa Sandal",86813,https://open.spotify.com/track/0xNW1WrxJP3USOL2r0gqHE
17,"Ay Tenli Kadın","Ufuk Beydemir",82234,https://open.spotify.com/track/5CaKpl8JB1FMCbsgh0sgO8
18,YKKE,Ufo361,80516,https://open.spotify.com/track/4tT9mBO8n3pEuCeUDnzE4s
19,"Mekanın Sahibi","Norm Ender",76053,https://open.spotify.com/track/3loy88Lp5qoTHhL8GhRfVZ
20,"Böyle Sever","Kahraman Deniz",75509,https://open.spotify.com/track/7hU3H2id2pBVawD7e3zd8N
21,"Bırakman Doğru Mu","Anıl Piyancı",74796,https://open.spotify.com/track/5pdsGdTeqH6MHqJeKkpwX3
22,Señorita,"Shawn Mendes",74181,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
23,"Vazgeçtim İnan","Sagopa Kajmer",73491,https://open.spotify.com/track/3AcW8pLpwabvsvAJSJMqbw
24,"everything i wanted","Billie Eilish",71695,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
25,Falling,"Trevor Daniel",68660,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
26,"bad guy","Billie Eilish",68586,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
27,Neyse,"Sagopa Kajmer",66980,https://open.spotify.com/track/7JqqFxuWWpOO9798KQuo33
28,Felaket,Ezhel,66432,https://open.spotify.com/track/59l0CeaA4LLngf30waUXWB
29,"Dinle Beni Bi'","Yüzyüzeyken Konuşuruz",63974,https://open.spotify.com/track/11PO9iu6PtpgL1JK4QNUEJ
30,"Şaraplar ve Kadınlar","Mert Şenel",63897,https://open.spotify.com/track/2kQTQ4x3tG1BcBA4nFp6qf
31,Zombi,Adamlar,63724,https://open.spotify.com/track/73Ec1iE2MDm6Y16Tq2Rz8O
32,Olay,Ezhel,63492,https://open.spotify.com/track/4EpPCQ7bqVUj65LoFydDj2
33,Ela,Reynmen,62327,https://open.spotify.com/track/2VUTPdW21gPVVTEmvdSwos
34,"Ölsem Yeridir","Yüzyüzeyken Konuşuruz",62118,https://open.spotify.com/track/7zn6VQuPR6aCLPRcZAA89R
35,Defoluyorum,"Emir Can İğrek",61881,https://open.spotify.com/track/2fvT2Y3xXxjNLxZgV4Si9t
36,Bedel,"Mustafa Ceceli",59727,https://open.spotify.com/track/6R3YNDKSDdXh4s8sKewqCD
37,"Yok Yok","Feride Hilal Akın",58161,https://open.spotify.com/track/2CjjjGKJA1ybc5wjCyJYjm
38,Lalala,Y2K,57513,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
39,"Bir Daha",Ufo361,57426,https://open.spotify.com/track/22TdLvsEeioBza7NcsKfQO
40,"İki Hece",Berkay,57246,https://open.spotify.com/track/4nWVlBWgG018k57NMeT9An
41,"Sen Benim Şarkılarımsın","Cem Adrian",54989,https://open.spotify.com/track/79MWhuYapVlBQ4ozGVdO6e
42,Yeniden,BEGE,52923,https://open.spotify.com/track/7iQYp6Fp3xFFatU20GZtLe
43,HighTech,Massaka,52815,https://open.spotify.com/track/5aRKnEWSoygm9wGxxaqVtd
44,"Mon Ami",Eno,52582,https://open.spotify.com/track/1EahDyajDQl5zRfmlDqpYx
45,"Uzak Gelecek","Kahraman Deniz",52403,https://open.spotify.com/track/75h4Bilr9NatfonTWxEQXB
46,"Kapat Işıklarını",Ufo361,52211,https://open.spotify.com/track/5AZTndqPsymlA5Rt5Nrwbg
47,"Avutsun Bahaneler","Sagopa Kajmer",51083,https://open.spotify.com/track/14NZoXCrTaI7ClIznTYIpf
48,Gelemem,Grogi,50469,https://open.spotify.com/track/6sMKnGxbHEloI6usl0FLdh
49,"Neyim Var Ki (feat. Sagopa K)",Ceza,50322,https://open.spotify.com/track/09XOVDSIbBxBf6Kr1vGnHf
50,Susamam,Şanışer,49931,https://open.spotify.com/track/1aHKVxoYHAWvedbVUTP9SF
51,Manzaralar,Patron,49801,https://open.spotify.com/track/7CyKxThAhId8fyIauqLHyU
52,"Demet Akalın","Ben Fero",49528,https://open.spotify.com/track/3kyGlb9iNqhKJsS2WVNyzH
53,Maalesef,"Sagopa Kajmer",48964,https://open.spotify.com/track/7xXpFvw8gQp9mA8tNajZTe
54,"Tac Mahal",Buray,47322,https://open.spotify.com/track/26uHtSrQXUad9uCqxPiIXJ
55,"Daha İyi","Hande Ünsal",47251,https://open.spotify.com/track/4pqintftlokZCfmrA67rRj
56,ROXANNE,"Arizona Zervas",47110,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
57,Yelkovan,"Tuğçe Kandemir",47037,https://open.spotify.com/track/5uPvYhaOSNvSSPYfsP9y6p
58,"Cennetten Çiçek","Bilal Sonses",46364,https://open.spotify.com/track/2LyNSp1fJKr9NsieJ4oRDH
59,"Yaramızda Kalsın","Merve Özbey",46360,https://open.spotify.com/track/3kD2fBvNR5xvbJxO1MW6HT
60,"Hadi Gittik",Ozbi,46087,https://open.spotify.com/track/3QU434ADt3i1Vpzghrzpz0
61,KAFA10,"Anıl Piyancı",45126,https://open.spotify.com/track/7fUGWMgLzsVdID1eKoPm3b
62,"Suç Mahalli","Kahraman Deniz",44331,https://open.spotify.com/track/5O4hZ2sqGCfvesLshqvM0D
63,"Yolumuz Yol Değil","Lil Zey",44279,https://open.spotify.com/track/4OHQvqMWC3ypTV9MeKuDFa
64,"Bir Ayda Unutursun",Sehabe,44141,https://open.spotify.com/track/1B26IuTpOgtKawvALmwoWs
65,"Ne Farkeder","Yüzyüzeyken Konuşuruz",43977,https://open.spotify.com/track/23KSyhPMqyUVrrLo300YiW
