Position,"Track Name",Artist,Streams,URL
1,"Without You","高爾宣 OSN",44731,https://open.spotify.com/track/0KWnRv3wxjltYVB3MqjNd2
2,句號,G.E.M.,34237,https://open.spotify.com/track/1mgX7SIBVjBCqiLCMEl15W
3,Señorita,"Shawn Mendes",34148,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
4,說好不哭,"Jay Chou",33745,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
5,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,32043,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
6,"路過人間 (電視劇《我們與惡的距離》插曲)","Yisa Yu",30252,https://open.spotify.com/track/1ZSleGniKMWNrWvK5cGALO
7,怎麼了,"Eric Chou",30099,https://open.spotify.com/track/2IAumRplFr0Ns09kKgt2je
8,Memories,"Maroon 5",29520,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
9,年少有為,"Ronghao Li",29440,https://open.spotify.com/track/6XY80Ofqd8j0SGiEdRLwCp
10,"Why You Gonna Lie","高爾宣 OSN",29285,https://open.spotify.com/track/1rjUBUTswCkN8DIBxkgjJs
11,浪流連,EggPlantEgg,29154,https://open.spotify.com/track/7a6VJHMS9ttKsj55cKC51G
12,"真的傻 (電影《一吻定情》追愛版主題曲)","LaLa Hsu",28240,https://open.spotify.com/track/7mCr6Rn5jx04Fisvts97Z3
13,"Dance Monkey","Tones and I",27821,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,倒數,G.E.M.,26190,https://open.spotify.com/track/2HmM5p02Q2qrYZvXJRLVx3
15,最後一次,"高爾宣 OSN",25931,https://open.spotify.com/track/4fw4NwYVD8nLWLtKtlN8df
16,你要的全拿走,"Tiger Hu",24324,https://open.spotify.com/track/37BXaP8wCJrH0M3AdtSNyk
17,"Beautiful People (feat. Khalid)","Ed Sheeran",24285,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
18,绿色,"Shirley Chen",24223,https://open.spotify.com/track/6ZoJngyuPof3KsFhFKA5P5
19,Circles,"Post Malone",24150,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
20,"Don't Start Now","Dua Lipa",23648,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
21,"bad guy","Billie Eilish",23075,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"Someone You Loved","Lewis Capaldi",22527,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,那女孩對我說,"Rachel Liang",22005,https://open.spotify.com/track/5Gip2UwE4f8L4MQWsvcvfA
24,玫瑰少年,"Jolin Tsai",21606,https://open.spotify.com/track/2uHMTG5xr9Xk7MrXIWrVUH
25,"everything i wanted","Billie Eilish",21591,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
26,慢慢喜歡你,"Karen Mok",21422,https://open.spotify.com/track/7EoyERNueJuFlQbyrRB0US
27,"別讓我走遠 (電視劇《我們與惡的距離》主題曲)","Yoga Lin",21002,https://open.spotify.com/track/7fjGyTWookViY8LlvjqpVq
28,"天黑請閉眼 (feat. 邱鋒澤)","Nine Chen",20943,https://open.spotify.com/track/0bIbgooxvBkww2ZGeu8VMR
29,披星戴月的想你,告五人,20512,https://open.spotify.com/track/75Rm8fulB9P9O6F7hdXNcE
30,你的酒馆对我打了烊,"Shirley Chen",19619,https://open.spotify.com/track/6BL2V0CvfW9QVHm9oU4Lmk
31,體面(電影《前任3:再見前任》插曲),"Kelly Yu",19531,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
32,"Forever Young","Eve Ai",19481,https://open.spotify.com/track/25sQT3yCEgd1uE6LC9ivcs
33,"幾分之幾 - 電影<花甲大人轉男孩>主題曲","Crowd Lu",19310,https://open.spotify.com/track/4F7ZAsndEIJXyFzJUHNlRu
34,"Lose You To Love Me","Selena Gomez",18768,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
35,慢冷,"Fish Leong",18487,https://open.spotify.com/track/3NNDJfWMGHuNpvHWTImmlW
36,摩天動物園,G.E.M.,18413,https://open.spotify.com/track/4DTQIqkS1Zj4VaGSmfjB6x
37,輸情歌,J.Sheon,18368,https://open.spotify.com/track/2Ub5ZGPsej0A6YpvzhntLL
38,B.O.,ØZI,18331,https://open.spotify.com/track/2LoGv4HSbilp1SVoQ10Qw6
39,"I Don't Care (with Justin Bieber)","Ed Sheeran",17763,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
40,"How Do You Sleep?","Sam Smith",17730,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
41,"Mean It",Lauv,17386,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
42,ROXANNE,"Arizona Zervas",17321,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
43,來自天堂的魔鬼,G.E.M.,17103,https://open.spotify.com/track/0g2XnkKghVN22yze1gTJzl
44,"Adore You","Harry Styles",16989,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
45,讓我為你唱情歌,"Jam Hsiao",16685,https://open.spotify.com/track/0BuTVSIbiQGdxW7njjKng7
46,差不多姑娘,G.E.M.,16411,https://open.spotify.com/track/5hASgE7onzLcBYa2E6Ggxg
47,"Without You - Acoustic Version","高爾宣 OSN",16358,https://open.spotify.com/track/3dGkfiu2IKSWZRfmBoUxvV
48,"兜圈 (偶像劇「必娶女人」片尾曲)","Yoga Lin",16290,https://open.spotify.com/track/4ezCayon5X4bTBj6ztNlDH
49,"Blinding Lights","The Weeknd",16127,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
50,"My Oh My (feat. DaBaby)","Camila Cabello",15991,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
51,"Boy With Luv (feat. Halsey)",BTS,15949,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
52,Blueming,IU,15934,https://open.spotify.com/track/4Dr2hJ3EnVh2Aaot6fRwDO
53,HIP,Mamamoo,15881,https://open.spotify.com/track/24nK8tW7Pt3Inh2utttuoG
54,"Into the Unknown","Idina Menzel",15816,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
55,怪美的,"Jolin Tsai",15779,https://open.spotify.com/track/0cONHWTIfgEpAuVwbbwGgc
56,浪子回頭,EggPlantEgg,15776,https://open.spotify.com/track/7J6wLr8qRqLPMeOZlR54NM
57,"Be Alright","高爾宣 OSN",15268,https://open.spotify.com/track/1ggo5EkgQKtOcrYlJ0mEZS
58,擋一根,Bisiugroup,15246,https://open.spotify.com/track/6439IQyiZV5I7aOo8UREgm
59,Shallow,"Lady Gaga",15138,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
60,2002,Anne-Marie,14996,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
61,"光年之外 (電影 《Passengers》 中國區主題曲)",G.E.M.,14735,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
62,"Watermelon Sugar","Harry Styles",14432,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
63,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,14327,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
64,Heartless,"The Weeknd",13908,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
65,"If I Can't Have You","Shawn Mendes",13833,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
66,"追光者 - 電視劇夏至未至插曲","Yoyo Sham",13771,https://open.spotify.com/track/66LKcDWIHdqWEaviZhcMTx
67,"i'm so tired...",Lauv,13649,https://open.spotify.com/track/2iwS33Jfev1QBiuhWVWZHY
68,"10,000 Hours (with Justin Bieber)","Dan + Shay",13431,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
69,"Call You Mine","The Chainsmokers",13262,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
70,愛情怎麼了嗎,"Crowd Lu",12937,https://open.spotify.com/track/5ZaPc3ILOQT4Qc26AZe9od
71,少女,"Yoga Lin",12929,https://open.spotify.com/track/1LoU04I8grKAPLX4Stxr28
72,Family,"The Chainsmokers",12687,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL
73,如果雨之後,"Eric Chou",12678,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
74,全世界的朋友都讓我失望,"Julia Wu",12411,https://open.spotify.com/track/6IarLihnvlYjCCbUFA3jJk
75,"7 rings","Ariana Grande",12250,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
76,"Trampoline (with ZAYN)",SHAED,12101,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
77,"備胎 (feat. Eetu Kalavainen)",R-chord,12076,https://open.spotify.com/track/6OuBzoZm0GHYzPNGlvB3yx
78,芒种,音阙诗听,11919,https://open.spotify.com/track/3IP4qSMfGeqI2XqHFf25sj
