Position,"Track Name",Artist,Streams,URL
1,"Futsal Shuffle 2020","Lil Uzi Vert",1544828,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
2,ROXANNE,"Arizona Zervas",1349204,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"Adore You","Harry Styles",1256307,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
4,Circles,"Post Malone",1212484,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,"The Box","Roddy Ricch",1123083,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"Watermelon Sugar","Harry Styles",1072602,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1071102,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
8,Falling,"Trevor Daniel",1053610,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,BOP,DaBaby,1008896,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
10,"All I Want for Christmas Is You","Mariah Carey",961685,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
11,"HIGHEST IN THE ROOM","Travis Scott",930261,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
12,Falling,"Harry Styles",849525,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
13,"Dance Monkey","Tones and I",848582,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,"Lucid Dreams","Juice WRLD",847388,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
15,"everything i wanted","Billie Eilish",843010,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
16,"Blinding Lights","The Weeknd",828489,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
17,Heartless,"The Weeknd",827554,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
18,"Lights Up","Harry Styles",782868,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
19,"Rockin' Around The Christmas Tree","Brenda Lee",775704,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
20,"Jingle Bell Rock","Bobby Helms",749846,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
21,"My Oh My (feat. DaBaby)","Camila Cabello",731553,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
22,"Someone You Loved","Lewis Capaldi",726519,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,Robbery,"Juice WRLD",704872,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
24,"hot girl bummer",blackbear,692990,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
25,"Santa Tell Me","Ariana Grande",684934,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
26,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",675692,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
27,Cherry,"Harry Styles",674701,https://open.spotify.com/track/2IOFZdYYkFxEHVz1w34PoL
28,"It's the Most Wonderful Time of the Year","Andy Williams",664982,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
29,"Last Christmas",Wham!,659065,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
30,"Ballin' (with Roddy Ricch)",Mustard,647557,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
31,Golden,"Harry Styles",641103,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
