Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",21608,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Fantasias,"Rauw Alejandro",14664,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
3,"RITMO (Bad Boys For Life)","The Black Eyed Peas",13769,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
4,"Hola - Remix",Dalex,13080,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
5,"Que Tire Pa Lante","Daddy Yankee",12522,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
6,China,"Anuel AA",12200,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
7,Vete,"Bad Bunny",11153,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
8,Quizas,"Rich Music LTD",10473,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
9,"Adicto (with Anuel AA & Ozuna)",Tainy,10398,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
10,"Dance Monkey","Tones and I",10182,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
11,"Bellaquita - Remix",Dalex,10106,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
12,Tutu,Camilo,10104,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
13,"Si Te Vas",Sech,10007,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
14,"Perreo en La Luna","Rich Music LTD",9987,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
15,"Whine Up","Nicky Jam",9515,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
16,Aventura,Lunay,9374,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
17,Fresa,TINI,9122,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
18,Indeciso,Reik,8747,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
19,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",8626,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
20,Callaita,"Bad Bunny",8615,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
