Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",13754,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Circles,"Post Malone",8910,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,Memories,"Maroon 5",8418,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
4,ROXANNE,"Arizona Zervas",7386,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
5,Señorita,"Shawn Mendes",7281,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
6,"Beautiful People (feat. Khalid)","Ed Sheeran",7071,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
7,Falling,"Trevor Daniel",6961,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,"Don't Start Now","Dua Lipa",6717,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,Lorch,"Kabza De Small",6317,https://open.spotify.com/track/1E8jmVFDwAWbDzsjjniKGO
10,"Someone You Loved","Lewis Capaldi",6122,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,Jerusalem,"Master KG",6034,https://open.spotify.com/track/5F6tLUQGd7GtiWID9ZEzev
12,"everything i wanted","Billie Eilish",5746,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
13,"HIGHEST IN THE ROOM","Travis Scott",5726,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
14,"I Don't Care (with Justin Bieber)","Ed Sheeran",5355,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
15,"How Do You Sleep?","Sam Smith",5266,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
16,"Lose You To Love Me","Selena Gomez",5187,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
17,Akulaleki,"Samthing Soweto",5139,https://open.spotify.com/track/73wcFiFeCQurmHDQIcirbm
18,"Nana Thula","Kabza De Small",4957,https://open.spotify.com/track/4tDBIoqZEnq6715SnqaJS7
